mesh_idx,mesh_name,parent,local_T,local_S,world_T,world_T_r1_superseded,changed_vs_r1,bbox_local_min,bbox_local_max,bbox_world_min,bbox_world_max,nverts,ntris,props
32,GeoTexanim01:0,29,"[-513.236328125, 36.73770523071289, -1053.3555908203125]",1.0,"[1848.2847111148885, -1060.1983476403732, 560.7472761973777]","[1885.02246064729, -6.84275826245346, 47.51094828317681]",True,"[-3447.68505859375, -36.737674713134766, -873.9649047851562]","[523.896484375, 3736.257568359375, 2994.64111328125]","[-1887.9728571205114, -1934.1632054015663, 36.85079203643215]","[1885.0224155426292, 1934.4428152946136, 4008.432335375519]",56,28,"[35, 19]"
37,Bip01_item:0,27,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-50.0, -50.0, 0.0]","[50.0, 50.0, 100.0]","[-50.00000210703206, -50.00000212136862, -1.2652602576768146e-08]","[50.000002101547736, 50.000002101547736, 100.0000000126526]",24,12,[]
43,B_Eu_Slum_Building_b047_01:0,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2000.0, -2000.0, 530.0]","[2000.0, 2000.0, 15620.0]","[-2000.0, -2000.0, 530.0]","[2000.0, 2000.0, 15620.0]",142,56,[4]
45,B_Eu_Slum_Building_b047_01:1,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2000.0, -2000.0, 29.999998092651367]","[2000.0, 2000.0001220703125, 5746.275390625]","[-2000.0, -2000.0, 29.999998092651367]","[2000.0, 2000.0001220703125, 5746.275390625]",309,128,[5]
47,B_Eu_Slum_Building_b047_01:2,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2500.0, -2500.0, 0.0]","[2500.0, 2500.0, 13623.0]","[-2500.0, -2500.0, 0.0]","[2500.0, 2500.0, 13623.0]",338,146,[6]
49,B_Eu_Slum_Building_b047_01:3,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2000.0, -2000.0, 1030.0]","[2000.0, 2000.0, 13623.0]","[-2000.0, -2000.0, 1030.0]","[2000.0, 2000.0, 13623.0]",401,182,[7]
51,B_Eu_Slum_Building_b047_01:4,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2126.629150390625, -2126.924072265625, 29.999998092651367]","[2127.78759765625, 2127.726806640625, 30.0]","[-2126.629150390625, -2126.924072265625, 29.999998092651367]","[2127.78759765625, 2127.726806640625, 30.0]",16,16,[8]
53,B_Eu_Slum_Building_b047_01:5,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2500.0, -2500.0, 29.999998092651367]","[2500.0, 2500.0, 30.0]","[-2500.0, -2500.0, 29.999998092651367]","[2500.0, 2500.0, 30.0]",8,8,[9]
55,B_Eu_Slum_Building_b047_01:6,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-2000.0, -2000.0, 29.999984741210938]","[2000.0, 2000.0, 13523.0]","[-2000.0, -2000.0, 29.999984741210938]","[2000.0, 2000.0, 13523.0]",437,172,[10]
57,B_Eu_Slum_Building_b047_01:7,42,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1900.0, -1920.0, 29.999998092651367]","[1900.0, 1920.0001220703125, 3999.99951171875]","[-1900.0, -1920.0, 29.999998092651367]","[1900.0, 1920.0001220703125, 3999.99951171875]",54,20,[11]
60,B_Eu_b047_gloss:0,59,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1900.0, -1900.0, 1233.396728515625]","[1900.0, 1900.0, 13525.0]","[-1900.0, -1900.0, 1233.396728515625]","[1900.0, 1900.0, 13525.0]",86,32,[12]
66,B_Eu_b047_glowsak:0,63,"[401.14190673828125, -1611.4522705078125, -368.0000305175781]",1.0,"[401.14190673828125, -1611.4522705078125, -368.0000305175781]","[0.0, 0.0, 0.0]",True,"[-1380.669677734375, -116.70951080322266, 399.9999694824219]","[586.584228515625, 3743.969970703125, 900.1507568359375]","[-979.5277709960938, -1728.1617813110352, 31.99993896484375]","[987.7261352539062, 2132.5177001953125, 532.1507263183594]",40,20,"[68, 67, 14]"
72,B_Eu_b047_Object06:0,70,"[-10591.814453125, -839.7012939453125, 1536.7515869140625]",1.0,"[-10591.814453125, -1541.212338826197, 23.96791517472593]","[0.0, -4.460693359375, 863.6688842773438]",True,"[8589.814453125, 307.7995910644531, -3543.211669921875]","[12593.814453125, 1371.602783203125, 469.7086486816406]","[-2002.0, -2010.9207414749962, 331.7668562513991]","[2002.0, 2001.9991808020422, 1395.5707006144057]",122,56,[15]
75,B_Eu_b047_DoorComputer:0,74,"[14.190637588500977, 0.0, -229.7109832763672]",1.0,"[-573.9036856776096, -1356.1593780517578, 534.1768504891093]","[-573.9036865234375, -1585.870361328125, 519.9862060546875]",True,"[-28.38127899169922, -1233.225341796875, 211.0857696533203]","[0.00010826598736457527, 76.61480712890625, 248.33621215820312]","[-650.5184944981719, -1604.4955924932601, 505.79556319071844]","[659.3216561192718, -1567.245141469677, 534.1768510481597]",216,80,[16]
78,B_Eu_b047_Galler:0,77,"[0.0, 0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",False,"[-1800.0, -1979.208251953125, 1900.0]","[1800.0, 1969.21142578125, 3999.99951171875]","[-1800.0, -1979.208251953125, 1900.0]","[1800.0, 1969.21142578125, 3999.99951171875]",24,8,"[79, 17]"
