a_value,hit,models_entry_index,models_offset,packed_size,template_ids,template_count
53,True,3519,293243888,287128,13563,1
246,True,3057,279257329,17763,1353,1
493,True,3523,294425631,194437,13552,1
511,True,3628,312889848,91204,13548,1
647,True,3050,279174040,18382,3151,1
1054,True,3634,314345336,124704,13709,1
1294,True,3040,279063120,10924,1954,1
3109,True,1659,197456117,5767,11799;11800;11802;11805;11807;11810;11811;11814;11817;11819;11820;11821;11824;11826;11828;11831;11832,17
3234,True,3052,279207040,9042,3153,1
3236,True,3051,279192422,14618,3152,1
4123,True,3053,279216082,9042,3154,1
4750,True,3054,279225124,7127,3155,1
4785,True,3058,279275092,17763,1354,1
4876,True,1465,191607471,21889,796,1
4895,True,3059,279292855,17761,1355,1
4899,True,3060,279310616,12479,1359,1
4907,True,3061,279323095,12479,1362,1
4928,True,3041,279074044,12806,1955,1
4930,True,3042,279086850,18382,1956,1
5164,True,3373,290612719,5122,2938,1
5548,True,3369,290588877,5118,2934,1
6124,True,3056,279239564,17765,904,1
6978,True,3043,279105232,14618,1968,1
7023,True,3670,315891270,4923,12000,1
7353,True,3044,279119850,9042,1969,1
7423,True,3045,279128892,9042,1970,1
7457,True,3046,279137934,5063,1971,1
7461,True,3048,279150310,10924,2994,1
7467,True,3070,279855810,195303,1782,1
8781,True,3765,322547309,47898,12343;12344;12345;12346,4
9280,True,3750,321773580,46308,12243;12244;12245;12246;12247,5
11692,True,2824,271948834,8838,2891,1
11701,True,3776,322891391,14797,11988;11989;11990;11991,4
11708,True,3539,296695999,218496,13572,1
12467,True,1678,197994254,7782,8761,1
14135,True,418,73417597,167509,2048,1
14641,True,3526,294853853,111593,13558,1
14725,True,3527,294965446,246764,13565,1
16161,True,2971,275722549,77676,829,1
16163,True,2972,275800225,81207,1349,1
16178,True,2973,275881432,40405,1350,1
16180,True,2974,275921837,40973,1352,1
16182,True,2975,275962810,26518,2518,1
16201,True,2976,275989328,26518,234,1
16231,True,2977,276015846,26521,2520,1
16233,True,2978,276042367,27465,2522,1
16263,True,3139,282357510,26518,2524,1
16265,True,2979,276069832,40402,2523,1
16273,True,3140,282384028,51864,2001,1
16315,True,3141,282435892,51007,1966,1
16317,True,3142,282486899,51009,2002,1
16343,True,3180,284041910,14808,945,1
16424,True,3182,284071530,14678,1744,1
17994,True,3637,314800284,150719,13707,1
18082,True,3195,284701877,23627,1848,1
18458,True,3782,323018332,27232,11993;11994;11995;11996,4
21835,True,3547,298560692,136106,13566,1
22975,True,3196,284725504,48374,1878,1
22979,True,3197,284773878,35582,1879,1
22996,True,2961,274997986,18854,2280,1
23096,True,3198,284809460,22830,1880,1
23098,True,3199,284832290,22920,1881,1
23113,True,3235,286795560,27140,833,1
23142,True,3181,284056718,14812,1684,1
23182,True,3237,286845651,22407,1763,1
23184,True,2988,277070852,13743,1967,1
23199,True,2989,277084595,13149,1745,1
23269,True,3525,294743984,109869,13559,1
23273,True,3565,301433565,110512,13701,1
23639,True,3049,279161234,12806,3150,1
23893,True,2990,277097744,14646,1746,1
23895,True,2991,277112390,14772,1759,1
23897,True,2992,277127162,4468,1768,1
23971,True,1893,205117102,50687,10323,1
24798,True,3524,294620068,123916,13700,1
25081,True,2994,277685722,47174,1845,1
26382,True,2995,277732896,35067,1822,1
27667,True,3260,287373707,6350,3174,1
27856,True,3286,287799240,20294,1853,1
27875,True,2996,277767963,20294,1847,1
27876,True,3287,287819534,112402,1852,1
27879,True,3288,287931936,8647,2291,1
27880,True,3289,287940583,8647,2292,1
27881,True,3290,287949230,10132,2293,1
27882,True,3291,287959362,3637,2294,1
27883,True,3292,287962999,6699,2295,1
27884,True,3304,288434476,25099,1779,1
27885,True,3305,288459575,30809,1801,1
27886,True,3306,288490384,12912,1812,1
27888,True,3308,288527269,17277,1811,1
27889,True,3320,288713359,13459,1944,1
27890,True,3321,288726818,13459,1948,1
27891,True,3322,288740277,13459,1949,1
27892,True,3323,288753736,11427,1950,1
27893,True,3324,288765163,3392,1256,1
27894,True,3325,288768555,3141,1293,1
27895,True,3326,288771696,92387,2590,1
27896,True,3330,289164581,10483,1794,1
27897,True,3331,289175064,10526,1861,1
27898,True,3332,289185590,10634,1862,1
27899,True,3333,289196224,9194,1863,1
27900,True,3334,289205418,14840,1864,1
30269,True,3754,322001901,34484,12188;12189;12190;12191;12192;12193;12194;12195;12196;12197;12198;12199;12200;12201;12202,15
30451,True,1846,203364103,6956,15094,1
