b_value,hit,volumes_entry_index,volumes_offset,packed_size,template_ids,template_count
650,True,1610,3633716,328,3151,1
1702,True,1617,3635040,292,1353,1
2240,True,1611,3634044,256,3152,1
2873,True,1785,3661164,364,1948;1949,2
3237,True,1612,3634300,148,3153,1
4571,True,1613,3634448,148,3154,1
4756,True,1614,3634596,76,3155,1
4877,True,961,2965618,436,796,1
4961,True,1814,3665744,220,2934,1
5122,True,1816,3666220,256,2936,1
5153,True,1817,3666476,220,2937,1
5240,True,1818,3666696,256,2938,1
6007,True,1600,3631876,184,1954,1
6128,True,1616,3634748,292,904,1
7612,True,1618,3635332,292,1354,1
7957,True,1619,3635624,292,1355,1
17468,True,1602,3632280,328,1956,1
17789,True,1561,3621784,292,1745;1967,2
19616,True,1603,3632608,256,1968,1
20070,True,1604,3632864,148,1969,1
20084,True,1605,3633012,148,1970,1
20203,True,1606,3633160,76,1971,1
20843,True,1601,3632060,220,1955,1
22850,True,1559,3621344,148,2523,1
22851,True,962,2966054,1156,2975,1
22976,True,1608,3633312,184,2994,1
23143,True,1742,3652100,544,1763,1
23672,True,1609,3633496,220,3150,1
24582,True,1273,3307644,40,10323,1
24777,True,1772,3659024,76,1779,1
25714,True,1620,3635916,256,1359,1
26098,True,1621,3636172,256,1362,1
26169,True,1628,3638828,184,1782,1
27933,True,1668,3642192,148,2952,1
28031,True,1669,3642340,148,2951,1
28058,True,1670,3642488,256,2950,1
28066,True,1550,3620156,40,1761,1
28069,True,1551,3620196,148,829,1
28098,True,1552,3620344,112,1349,1
28138,True,1553,3620456,148,1350,1
28145,True,1554,3620604,148,1352,1
28216,True,1555,3620752,148,2518,1
28221,True,1556,3620900,148,234,1
28227,True,1557,3621048,148,2520,1
28233,True,1558,3621196,148,2522,1
28296,True,1748,3653816,292,3174,1
28352,True,1680,3644220,148,2524,1
28367,True,1372,3333814,112,1951,1
28432,True,1708,3648472,76,1684;1744,2
28685,True,1706,3648284,76,945,1
28746,True,1721,3649640,148,1848,1
28937,True,1787,3661676,76,1256,1
29493,True,1318,3317076,436,1298,1
29547,True,1319,3317512,400,1463,1
29568,True,1722,3649788,148,1878,1
29596,True,1320,3317912,508,1830,1
29788,True,1723,3649936,148,1879,1
30090,True,1724,3650084,148,1880,1
30458,True,1725,3650232,184,1881,1
30472,True,1740,3651552,256,833,1
30498,True,1741,3651808,292,1762,1
30522,True,1744,3653044,184,2964,1
30548,True,1562,3622076,220,1746,1
30575,True,1563,3622296,292,1759,1
30584,True,1564,3622588,76,1768,1
30597,True,1756,3655648,148,2914,1
30637,True,1757,3655796,148,2915,1
30679,True,1793,3664292,112,1794,1
30680,True,1758,3655944,148,2916,1
30774,True,1759,3656092,148,2917,1
30788,True,1760,3656240,292,2906,1
30810,True,1761,3656532,292,2907,1
30864,True,1762,3656824,292,2908,1
30901,True,1763,3657116,292,2909,1
30923,True,1764,3657408,364,2946,1
30979,True,1565,3622664,40,1845,1
31193,True,1566,3622704,40,1822,1
31528,True,1765,3657772,40,1853,1
31901,True,1567,3622744,40,1847,1
32283,True,1766,3657812,544,1852,1
32845,True,1767,3658356,256,2291,1
33047,True,1773,3659100,148,1801,1
33252,True,309,1059560,1192,2859,1
33351,True,1774,3659248,112,1812,1
33552,True,1786,3661528,148,1950,1
33607,True,1776,3659472,76,1811,1
34033,True,1783,3660436,364,1944,1
34228,True,1789,3661792,1840,2590,1
34353,True,1745,3653228,184,3170,1
34368,True,1746,3653412,184,3172,1
34523,True,1747,3653596,220,3173,1
34533,True,1749,3654108,256,3175,1
34537,True,1750,3654364,220,3176;3177,2
37303,True,1768,3658612,256,2292,1
37307,True,1769,3658868,40,2293,1
37310,True,1770,3658908,40,2294,1
37314,True,1771,3658948,76,2295,1
37795,True,1788,3661752,40,1293,1
37811,True,1794,3664404,112,1861,1
37814,True,1795,3664516,112,1862,1
37817,True,1796,3664628,112,1863,1
37823,True,1797,3664740,184,1864,1
38173,True,1366,3333502,40,1930,1
38177,True,1367,3333542,112,1931,1
38181,True,1368,3333654,40,1937,1
38294,True,1369,3333694,40,718,1
38472,True,1370,3333734,40,1940,1
38483,True,1371,3333774,40,1943,1
38498,True,1373,3333926,76,1952,1
38501,True,1374,3334002,148,1953,1
38514,True,1389,3353718,112,519,1
38519,True,1406,3379298,292,335,1
38523,True,1407,3379590,292,348,1
38526,True,1408,3379882,292,522,1
38529,True,1409,3380174,472,621,1
38532,True,1425,3383874,400,719,1
38541,True,1426,3384274,400,720,1
38559,True,1435,3385894,40,1701,1
38708,True,1449,3602472,1228,420,1
38722,True,1450,3603700,400,971,1
38726,True,1451,3604100,1048,973,1
38739,True,1453,3605656,1048,2029,1
38744,True,1454,3606704,148,1865,1
38747,True,1455,3606852,148,1866,1
38793,True,1531,3616264,256,1858,1
38803,True,1532,3616520,292,1860,1
38824,True,1543,3619156,76,1712,1
38826,True,1524,3613608,400,905,1
40371,True,305,1055764,1192,2858,1
40619,True,1298,3311884,436,1814,1
40627,True,1299,3312320,400,1816,1
40634,True,1300,3312720,472,1817,1
40646,True,1310,3315460,76,1818,1
40653,True,1311,3315536,76,1819,1
40754,True,1328,3320284,220,1821,1
40764,True,1329,3320504,256,1823,1
40774,True,1339,3326664,184,1824,1
43829,True,304,1053924,1840,2857,1
45664,True,1815,3665964,256,2935,1
46434,True,960,2963886,1732,2343,1
49465,True,302,1052116,1012,3769,1
50115,True,1269,3307484,40,10321,1
50127,True,1276,3307800,40,10319,1
50153,True,1270,3307524,40,10320,1
52295,True,609,1673556,1156,3204,1
52345,True,611,1675868,688,3205,1
52378,True,614,1677860,1120,3206,1
54324,True,1629,3639012,112,1783,1
59277,True,622,1687540,220,3211,1
59574,True,1235,3303316,40,3502,1
59617,True,1240,3304524,292,3507,1
59630,True,1242,3304856,40,3508,1
59645,True,1243,3304896,76,3511,1
59652,True,1244,3304972,40,3512,1
59656,True,1245,3305012,40,3513,1
59678,True,1239,3304232,292,3506,1
59685,True,1238,3303940,292,3505,1
59699,True,1236,3303356,292,3503,1
59705,True,1237,3303648,292,3504,1
59713,True,1224,3302264,148,3499,1
59716,True,1223,3302116,148,3498,1
59718,True,1225,3302412,148,3500,1
59721,True,1226,3302560,148,3501,1
62347,True,1752,3654804,220,3607,1
62351,True,1753,3655024,220,3609,1
62355,True,1754,3655244,184,3610,1
62360,True,1755,3655428,220,3611,1
62879,True,1414,3381778,292,3639,1
62885,True,1415,3382070,292,3640,1
62890,True,1416,3382362,292,3641,1
63035,True,1417,3382654,472,3642,1
63381,True,1403,3378170,112,3659,1
63906,True,1104,3276266,472,3682,1
63915,True,1103,3275938,328,3684,1
63924,True,1102,3275466,472,3685,1
64496,True,629,1699410,256,3718,1
64502,True,627,1699114,112,3716,1
64513,True,628,1699226,184,3717,1
64554,True,624,1690892,76,3713,1
64556,True,626,1698966,148,3715,1
64612,True,1135,3279630,220,4483,1
64619,True,1136,3279850,364,4484,1
64624,True,1134,3279590,40,4482,1
64703,True,619,1684972,1876,3207,1
64818,True,620,1686848,508,3209,1
64831,True,617,1681652,1768,3208,1
64863,True,325,1071432,328,3569,1
65594,True,621,1687356,184,3210,1
65600,True,623,1687760,3132,3212,1
65666,True,150,942664,76,3709,1
65673,True,151,942740,76,3710,1
65679,True,152,942816,148,3711,1
72957,True,268,1043448,40,3821,1
73074,True,269,1043488,40,3823,1
73118,True,270,1043528,40,3826,1
73120,True,271,1043568,40,3827,1
73296,True,1241,3304816,40,3831,1
74092,True,299,1046488,1372,2048,1
74265,True,1576,3624652,328,3860,1
74270,True,1577,3624980,616,3861,1
74282,True,1578,3625596,544,3862,1
74575,True,1476,3607908,40,3883,1
74592,True,1477,3607948,40,3884,1
74609,True,1478,3607988,40,3885,1
75023,True,1479,3608028,400,3903,1
75030,True,1481,3608828,436,3904,1
75035,True,1480,3608428,400,3905,1
75282,True,1463,3607280,40,3928,1
75287,True,1464,3607320,40,3929,1
75291,True,1465,3607360,40,3930,1
75615,True,1392,3354090,112,3956,1
75707,True,1395,3355002,112,3962,1
75780,True,1402,3377662,508,3970,1
75868,True,1410,3380646,292,3978,1
75873,True,1411,3380938,292,3979,1
75879,True,1412,3381230,256,3980,1
75921,True,1427,3384674,400,3983,1
75932,True,1428,3385074,400,3984,1
76013,True,1587,3628944,400,3997,1
76079,True,1589,3629672,256,4000,1
76083,True,1590,3629928,184,4001,1
76087,True,1591,3630112,76,4002,1
76091,True,1592,3630188,76,4003,1
76095,True,1593,3630264,76,4004,1
76139,True,1588,3629344,328,3999,1
76320,True,1580,3626360,328,4014,1
76325,True,1581,3626688,364,4015,1
76329,True,1582,3627052,364,4016,1
76333,True,1583,3627416,364,4017,1
76337,True,1584,3627780,400,4018,1
76341,True,1585,3628180,400,4019,1
76345,True,1586,3628580,364,4020,1
76708,True,616,1680064,1588,4030,1
77853,True,1486,3609424,328,4061,1
77872,True,1595,3630632,256,4069,1
77879,True,1596,3630888,220,4070,1
77884,True,1597,3631108,292,4071,1
77889,True,1598,3631400,220,4072,1
77894,True,1599,3631620,256,4073,1
78132,True,1712,3648668,76,4082,1
78139,True,1713,3648744,76,4083,1
78143,True,1714,3648820,76,4084,1
78147,True,1715,3648896,76,4085,1
78151,True,1716,3648972,220,4086,1
93917,True,1684,3645676,544,4397,1
93926,True,1686,3646656,328,4399,1
93930,True,1687,3646984,400,4400,1
93982,True,1743,3652644,400,4402,1
93998,True,1569,3622860,364,4406,1
94003,True,1685,3646220,436,4398,1
94019,True,1570,3623224,544,4407,1
94023,True,1571,3623768,436,4408,1
99073,True,1129,3279354,76,4478,1
99075,True,1130,3279430,40,4479,1
99078,True,1131,3279470,40,4480,1
99083,True,1133,3279550,40,4481,1
101359,True,1233,3303092,76,4500,1
101375,True,1234,3303168,148,4501,1
103242,True,1386,3343158,292,2213,1
103248,True,1388,3353426,292,2214,1
103279,True,1399,3377290,112,2216,1
103297,True,1413,3381486,292,2220,1
104132,True,1641,3640068,76,1191,1
104155,True,1642,3640144,76,1199,1
104177,True,1643,3640220,76,1231,1
104198,True,1644,3640296,76,1332,1
104214,True,1645,3640372,76,1437,1
104230,True,1646,3640448,76,1532,1
105727,True,1702,3648124,40,253,1
105747,True,1703,3648164,40,257,1
105763,True,1704,3648204,40,259,1
105779,True,1705,3648244,40,261,1
106819,True,1475,3607868,40,3882,1
108588,True,1495,3610072,76,1058,1
108593,True,1496,3610148,112,1059,1
108598,True,1497,3610260,112,1060,1
108602,True,1498,3610372,40,1061,1
108606,True,1499,3610412,40,1062,1
108675,True,1500,3610452,40,759,1
109107,True,1278,3307916,436,8202,1
109126,True,1506,3610800,1264,1150,1
109148,True,1671,3642744,148,1152,1
109164,True,1672,3642892,148,1154,1
109180,True,1673,3643040,112,1156,1
109241,True,1572,3624204,112,1169,1
109387,True,1503,3610644,76,1137;1139,2
109488,True,1573,3624316,112,1177,1
109492,True,1574,3624428,112,1178,1
109496,True,1575,3624540,112,1179,1
111127,True,1544,3619232,184,1367,1
111144,True,1545,3619416,112,1369,1
111161,True,1546,3619528,76,1374,1
112373,True,1127,3278914,256,8204,1
112587,True,1286,3309424,328,9359,1
112895,True,1679,3644180,40,2424,1
117225,True,1502,3610568,76,1138,1
121707,True,1287,3309752,724,9358,1
126741,True,206,992080,688,4752,1
127428,True,197,977212,1876,4755,1
127562,True,198,979088,1624,4757,1
127604,True,199,980712,3424,4759,1
127726,True,200,984136,1552,4762,1
127760,True,201,985688,1516,4764,1
127800,True,202,987204,1264,4766,1
127858,True,203,988468,2164,4768,1
127910,True,204,990632,508,4770,1
127959,True,205,991140,940,4772,1
128079,True,212,997468,1876,4778,1
128146,True,214,1002660,2920,4782,1
128754,True,168,962084,40,4784,1
128763,True,196,975588,1624,4753,1
128818,True,209,994180,724,4774,1
128851,True,210,994904,1336,4776,1
128878,True,213,999344,3316,4780,1
128916,True,169,962124,40,4786,1
128933,True,170,962164,40,4788,1
128950,True,171,962204,40,4790,1
128967,True,172,962244,40,4792,1
128984,True,173,962284,40,4794,1
129002,True,174,962324,40,4796,1
129021,True,175,962364,220,4798,1
129044,True,177,962984,400,4800,1
129064,True,178,963384,616,4802,1
129086,True,179,964000,148,4804,1
129105,True,180,964148,40,4806,1
129124,True,181,964188,1192,4808,1
129144,True,182,965380,508,4810,1
129185,True,312,1061480,760,4814,1
129211,True,313,1062240,220,4816,1
129233,True,314,1062460,184,4818,1
129257,True,315,1062644,580,4820,1
129282,True,264,1041056,616,4822,1
129312,True,265,1041672,760,4824,1
129339,True,266,1042432,940,4826,1
129376,True,229,1019748,652,4829,1
129409,True,246,1029464,796,4831,1
130560,True,1663,3641272,184,585,1
130584,True,1664,3641456,148,587,1
130638,True,1665,3641604,184,589,1
130660,True,1666,3641788,148,591,1
130682,True,1667,3641936,256,593,1
130703,True,1674,3643152,256,595,1
130782,True,1675,3643408,256,597,1
130802,True,1676,3643664,184,599,1
130851,True,1677,3643848,184,601,1
130868,True,1678,3644032,148,603,1
131117,True,221,1012840,472,583,1
131437,True,230,1020400,40,625,1
131464,True,187,969900,472,627,1
131496,True,188,970372,652,630,1
131526,True,189,971024,472,632,1
131557,True,190,971496,616,639,1
131587,True,191,972112,832,640,1
131626,True,231,1020440,40,648,1
131654,True,232,1020480,40,652,1
131672,True,233,1020520,40,654,1
131689,True,234,1020560,40,656,1
131706,True,223,1013784,1084,644,1
131730,True,224,1014868,868,659,1
131835,True,1622,3636428,400,661,1
131880,True,1623,3636828,400,662,1
131896,True,1624,3637228,400,664,1
131912,True,1625,3637628,400,666,1
131930,True,1626,3638028,400,674,1
131946,True,1627,3638428,400,679,1
131961,True,1635,3639324,148,709,1
131980,True,1636,3639472,148,710,1
131996,True,1637,3639620,148,725,1
132013,True,1638,3639768,148,727,1
132149,True,240,1026452,184,909,1
132169,True,237,1023884,364,1080,1
132200,True,192,972944,616,1112,1
132229,True,193,973560,544,1800,1
132276,True,238,1024248,652,4835,1
132341,True,241,1026636,112,2438,1
132440,True,239,1024900,1552,4839,1
132520,True,252,1032440,436,4841,1
132552,True,217,1005660,2308,4843,1
132594,True,227,1017436,832,4845,1
132643,True,228,1018268,1480,4847,1
132722,True,243,1027184,472,618,1
132756,True,244,1027656,436,4851,1
132781,True,839,2073584,760,4853,1
132871,True,317,1064632,1444,4855,1
132891,True,319,1066476,436,4857,1
132912,True,321,1068248,1480,4859,1
132938,True,322,1069728,868,4861,1
132997,True,323,1070596,328,4863,1
133021,True,324,1070924,508,4865,1
133048,True,176,962584,400,4867,1
133074,True,259,1038408,544,4869,1
133102,True,260,1038952,364,4871,1
133128,True,261,1039316,544,4873,1
133150,True,262,1039860,436,4875,1
133173,True,326,1071760,292,4877,1
133222,True,218,1007968,2200,4880,1
133268,True,245,1028092,1372,4882,1
134163,True,215,1005580,40,4912;10318,2
134206,True,216,1005620,40,4914;4995,2
135017,True,183,965888,40,4643,1
135392,True,248,1031020,508,4972,1
135779,True,235,1020600,3208,4983,1
136049,True,225,1015736,904,609,1
136424,True,219,1010168,2272,4994,1
136993,True,278,1043956,112,4898,1
137019,True,276,1043804,112,4998,1
137044,True,279,1044068,112,5003,1
137072,True,281,1044220,112,5006,1
137179,True,282,1044332,112,4996,1
141389,True,311,1061044,436,5091,1
141922,True,569,1612954,1732,5114,1
141999,True,579,1622678,1660,5115,1
142148,True,573,1618550,436,5116,1
142169,True,576,1619858,940,5118,1
142196,True,582,1624814,256,5120,1
142220,True,585,1625582,76,5121,1
142233,True,586,1625658,184,5122,1
142247,True,587,1625842,472,5123,1
142476,True,580,1624338,40,5127,1
142481,True,581,1624378,436,5126,1
142509,True,592,1628490,220,5129,1
142537,True,236,1023808,76,5131,1
142576,True,308,1058872,688,5134,1
142840,True,251,1032220,220,5136,1
142861,True,250,1032000,220,5138,1
143210,True,598,1632834,28298,5151,1
143571,True,588,1626314,112,3743,1
146572,True,300,1047860,1516,5215,1
146635,True,301,1049376,2740,5217,1
156291,True,290,1044940,40,3747,1
156319,True,289,1044900,40,4293,1
156828,True,288,1044860,40,5426,1
157036,True,284,1044484,148,5434,1
165198,True,1726,3650416,148,4668,1
165264,True,1727,3650564,112,5533,1
165281,True,1728,3650676,112,5535,1
165297,True,1729,3650788,76,5551,1
165315,True,1730,3650864,76,5553,1
165331,True,1731,3650940,76,5557,1
165348,True,1732,3651016,76,5568,1
165382,True,1734,3651168,76,5572,1
165399,True,1735,3651244,76,5574,1
165415,True,1736,3651320,76,5576,1
165432,True,1737,3651396,76,5578,1
165453,True,1822,3667072,256,5580,1
165469,True,1823,3667328,256,5582,1
165486,True,1824,3667584,256,5584,1
166378,True,1594,3630340,292,987,1
166406,True,1607,3633236,76,1081,1
