entry_index,name,packed_size,offset
0,505775.nif,306034,0
1,505813.nif,2043493,306034
2,508854.nif,24352,2349527
3,508947.nif,5156,2373879
4,505007.nif,370897,2379035
5,505031.nif,331256,2749932
6,505225.nif,133189,3081188
7,510661.nif,1210,3214377
8,505209.nif,39766,3215587
9,505055.nif,45615,3255353
10,505058.nif,289895,3300968
11,505074.nif,368691,3590863
12,504936.nif,624132,3959554
13,505062.nif,1236,4583686
14,508623.nif,1225,4584922
15,508626.nif,1225,4586147
16,508629.nif,1225,4587372
17,508632.nif,1225,4588597
18,508635.nif,1225,4589822
19,505072.nif,1705,4591047
20,505066.nif,188708,4592752
21,508654.nif,189865,4781460
22,505591.nif,1297588,4971325
23,505751.nif,143089,6268913
24,507032.nif,1369164,6412002
25,507084.nif,528322,7781166
26,507124.nif,353932,8309488
27,507119.nif,132122,8663420
28,507067.nif,124767,8795542
29,507299.nif,126844,8920309
30,505844.nif,795658,9047153
31,507222.nif,36496,9842811
32,353832.nif,58214,9879307
33,353833.nif,58214,9937521
34,353834.nif,58214,9995735
35,353835.nif,58214,10053949
36,353595.nif,1931943,10112163
37,353844.nif,80595,12044106
38,519569.nif,19813,12124701
39,512460.nif,6127,12144514
40,512403.nif,24755,12150641
41,511575.nif,190739,12175396
42,511767.nif,533222,12366135
43,511945.nif,384639,12899357
44,512126.nif,673746,13283996
45,508326.nif,177659,13957742
46,346639.nif,144005,14135401
47,591185.nif,856895,14279406
48,549120.nif,793766,15136301
49,549100.nif,609022,15930067
50,549102.nif,460008,16539089
51,549108.nif,365316,16999097
52,549112.nif,1219651,17364413
53,549114.nif,86293,18584064
54,549118.nif,100360,18670357
55,554074.nif,294561,18770717
56,554075.nif,464691,19065278
57,554076.nif,1765934,19529969
58,554106.nif,173018,21295903
59,554178.nif,535444,21468921
60,554110.nif,455533,22004365
61,565687.nif,492075,22459898
62,565152.nif,393240,22951973
63,565155.nif,863616,23345213
64,565158.nif,199340,24208829
65,565161.nif,240717,24408169
66,565189.nif,135988,24648886
67,565167.nif,185925,24784874
68,576789.nif,573063,24970799
69,576791.nif,36709,25543862
70,576795.nif,837242,25580571
71,576799.nif,48653,26417813
72,576803.nif,80128,26466466
73,576807.nif,35378,26546594
74,512833.nif,93479,26581972
75,581495.nif,1775,26675451
76,517137.nif,163112,26677226
77,517152.nif,7692,26840338
78,524750.nif,29578,26848030
79,524770.nif,35192,26877608
80,517322.nif,19641,26912800
81,517332.nif,19741,26932441
82,512848.nif,418977,26952182
83,516623.nif,13061,27371159
84,512852.nif,90194,27384220
85,513823.nif,90192,27474414
86,513998.nif,1280403,27564606
87,512856.nif,305934,28845009
88,512860.nif,222027,29150943
89,512887.nif,232285,29372970
90,512863.nif,22887,29605255
91,513835.nif,13936,29628142
92,512871.nif,167609,29642078
93,512875.nif,160062,29809687
94,512879.nif,223545,29969749
95,512883.nif,307335,30193294
96,515286.nif,72994,30500629
97,515301.nif,5395,30573623
98,519308.nif,258804,30579018
99,519316.nif,540469,30837822
100,512745.nif,1206484,31378291
101,512781.nif,371637,32584775
102,512785.nif,18665,32956412
103,512829.nif,149686,32975077
104,512768.nif,90544,33124763
105,512762.nif,119634,33215307
106,512749.nif,79822,33334941
107,512753.nif,98436,33414763
108,512757.nif,109008,33513199
109,512777.nif,300029,33622207
110,512772.nif,529775,33922236
111,519123.nif,16936,34452011
112,514326.nif,1275833,34468947
113,517100.nif,301439,35744780
114,517159.nif,314080,36046219
115,527569.nif,76070,36360299
116,527865.nif,114630,36436369
117,526959.nif,12884,36550999
118,526963.nif,19772,36563883
119,526967.nif,19772,36583655
120,526971.nif,10326,36603427
121,526975.nif,10337,36613753
122,517207.nif,350045,36624090
123,517249.nif,67379,36974135
124,519989.nif,175902,37041514
125,520144.nif,36751,37217416
126,518858.nif,11808,37254167
127,518866.nif,138481,37265975
128,518870.nif,16226,37404456
129,462104.nif,1875492,37420682
130,471602.nif,663918,39296174
131,591386.nif,376049,39960092
132,591432.nif,2982,40336141
133,584707.nif,519858,40339123
134,584595.nif,23145,40858981
135,584607.nif,954898,40882126
136,584668.nif,127580,41837024
137,584676.nif,118221,41964604
138,584689.nif,109066,42082825
139,584692.nif,35648,42191891
140,584695.nif,543085,42227539
141,584696.nif,401552,42770624
142,584697.nif,192847,43172176
143,584698.nif,193476,43365023
144,584699.nif,138777,43558499
145,584700.nif,86990,43697276
146,584701.nif,54460,43784266
147,584702.nif,100785,43838726
148,584703.nif,109922,43939511
149,584704.nif,111260,44049433
150,584705.nif,39187,44160693
151,584706.nif,38933,44199880
152,587246.nif,17374,44238813
153,510375.nif,10501,44256187
154,510356.nif,8883,44266688
155,510365.nif,11066,44275571
156,545614.nif,3401,44286637
157,266865.nif,2392,44290038
158,266450.nif,2392,44292430
159,266861.nif,2392,44294822
160,269529.nif,2626,44297214
161,168181.nif,1169,44299840
162,173763.nif,1162,44301009
163,330780.nif,52845,44302171
164,425538.nif,45820,44355016
165,322612.nif,284116,44400836
166,65665.nif,13409,44684952
167,65672.nif,14006,44698361
168,65678.nif,47229,44712367
169,59222.nif,20797,44759596
170,40324.nif,20800,44780393
171,348610.nif,20769,44801193
172,348632.nif,20769,44821962
173,348647.nif,20769,44842731
174,348652.nif,20769,44863500
175,72465.nif,22040,44884269
176,215028.nif,22281,44906309
177,215059.nif,22281,44928590
178,215082.nif,22281,44950871
179,591182.nif,50404,44973152
180,515234.nif,21266,45023556
181,219542.nif,7327,45044822
182,219564.nif,103688,45052149
183,219589.nif,106337,45155837
184,128752.nif,2275,45262174
185,128915.nif,3376,45264449
186,128932.nif,5017,45267825
187,128949.nif,3680,45272842
188,128966.nif,5017,45276522
189,128983.nif,7367,45281539
190,129001.nif,2527,45288906
191,129020.nif,9783,45291433
192,133047.nif,11723,45301216
193,129043.nif,14310,45312939
194,129063.nif,22978,45327249
195,129085.nif,8997,45350227
196,129104.nif,5844,45359224
197,129123.nif,24842,45365068
198,129143.nif,13905,45389910
199,135016.nif,3840,45403815
200,225492.nif,10029720,45407655
201,320318.nif,13301,55437375
202,321603.nif,11654,55450676
203,131463.nif,70508,55462330
204,131495.nif,58501,55532838
205,131525.nif,68799,55591339
206,131556.nif,60150,55660138
207,131586.nif,67894,55720288
208,132199.nif,69003,55788182
209,132228.nif,57375,55857185
210,344999.nif,207402,55914560
211,191417.nif,19588,56121962
212,128762.nif,301631,56141550
213,127427.nif,265125,56443181
214,127561.nif,135144,56708306
215,127603.nif,190007,56843450
216,127723.nif,144483,57033457
217,127759.nif,156547,57177940
218,127797.nif,65280,57334487
219,127856.nif,166134,57399767
220,127908.nif,98953,57565901
221,127957.nif,68591,57664854
222,126740.nif,104139,57733445
223,278453.nif,99303,57837584
224,296445.nif,108876,57936887
225,128816.nif,193125,58045763
226,128849.nif,326430,58238888
227,278534.nif,315916,58565318
228,128078.nif,177657,58881234
229,128877.nif,254331,59058891
230,128145.nif,195946,59313222
231,223494.nif,1129,59509168
232,223519.nif,1129,59510297
233,223534.nif,948,59511426
234,223549.nif,1129,59512374
235,223739.nif,948,59513503
236,223754.nif,948,59514451
237,223769.nif,1129,59515399
238,223784.nif,1129,59516528
239,223799.nif,1129,59517657
240,223802.nif,1129,59518786
241,223816.nif,1129,59519915
242,223831.nif,948,59521044
243,223848.nif,948,59521992
244,223863.nif,1129,59522940
245,223876.nif,1129,59524069
246,223891.nif,1129,59525198
247,223908.nif,1129,59526327
248,292167.nif,1129,59527456
249,292169.nif,1129,59528585
250,292173.nif,1129,59529714
251,292175.nif,1129,59530843
252,292177.nif,1129,59531972
253,292179.nif,1129,59533101
