base_a,synthetic_a,name,present_in_models_bnt
78478,1078478,1078478.nif,False
509042,1509042,1509042.nif,False
549118,1549118,1549118.nif,False
166421,1166421,1166421.nif,False
189877,1189877,1189877.nif,False
576789,1576789,1576789.nif,False
582436,1582436,1582436.nif,False
552678,1552678,1552678.nif,False
567391,1567391,1567391.nif,False
322443,1322443,1322443.nif,False
333065,1333065,1333065.nif,False
380871,1380871,1380871.nif,False
293359,1293359,1293359.nif,False
45350,1045350,1045350.nif,False
308534,1308534,1308534.nif,False
349582,1349582,1349582.nif,False
591142,1591142,1591142.nif,False
173908,1173908,1173908.nif,False
489877,1489877,1489877.nif,False
525934,1525934,1525934.nif,False
