entry_index,name,packed_size,offset
0,506044.bvi,148,0
1,506237.bvi,2524,148
2,505814.bvi,1048,2672
3,508855.bvi,40,3720
4,508948.bvi,40,3760
5,505008.bvi,832,3800
6,505032.bvi,724,4632
7,505226.bvi,1732,5356
8,505210.bvi,616,7088
9,505075.bvi,1192,7704
10,504937.bvi,3928,8896
11,505592.bvi,2380,12824
12,505752.bvi,1120,15204
13,507033.bvi,616,16324
14,507085.bvi,580,16940
15,507125.bvi,580,17520
16,507120.bvi,796,18100
17,507068.bvi,292,18896
18,508720.bvi,292,19188
19,507223.bvi,184,19480
20,353850.bvi,328,19664
21,353869.bvi,328,19992
22,353884.bvi,328,20320
23,353899.bvi,328,20648
24,353598.bvi,1300,20976
25,353972.bvi,256,22276
26,512404.bvi,652,22532
27,511768.bvi,7636,23184
28,511946.bvi,724,30820
29,512127.bvi,2308,31544
30,508327.bvi,220,33852
31,346640.bvi,1048,34072
32,591186.bvi,19966,35120
33,549128.bvi,11608,55086
34,549121.bvi,2464,66694
35,549122.bvi,15424,69158
36,549125.bvi,2416,84582
37,549129.bvi,2536,86998
38,549130.bvi,3640,89534
39,549131.bvi,8992,93174
40,580129.bvi,13264,102166
41,554130.bvi,2104,115430
42,554131.bvi,14824,117534
43,554132.bvi,2428,132358
44,560435.bvi,4984,134786
45,554134.bvi,1432,139770
46,580319.bvi,6388,141202
47,565153.bvi,6352,147590
48,565156.bvi,35896,153942
49,565159.bvi,2944,189838
50,565162.bvi,3952,192782
51,565190.bvi,4408,196734
52,565168.bvi,6076,201142
53,576964.bvi,9616,207218
54,580606.bvi,3304,216834
55,576796.bvi,8032,220138
56,576800.bvi,2476,228170
57,580603.bvi,2200,230646
58,576808.bvi,1840,232846
59,584334.bvi,40,234686
60,584124.bvi,14860,234726
61,583874.bvi,71468,249586
62,584047.bvi,70844,321054
63,584213.bvi,4244,391898
64,584238.bvi,9654,396142
65,584142.bvi,20120,405796
66,584178.bvi,4894,425916
67,526645.bvi,3064,430810
68,528311.bvi,1552,433874
69,524726.bvi,40,435426
70,512834.bvi,544,435466
71,582025.bvi,40,436010
72,517138.bvi,472,436050
73,517157.bvi,40,436522
74,524751.bvi,472,436562
75,524771.bvi,508,437034
76,517323.bvi,256,437542
77,517333.bvi,292,437798
78,512849.bvi,6556,438090
79,516624.bvi,76,444646
80,512855.bvi,1156,444722
81,513824.bvi,1156,445878
82,513999.bvi,17250,447034
83,512857.bvi,3388,464284
84,512861.bvi,3568,467672
85,512888.bvi,4396,471240
86,512864.bvi,184,475636
87,513836.bvi,184,475820
88,512872.bvi,1300,476004
89,512876.bvi,2056,477304
90,512880.bvi,2560,479360
91,512884.bvi,4324,481920
92,516122.bvi,40,486244
93,519309.bvi,724,486284
94,519317.bvi,1948,487008
95,512746.bvi,508,488956
96,512782.bvi,940,489464
97,512786.bvi,328,490404
98,512830.bvi,1372,490732
99,512769.bvi,1012,492104
100,512763.bvi,724,493116
101,512750.bvi,652,493840
102,512754.bvi,508,494492
103,512758.bvi,904,495000
104,512778.bvi,2560,495904
105,512773.bvi,1300,498464
106,519124.bvi,652,499764
107,514327.bvi,17250,500416
108,517101.bvi,1624,517666
109,517160.bvi,292,519290
110,527863.bvi,1876,519582
111,527866.bvi,2200,521458
112,517355.bvi,1012,523658
