file_name,archive_entry_index,arktexture_block_index,fake_entry_index,entry_name,f1,f2,ref,tr9_hex,ref_target_per_type_index,block_header_ABCpad,frozen_accepted_count,true_count_formula,fake_cause
188342.nif,3795,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
27876.nif,3287,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
386590.nif,593,14,1,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,256,0",3,1,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
386590.nif,593,14,2,,16777216,0,0,000000000000000000,NiNode,"3,1,256,0",3,1,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
386950.nif,528,15,1,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,256,0",3,1,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
386950.nif,528,15,2,,16777216,0,0,000000000000000000,NiNode,"3,1,256,0",3,1,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
386951.nif,529,15,1,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,256,0",3,1,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
386951.nif,529,15,2,,16777216,0,0,000000000000000000,NiNode,"3,1,256,0",3,1,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
488579.nif,572,18,2,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,512,0",3,2,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
490390.nif,1088,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
490489.nif,1036,20,2,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,512,0",3,2,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
493785.nif,586,18,2,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,512,0",3,2,frozen candidate-order artifact: accepted count from numfield consumed the next block's GroupID/name bytes (F-14 retraction)
510636.nif,1125,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
510638.nif,1127,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
510661.nif,7,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
514296.nif,2003,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
523316.nif,1169,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
523337.nif,1170,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
523338.nif,1171,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
525003.nif,1191,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
532222.nif,3653,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
536060.nif,3664,28,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
536181.nif,4233,174,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
536525.nif,1172,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
545614.nif,156,3,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
547537.nif,2349,170,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
548295.nif,2233,173,0,,15,1449882177,1886872937,6f7274496e666f0300,OOR(1886872937),"3,1,0,0",1,0,frozen candidate-order artifact: accepted count from field1 consumed the next block's GroupID/name bytes (F-14 retraction)
