file_name,rederivation_class,archive_entry_index,archive_payload_offset,payload_size,num_blocks_file,arktexture_block_index,block_start_offset,block_name,block_name_len,block_gid,header_offset,header_hex_13B,A_numfield,B_field1,C_field2,pad,signature_family,formula_count_field2_shift8,entry_start_offset,true_entries_verified,first_true_entry_name,first_true_entry_ref,next_gid,next_name_len,next_name,next_block_index,next_block_type_per_index,signature_verified_gid0_len_name,type_index_agreement,in_world_slice,frozen_decoder_accepted_count,frozen_decoder_count_source,frozen_decoder_block_start_vs_raw,fake_entries_in_block
188342.nif,ZERO_COUNT_MISPARSED_FROZEN,3795,323632547,14408,12,3,488,ArkTexture,10,0,506,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,519,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
27876.nif,ZERO_COUNT_MISPARSED_FROZEN,3287,287819534,112402,20,3,627,ArkTexture,10,0,645,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,658,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
490390.nif,ZERO_COUNT_MISPARSED_FROZEN,1088,163934832,55336,10,3,510,ArkTexture,10,0,528,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,541,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
510636.nif,ZERO_COUNT_MISPARSED_FROZEN,1125,172254230,911,9,3,512,ArkTexture,10,0,530,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,543,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
510638.nif,ZERO_COUNT_MISPARSED_FROZEN,1127,172298963,653,7,3,484,ArkTexture,10,0,502,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,515,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
510661.nif,ZERO_COUNT_MISPARSED_FROZEN,7,3214377,1210,12,3,525,ArkTexture,10,0,543,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,556,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
514296.nif,ZERO_COUNT_MISPARSED_FROZEN,2003,212262838,1631,17,3,506,ArkTexture,10,0,524,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,537,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
523316.nif,ZERO_COUNT_MISPARSED_FROZEN,1169,181077578,740,8,3,452,ArkTexture,10,0,470,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,483,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
523337.nif,ZERO_COUNT_MISPARSED_FROZEN,1170,181078318,740,8,3,452,ArkTexture,10,0,470,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,483,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
523338.nif,ZERO_COUNT_MISPARSED_FROZEN,1171,181079058,740,8,3,452,ArkTexture,10,0,470,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,483,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
525003.nif,ZERO_COUNT_MISPARSED_FROZEN,1191,181614319,117380,10,3,510,ArkTexture,10,0,528,03000000010000000000000000,3,1,0,0,"sig1_(3,1,0,0)",0,541,0,,,0,15,ArkViewportInfo,4,NiArkViewportInfoExtraData,True,True,True,1,field1,MATCH,1
