TYPE_NAME,FIELD_NAME,COL,HIST,MOD
ATextureRenderData,Alpha Mask,PRESENCE,present,ABSENT
ATextureRenderData,Bits Per Pixel,APPLIES_TO_10_1_0_0,True,False
ATextureRenderData,Blue Mask,PRESENCE,present,ABSENT
ATextureRenderData,Bytes Per Pixel,PRESENCE,present,ABSENT
ATextureRenderData,Channels,PRESENCE,present,ABSENT
ATextureRenderData,Flags,PRESENCE,present,ABSENT
ATextureRenderData,Green Mask,PRESENCE,present,ABSENT
ATextureRenderData,Mipmaps,PRESENCE,present,ABSENT
ATextureRenderData,Num Mipmaps,PRESENCE,present,ABSENT
ATextureRenderData,Palette,PRESENCE,present,ABSENT
ATextureRenderData,Pixel Format,PRESENCE,present,ABSENT
ATextureRenderData,Red Mask,PRESENCE,present,ABSENT
ATextureRenderData,Unknown 3 Bytes,PRESENCE,present,ABSENT
ATextureRenderData,Unknown 8 Bytes,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Byte 1,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int 2,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int 3,PRESENCE,present,ABSENT
ATextureRenderData,Unknown Int 4,PRESENCE,present,ABSENT
AvoidNode,Bounding Box,PRESENCE,present,ABSENT
AvoidNode,Bounding Volume,PRESENCE,ABSENT,present
AvoidNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Has Bounding Box,PRESENCE,present,ABSENT
AvoidNode,Has Bounding Volume,PRESENCE,ABSENT,present
AvoidNode,Has Old Extra Data,PRESENCE,present,ABSENT
AvoidNode,Legacy Extra Data,PRESENCE,ABSENT,present
AvoidNode,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Old Extra Internal Id,PRESENCE,present,ABSENT
AvoidNode,Old Extra Prop Name,PRESENCE,present,ABSENT
AvoidNode,Old Extra String,PRESENCE,present,ABSENT
AvoidNode,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
AvoidNode,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
AvoidNode,Shader Type,PRESENCE,ABSENT,present
AvoidNode,Skyrim Shader Type,PRESENCE,present,ABSENT
AvoidNode,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
AvoidNode,Unknown Byte,PRESENCE,present,ABSENT
AvoidNode,Unknown Short 1,PRESENCE,present,ABSENT
AvoidNode,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSAnimNote,Arm,PRESENCE,ABSENT,present
BSAnimNote,Gain,PRESENCE,ABSENT,present
BSAnimNote,State,PRESENCE,ABSENT,present
BSAnimNote,Time,PRESENCE,ABSENT,present
BSAnimNote,Type,PRESENCE,ABSENT,present
BSAnimNotes,Anim Notes,PRESENCE,ABSENT,present
BSAnimNotes,Num Anim Notes,PRESENCE,ABSENT,present
BSAnimNotes,Unknown Short 1,PRESENCE,present,ABSENT
BSBehaviorGraphExtraData,Behaviour Graph File,FIELD_TYPE,string,NiFixedString
BSBehaviorGraphExtraData,Behaviour Graph File,FIELD_WIDTH_IF_FIXED,var(u32+),var(unknown-type)
BSBehaviorGraphExtraData,Controls Base Skeleton,FIELD_TYPE,byte,bool
BSBehaviorGraphExtraData,Controls Base Skeleton,FIELD_WIDTH_IF_FIXED,1,1(version-dep;1B for 10.1)
BSBehaviorGraphExtraData,Extra Data,PRESENCE,ABSENT,present
BSBehaviorGraphExtraData,Num Bytes,PRESENCE,ABSENT,present
BSBlastNode,Bounding Box,PRESENCE,present,ABSENT
BSBlastNode,Bounding Volume,PRESENCE,ABSENT,present
BSBlastNode,Current,PRESENCE,ABSENT,present
BSBlastNode,Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Has Bounding Box,PRESENCE,present,ABSENT
BSBlastNode,Has Bounding Volume,PRESENCE,ABSENT,present
BSBlastNode,Has Old Extra Data,PRESENCE,present,ABSENT
BSBlastNode,Legacy Extra Data,PRESENCE,ABSENT,present
BSBlastNode,Max,PRESENCE,ABSENT,present
BSBlastNode,Min,PRESENCE,ABSENT,present
BSBlastNode,Num Effects,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Num Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Old Extra Internal Id,PRESENCE,present,ABSENT
BSBlastNode,Old Extra Prop Name,PRESENCE,present,ABSENT
BSBlastNode,Old Extra String,PRESENCE,present,ABSENT
BSBlastNode,Properties,APPLIES_TO_10_1_0_0,True,UNRESOLVED
BSBlastNode,Rotation,FIELD_WIDTH_IF_FIXED,36,var(unknown-type)
BSBlastNode,Shader Type,PRESENCE,ABSENT,present
BSBlastNode,Skyrim Shader Type,PRESENCE,present,ABSENT
BSBlastNode,Translation,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBlastNode,Unknown Byte,PRESENCE,present,ABSENT
BSBlastNode,Unknown Byte 1,PRESENCE,present,ABSENT
BSBlastNode,Unknown Short 1,PRESENCE,present,ABSENT
BSBlastNode,Unknown Short 2,PRESENCE,present,ABSENT
BSBlastNode,Velocity,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBoneLODExtraData,BoneLOD Info,FIELD_WIDTH_IF_FIXED,var(BoneLOD contains var),var(unknown-type)
BSBoneLODExtraData,Extra Data,PRESENCE,ABSENT,present
BSBoneLODExtraData,Num Bytes,PRESENCE,ABSENT,present
BSBound,Center,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBound,Dimensions,FIELD_WIDTH_IF_FIXED,12,var(unknown-type)
BSBound,Extra Data,PRESENCE,ABSENT,present
BSBound,Num Bytes,PRESENCE,ABSENT,present
BSClothExtraData,Binary Data,PRESENCE,ABSENT,present
BSClothExtraData,Extra Data,PRESENCE,ABSENT,present
BSClothExtraData,Name,PRESENCE,ABSENT,present
BSClothExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSClothExtraData,Num Bytes,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Binary Data,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Extra Data,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Name,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Next Extra Data,PRESENCE,ABSENT,present
BSCollisionQueryProxyExtraData,Num Bytes,PRESENCE,ABSENT,present
BSConnectPoint::Children,Extra Data,PRESENCE,ABSENT,present
BSConnectPoint::Children,Name,PRESENCE,ABSENT,present
