TYPE_NAME,PARENT_TYPE,VERSION_MIN,VERSION_MAX,APPLIES_TO_10_1_0_0,FIELD_INDEX,FIELD_NAME,FIELD_TYPE,FIELD_WIDTH_IF_FIXED,ARRAY_RELATION,COUNT_RELATION,CONDITION,LINK_REF_ROLE,INHERITED_FROM,SOURCE_ORACLE,SOURCE_LOCATION
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,0,Pixel Format,PixelFormat,4,,,,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,1,Red Mask,uint,4,,,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,2,Green Mask,uint,4,,,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,3,Blue Mask,uint,4,,,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,4,Alpha Mask,uint,4,,,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,5,Bits Per Pixel,byte,1,,,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,6,Unknown 3 Bytes,byte,1,array per 3,count=3,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,7,Unknown 8 Bytes,byte,1,array per 8,count=8,ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,True,8,Unknown Int,uint,4,,,ver>=10.1.0.0;ver<=10.2.0.0,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,False,9,Bits Per Pixel,byte,1,,,ver>=20.0.0.4,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,False,10,Unknown Int 2,int,4,,,ver>=20.0.0.4,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,False,11,Unknown Int 3,uint,4,,,ver>=20.0.0.4,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,False,12,Flags,byte,1,,,ver>=20.0.0.4,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,False,13,Unknown Int 4,uint,4,,,ver>=20.0.0.4,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
ATextureRenderData,NiObject,0.0.0.0,255.255.255.255,False,14,Unknown Byte 1,byte,1,,,ver>=20.3.0.6,,SELF,NIFXML_HIST_0_7_1_1,nif.xml
