type_name,blocks,files,min_blocks_per_file,max_blocks_per_file,baseline_type_present,example_files,scanner_status
NiNode,116150,4838,1,166,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiKeyframeController,72483,1839,1,74,YES_HIST,511767.nif;512126.nif;591185.nif;512781.nif;528310.nif,SCANNED
NiKeyframeData,72483,1839,1,74,YES_HIST,511767.nif;512126.nif;591185.nif;512781.nif;528310.nif,SCANNED
NiTriShape,17023,3020,1,163,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiTriShapeData,16958,3020,1,163,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiTexturingProperty,11177,3017,1,129,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiMaterialProperty,8146,3032,1,74,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiArkAnimationExtraData,4838,4838,1,1,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiArkImporterExtraData,4838,4838,1,1,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiArkTextureExtraData,4838,4838,1,1,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiAlphaProperty,4478,1993,1,68,YES_HIST,505775.nif;505225.nif;505055.nif;505058.nif;504936.nif,SCANNED
NiStringExtraData,4225,1596,1,62,YES_HIST,508854.nif;504936.nif;505591.nif;505844.nif;353595.nif,SCANNED
NiZBufferProperty,4176,3043,1,55,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiArkViewportInfoExtraData,4062,4062,1,1,YES_HIST,505775.nif;505813.nif;508854.nif;508947.nif;505007.nif,SCANNED
NiVertexColorProperty,3877,1047,1,150,YES_HIST,505813.nif;505031.nif;505225.nif;510661.nif;505209.nif,SCANNED
NiArkShaderExtraData,2084,1293,1,30,YES_HIST,591185.nif;549120.nif;554074.nif;565687.nif;576789.nif,SCANNED
NiTextureEffect,1586,483,1,102,YES_HIST,505775.nif;505813.nif;508947.nif;505007.nif;505031.nif,SCANNED
NiTextKeyExtraData,1038,1030,1,2,YES_HIST,139058.nif;136983.nif;535779.nif;535818.nif;464192.nif,SCANNED
NiPointLight,846,269,1,68,YES_HIST,505775.nif;505813.nif;508947.nif;505007.nif;505031.nif,SCANNED
NiFloatData,775,134,1,92,YES_HIST,504936.nif;505591.nif;505844.nif;512460.nif;511575.nif,SCANNED
NiTextureTransformController,744,128,1,92,YES_HIST,504936.nif;505591.nif;505844.nif;512460.nif;511575.nif,SCANNED
NiSkinInstance,694,360,1,12,YES_HIST,508326.nif;540667.nif;540687.nif;492966.nif;496217.nif,SCANNED
NiSkinData,694,360,1,12,YES_HIST,508326.nif;540667.nif;540687.nif;492966.nif;496217.nif,SCANNED
NiStencilProperty,532,445,1,5,YES_HIST,508326.nif;591185.nif;549120.nif;549102.nif;549118.nif,SCANNED
NiBillboardNode,384,90,1,54,YES_HIST,511575.nif;511767.nif;549118.nif;554074.nif;512856.nif,SCANNED
NiVertexMorphExtraData,354,118,1,12,NO_MOD_SCHEMA,592572.nif;574845.nif;574703.nif;579739.nif;576976.nif,SCANNED
NiPSysEmitterCtlr,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysUpdateCtlr,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysEmitterCtlrData,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysAgeDeathModifier,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysSpawnModifier,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysPositionModifier,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysBoundUpdateModifier,259,133,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiParticleSystem,256,130,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysData,256,130,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPosData,255,55,1,75,YES_HIST,511575.nif;511767.nif;512126.nif;512781.nif;496633.nif,SCANNED
NiMaterialColorController,244,46,1,75,YES_HIST,511575.nif;511767.nif;512126.nif;496633.nif;546764.nif,SCANNED
NiPSysGrowFadeModifier,227,127,1,6,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiPSysBoxEmitter,223,117,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;496799.nif,SCANNED
NiPSysColorModifier,221,110,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiColorData,221,110,1,8,YES_HIST,353595.nif;508326.nif;330780.nif;506236.nif;492966.nif,SCANNED
NiDirectionalLight,120,62,1,3,YES_HIST,511575.nif;549100.nif;549102.nif;549108.nif;549112.nif,SCANNED
NiSkinPartition,116,104,1,4,YES_HIST,496217.nif;511516.nif;512582.nif;512681.nif;513967.nif,SCANNED
NiFlipController,112,64,1,8,YES_HIST,505591.nif;591185.nif;549118.nif;554178.nif;565167.nif,SCANNED
