entry_index,name,size_stored,offset,size_plain,compression,sha256_stored,sha256_plain,header_string,version_hex,version_label,header_version_text,text_version_match,field_c,field_d,scan_status
0,505775.nif,306034,0,306034,raw,4D7F9C2CBA4267968047EEBDA995E5DB86A6FC5C36AAB25905E54B66CE464E4E,4D7F9C2CBA4267968047EEBDA995E5DB86A6FC5C36AAB25905E54B66CE464E4E,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xFA14E2FB,0xDBC754BF,SCANNED
1,505813.nif,2043493,306034,2043493,raw,75E203E042CC4E0960E0A4606F80B8488504A5CE1C41FE79332246445EE902DC,75E203E042CC4E0960E0A4606F80B8488504A5CE1C41FE79332246445EE902DC,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x2CA65EB8,0xA6B4C352,SCANNED
2,508854.nif,24352,2349527,24352,raw,B230A6EEF0DFC0DC009DB6F380DB45F546D59F62AF1ABB8F76D478BC79B2F186,B230A6EEF0DFC0DC009DB6F380DB45F546D59F62AF1ABB8F76D478BC79B2F186,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x5B65EACF,0x5B65EACF,SCANNED
3,508947.nif,5156,2373879,5156,raw,E7EEA16EADDEAE8ADA7BC6C51B7C805A2EDD1B4C9AA49F9BEFB626555FF6A10F,E7EEA16EADDEAE8ADA7BC6C51B7C805A2EDD1B4C9AA49F9BEFB626555FF6A10F,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x0CBC041E,0x0CBC041E,SCANNED
4,505007.nif,370897,2379035,370897,raw,C0518262EF3EF21BF4878236D92CC44F603D541A7736C98162B67FF1EA2E6065,C0518262EF3EF21BF4878236D92CC44F603D541A7736C98162B67FF1EA2E6065,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xF50A9350,0xC68CB9C0,SCANNED
5,505031.nif,331256,2749932,331256,raw,4F51E86F8ABFF500EB739B58BB9794652E3ECA69C26DCEBC4F31835C840591E0,4F51E86F8ABFF500EB739B58BB9794652E3ECA69C26DCEBC4F31835C840591E0,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x33369053,0xA9AA980C,SCANNED
6,505225.nif,133189,3081188,133189,raw,E788AABADB3686F235F2251D462353532A85773A6B2459F22BD77D10C77DAB67,E788AABADB3686F235F2251D462353532A85773A6B2459F22BD77D10C77DAB67,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x30F86DB7,0x30F86DB7,SCANNED
7,510661.nif,1210,3214377,1210,raw,41EFFD570751E06CCF51FDE821596E8BD25FFCABA29DCFD7C806135E93217722,41EFFD570751E06CCF51FDE821596E8BD25FFCABA29DCFD7C806135E93217722,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x31F81982,0x31F81982,SCANNED
8,505209.nif,39766,3215587,39766,raw,4CCFCAC230D08BB59CECCEAF728987CABEBC5E44AFFAD96926ABE086A9CE4AC5,4CCFCAC230D08BB59CECCEAF728987CABEBC5E44AFFAD96926ABE086A9CE4AC5,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x6BB8EA46,0x6BB8EA46,SCANNED
9,505055.nif,45615,3255353,45615,raw,49B2A3DE164992DDD2829E4796E7930D7A73EE5D62D4BD5651F05ABBFB81E2A2,49B2A3DE164992DDD2829E4796E7930D7A73EE5D62D4BD5651F05ABBFB81E2A2,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x8BB2816A,0xF57E3690,SCANNED
10,505058.nif,289895,3300968,289895,raw,E22596196B1CC81252946663701A030E74B5A971C68F7DB76FE7DBF3ACB9225F,E22596196B1CC81252946663701A030E74B5A971C68F7DB76FE7DBF3ACB9225F,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x1FBF4A41,0xDA60B761,SCANNED
11,505074.nif,368691,3590863,368691,raw,4BA6496DAB20EFE4E60CDAC27012D92DFC6EC7A077FC2F205AAD318AABF12224,4BA6496DAB20EFE4E60CDAC27012D92DFC6EC7A077FC2F205AAD318AABF12224,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xF8558BF1,0xB747D256,SCANNED
12,504936.nif,624132,3959554,624132,raw,0C9021C80F57F9E3B5340804AD5C59655A9CAFB4BDBCD1B0DF11689334A3E87B,0C9021C80F57F9E3B5340804AD5C59655A9CAFB4BDBCD1B0DF11689334A3E87B,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x155C837D,0xCB318CCA,SCANNED
13,505062.nif,1236,4583686,1236,raw,BD79D2D85C1C8C6C209C970B426B2810EF5B677DCD2C47C8EB7068AAC0AE62CE,BD79D2D85C1C8C6C209C970B426B2810EF5B677DCD2C47C8EB7068AAC0AE62CE,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xF6C1C6C0,0xA83C7DB7,SCANNED
14,508623.nif,1225,4584922,1225,raw,A721919E94F139CAD9F9A20624BFD8FBD88BBCE7F2471930F99B127163CCCA5F,A721919E94F139CAD9F9A20624BFD8FBD88BBCE7F2471930F99B127163CCCA5F,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x11DE6697,0x0FAB5A7B,SCANNED
15,508626.nif,1225,4586147,1225,raw,CD027BCC63DA6EC9E45F5C53C60C08108938147062FDCB64AAAE88F29A5D89E3,CD027BCC63DA6EC9E45F5C53C60C08108938147062FDCB64AAAE88F29A5D89E3,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x0EAEA9BB,0xAF5548CD,SCANNED
16,508629.nif,1225,4587372,1225,raw,C5689E8AC927AF88AD264056A736F3F7AEBD888FA272967F9FA0CD1833462469,C5689E8AC927AF88AD264056A736F3F7AEBD888FA272967F9FA0CD1833462469,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x02E554B1,0xE4539C9A,SCANNED
17,508632.nif,1225,4588597,1225,raw,1E36EB1281E6FF421E019B7EEC154F6B1F3DE0559205383852B91782B1CB99A7,1E36EB1281E6FF421E019B7EEC154F6B1F3DE0559205383852B91782B1CB99A7,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x163953AF,0x3958E063,SCANNED
18,508635.nif,1225,4589822,1225,raw,A5115ADF7119B934AF9668DC2EEF7FF33B15AC97F42849DB16FE528392D20A4A,A5115ADF7119B934AF9668DC2EEF7FF33B15AC97F42849DB16FE528392D20A4A,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x1A72AEA5,0x725E3434,SCANNED
19,505072.nif,1705,4591047,1705,raw,678AA936ED2D21ECE7B7DFD82122DC011CEA9827301C61A6077FE8B5FB5C96CD,678AA936ED2D21ECE7B7DFD82122DC011CEA9827301C61A6077FE8B5FB5C96CD,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0x385D4C10,0x365E8A98,SCANNED
20,505066.nif,188708,4592752,188708,raw,21FF9E69B742EF348DBCE29F0BFF40718E1DE3A21B105F79B42B53BB44EB1D0B,21FF9E69B742EF348DBCE29F0BFF40718E1DE3A21B105F79B42B53BB44EB1D0B,"Gamebryo File Format, Version 10.1.0.0",0x0A010000,10.1.0.0,10.1.0.0,MATCH,0xC79FEB48,0xEDF9CDEF,SCANNED
