type_name,baseline_fields_for_10_1,observed_in_entropia
ATextureRenderData,13,NO
AvoidNode,15,NO
BSAnimNotes,1,NO
BSBehaviorGraphExtraData,3,NO
BSBlastNode,17,NO
BSBoneLODExtraData,3,NO
BSBound,3,NO
BSDamageStage,17,NO
BSDebrisNode,17,NO
BSDecalPlacementVectorExtraData,4,NO
BSDismemberSkinInstance,6,NO
BSDistantTreeShaderProperty,8,NO
BSEffectShaderProperty,18,NO
BSEffectShaderPropertyColorController,8,NO
BSEffectShaderPropertyFloatController,8,NO
BSFadeNode,15,NO
BSFrustumFOVController,8,NO
BSFurnitureMarker,3,NO
BSFurnitureMarkerNode,3,NO
BSInvMarker,5,NO
BSKeyframeController,9,NO
BSLODTriShape,19,NO
BSLagBoneController,10,NO
BSLeafAnimNode,15,NO
BSLightingShaderProperty,30,NO
BSLightingShaderPropertyColorController,8,NO
BSLightingShaderPropertyFloatController,8,NO
BSMasterParticleSystem,18,NO
BSMaterialEmittanceMultController,7,NO
BSMultiBound,1,NO
BSMultiBoundAABB,2,NO
BSMultiBoundNode,16,NO
BSMultiBoundOBB,3,NO
BSMultiBoundSphere,4,NO
BSNiAlphaPropertyTestRefController,8,NO
BSOrderedNode,17,NO
BSPSysArrayEmitter,15,NO
BSPSysHavokUpdateModifier,7,NO
BSPSysInheritVelocityModifier,8,NO
BSPSysLODModifier,8,NO
BSPSysMultiTargetEmitterCtlr,11,NO
BSPSysRecycleBoundModifier,11,NO
BSPSysScaleModifier,6,NO
BSPSysSimpleColorModifier,11,NO
BSPSysStripUpdateModifier,5,NO
BSPSysSubTexModifier,11,NO
BSPackedAdditionalGeometryData,5,NO
BSParentVelocityModifier,5,NO
BSProceduralLightningController,27,NO
BSRefractionFirePeriodController,7,NO
BSRefractionStrengthController,7,NO
BSRotAccumTransfInterpolator,4,NO
BSSegmentedTriShape,18,NO
BSShaderLightingProperty,9,NO
BSShaderNoLightingProperty,10,NO
BSShaderPPLightingProperty,10,NO
BSShaderProperty,8,NO
BSShaderTextureSet,2,NO
BSSkyShaderProperty,10,NO
BSStripPSysData,33,NO
BSStripParticleSystem,19,NO
BSTreadTransfInterpolator,3,NO
BSTreeNode,19,NO
BSValueNode,17,NO
BSWArray,3,NO
BSWaterShaderProperty,11,NO
BSWindModifier,5,NO
BSXFlags,2,NO
CStreamableAssetData,2,NO
DistantLODShaderProperty,8,NO
FxButton,17,NO
FxRadioButton,22,NO
FxWidget,17,NO
HairShaderProperty,8,NO
Lighting30ShaderProperty,10,NO
Ni3dsAlphaAnimator,5,NO
Ni3dsAnimationNode,8,NO
Ni3dsColorAnimator,1,NO
Ni3dsMorphShape,1,NO
Ni3dsParticleSystem,1,NO
Ni3dsPathController,1,NO
NiAVObject,11,NO
NiAdditionalGeometryData,5,NO
NiAutoNormalParticles,16,NO
NiAutoNormalParticlesData,26,NO
NiBSAnimationNode,15,NO
NiBSBoneLODController,15,NO
NiBSPArrayController,37,NO
NiBSParticleNode,15,NO
NiBSplineBasisData,1,NO
NiBSplineCompFloatInterpolator,8,NO
NiBSplineCompPoint3Interpolator,5,NO
NiBSplineCompTransformInterpolator,16,NO
NiBSplineData,4,NO
NiBSplineFloatInterpolator,4,NO
NiBSplineInterpolator,4,NO
NiBSplinePoint3Interpolator,5,NO
NiBSplineTransformInterpolator,10,NO
NiBezierMesh,22,NO
NiBezierTriangle4,9,NO
NiBinaryExtraData,2,NO
NiBinaryVoxelData,10,NO
NiBinaryVoxelExtraData,3,NO
NiBlendBoolInterpolator,3,NO
NiBlendFloatInterpolator,3,NO
NiBlendInterpolator,2,NO
NiBlendPoint3Interpolator,3,NO
NiBlendTransformInterpolator,2,NO
NiBone,15,NO
NiBoneLODController,15,NO
