type_name,field_or_rule,parser_behavior,physical_behavior,baseline_behavior,status,blast_radius_files,blast_radius_blocks,recommended_fix,requires_separate_correction_run
HEADER,preamble-u32-before-each-block,"JS: preamble u32 MUST be 0; nonzero = desync LOUD FAIL","Physical: u32 before every block = 0 in 2343/2343 closure files (4838/4838 census files would follow NumGroups=0)","Engine (Gamebryo 1.2 NiObject::LoadBinary): per-block GroupID u32 for 5.0.0.6 <= v < 10.1.0.114; PE has NumGroups=0 so GroupID is always 0",PARSER_MATCHES_STANDARD,0,0,"Rename semantic label to GroupID (engine); keep ==0 invariant for PE",NO
HEADER,file-tail,"JS: bytes after last block recorded raw (fileTailBytesHex, semantics UNKNOWN)","Physical: u32 count + u32 refs (TopObjects); count=1, ref=block0 NiNode in 2343/2343 slice files","Engine NiStream::LoadTopLevelObjects: u32 NumTopObjects + u32 LinkID each",PARSER_SEMANTIC_GAP,0,0,"Parse tail as TopObjects list (semantic label + ref validation)",YES_MINOR (can ride any future reader change)
HEADER,header-layout,"JS: line + version + userVersion + numBlocks + u16 numBlockTypes + SizedString[] + u16[] + u32 numGroups + groups[]","Identical byte layout confirmed by census (4838/4838) + closure (2343/2343 slice)","Engine NiStream::LoadHeader/LoadRTTI/LoadObjectGroups — exact agreement",PARSER_MATCHES_STANDARD,0,0,,NO
NiArkImporterExtraData,tail-length,"JS: fixed 38B raw tail after int+version-string","Physical: 41B tail (13B header + 7xf32 bbox+pad) — closure-confirmed 2343/2343 in slice; witness 457485.nif: bytes 39-41 of pad land as ArkTexture's ""3 unknown zero bytes""","HIST schema stub: UnknownBytes[13] + UnknownFloats[7] = 41B — matches physical; the JS 38+3 split = re-attribution of the importer pad bytes",PARSER_MISATTRIBUTION_BIT_COMPATIBLE,0,0,"Re-attribute the 3 bytes to the importer tail (semantic labels only; byte stream identical)",YES_MINOR
NiArkTextureExtraData,3-header-bytes,"JS: reads 3 unknown zero bytes BEFORE the name","Physical: those 3 bytes are the last 3 bytes of the PREVIOUS NiArkImporterExtraData 41B tail (bbox pad); ArkTexture itself starts directly with its Name","Baseline (NiExtraData v10): Name first — no header bytes",PARSER_MISATTRIBUTION_BIT_COMPATIBLE,0,0,"Drop the 3-byte pre-read; fix importer tail to 41B",YES_MINOR (same change as above)
NiArkTextureExtraData,entry-count-formula,"JS/R61: entryCount = (field2 >>> 8) & 0xFFFFFF; no fallback","Physical: field2>>8 == TRUE count in 2343/2343 in-slice blocks (100%) [F-14/AMEND-009 retraction: the formerly claimed 24 'deviating' blocks (18 zero-count (3,1,0,0)/(3,0xFFFFFF00,0xFF,0) headers + 6 true-count-1/2 C=0x100/0x200 headers) were mis-parsed by THIS RUN's frozen decoder candidate order — not by the formula; the JS/R61 formula reads all of them correctly; re-derivation: ARKTEXTURE_ZERO_COUNT_REDERIVATION.csv 38 rows all next-block-signature + type-index verified]","No baseline (MindArk custom block; HIST stub reads NumTextures directly = wrong for v10)",PARSER_MATCHES_STANDARD [verdict INVERTED by F-14/AMEND-009; former status PARSER_FIELD_WRONG_ON_24_BLOCKS retracted — see AMEND-009 PRE_EDIT snapshot],0,0,"None required (former fallback recommendation withdrawn — no variant family exists in-slice; decoder-INSTRUMENT note only: order count candidates formula-first or validate the next-block signature at the entry boundary)",NO (correction run PE_935_NIF_PARSER_TEXTURECOUNT_24BLOCK_CORRECTION_R1 WITHDRAWN — false premise)
NiTexturingProperty,ApplyMode-vs-fieldA-fieldB,"JS: fieldA u16 + fieldB u16 (""replaces the u16 Flags"")","Physical: same 4 bytes; u32-at-that-position values in {0,2} — enum-consistent","HIST baseline: Apply Mode (ApplyMode enum, u32, <= 20.0.0.5) — byte-compatible",PARSER_ASSUMPTION_UNVERIFIED,0,0,"Relabel as ApplyMode u32 (baseline label) — no byte change",NO
NiVertexColorProperty,PE-extension-u32,"JS: flags u16 + vertexMode u16 + lightingMode u16 + unknownPeField u32 (""PE-specific extension"")","Physical: same 10 bytes; closure works under BOTH splits (width-identical); schema split (u16+u32+u32) closes 2544/2544 slice blocks","HIST baseline: Flags u16 + VertexMode (VertMode enum u32) + LightingMode (LightMode enum u32) — the ""PE extension"" reading is an alternative split of the same bytes",PARSER_ASSUMPTION_UNVERIFIED,0,0,"Relabel to baseline enums (or document the ambiguity); semantic adjudication (which split is true) = UNKNOWN pending value/runtime analysis",NO
NiTriShapeData,NumUVSets-width,"JS: numUvSets u16 early; tangentFlag = numUvSets & 0xF000","Physical: same 2 bytes; low 6 bits = UV count; high byte = ExtraVectorsFlags (u8)","HIST baseline: Num UV Sets (byte) + Extra Vectors Flags (byte); cond (ExtraVectorsFlags & 16) — bit-identical to the u16 reading",PARSER_MATCHES_STANDARD,0,0,,NO
NiTriShapeData,full-layout,"JS: keepFlags/compressFlags/numUvSets-early/consistencyFlags u16/hasTriangles/matchGroups","Identical to baseline; closure-validated (16958/16958 slice blocks)","HIST baseline: exact agreement",PARSER_MATCHES_STANDARD,0,0,,NO
