file,generator,physical_input,role
ENTROPIA_RTTI_CHAIN_PROBE.json,00_Control/entropia_rtti_probe.py (re-run by completing session),Entropia.exe (SHA E7785430... fail-closed),G4: NiNode vtable VA 0x00A8CCF4 slot census incl. slot17=0x007B5390; MSVC RTTI chain NiNode->NiAVObject->NiObjectNET->NiObject->NiRefObject; 47 slots
ENTROPIA_SLOT_NEIGHBORS_DISASM.txt,00_Control/entropia_disasm_7b5390.py at --start 0x82E420/0x406D50/0x7B60C0/0x7B4650/0x7B5160/0x7E4820,Entropia.exe,G4/G6/G7: vtable ABI prefix slots 0/1/2 (dtor + scalar-dtor thunk + GetRTTI); NC1 measured neighbors slots 16/18; G7 slot 27 UpdateWorldData (m_kLocal@+0x38 m_kWorld@+0x6C)
ENTROPIA_NIRTTI_STATIC_INIT.txt,hand-extracted byte facts with exact VAs (re-read from physical file),Entropia.exe,G4: slot 2 GetRTTI target 0x00BA7218 = NiNode::ms_RTTI proven by static initializer NiRTTI(0xBA7218 'NiNode'@0xA8CE00 base 0xBA7270); PE section table (.data virtual-only tail)
GB112_NIMAIN_LIB_VTABLE_DUMP.json,00_Control/parse_coff_vtable.py --classes NiRefObject NiObject NiObjectNET NiAVObject NiNode,G112 SDK VC71 ReleaseLib NiMain.lib (SHA FF4519AF...),G2: compiled era vtable maps; NiRefObject=1 slot; NiNode=32 slots; slot17=SetSelectiveUpdateFlags slot16=GetObjectByName
GB112_NIAVOBJECT_CTOR_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ??0NiAVObject@@IAE@XZ,GB112 NiMain.lib member .\releaselib\NiAVObject.obj,G7: GB112 NiAVObject member offsets (flags +0x20 parent +0x24 worldBound +0x28 m_kLocal +0x38 m_kWorld +0x6C propertyList +0xA0 collision +0xB0; size 0xB4)
GB112_NIAVOBJECT_GETOBJECTBYNAME_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ?GetObjectByName@NiAVObject@@,GB112 NiMain.lib member .\releaselib\NiAVObject.obj,G5: GB112 base GetObjectByName compiled body (name at [this+0x0C]; inlined strcmp; this-or-NULL; ret 4)
GB112_NINODE_GETOBJECTBYNAME_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ?GetObjectByName@NiNode@@,GB112 NiMain.lib member .\releaselib\NiNode.obj,G5: GB112 compiled NiNode::GetObjectByName (children +0xB8/+0xC0; recursion call [edx+0x40]; shape nearly identical to Entropia 0x7B5390)
GB112_NIAVOBJECT_UPDATEWORLDDATA_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ?UpdateWorldData@NiAVObject@@,GB112 NiMain.lib member .\releaselib\NiAVObject_Win32.obj,G7: GB112 m_kWorld@+0x6C copy (rep movsd 13 dwords); instruction-identical to Entropia slot 27
GB12_NINODE_OBJ_VTABLE_DUMP.json,00_Control/parse_coff_vtable.py --classes NiNode,gb12_build build\NiMain\NiNode.obj (SHA 6AA72A12...),G3: GB12 compiled NiNode vtable (34 slots; slot17=ApplyTransform slot18=GetObjectByName)
GB12_CHAIN_OBJ_VTABLE_DUMP.json,00_Control/parse_coff_vtable.py per class (NiRefObject NiObject NiObjectNET NiAVObject NiNode),gb12_build build\NiMain\*.obj (SHA pins in SOURCE_IDENTITIES.json),G3: GB12 compiled chain maps (NiObject 15 / NiObjectNET 15 / NiAVObject 29 / NiNode 34 slots)
GB12_NIAVOBJECT_CTOR_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ??0NiAVObject@@IAE@XZ,gb12_build build\NiMain\NiAVObject.obj,G7: GB12 NiAVObject member offsets (flags +0x1C parent +0x20 worldBound +0x24 m_kLocal +0x34 m_kWorld +0x68 propertyList +0x9C collision +0xAC; size 0xB0)
GB12_NINODE_GETOBJECTBYNAME_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ?GetObjectByName@NiNode@@,gb12_build build\NiMain\NiNode.obj,G5: GB12 compiled NiNode::GetObjectByName (children +0xB4/+0xBC; recursion call [eax+0x48])
GB12_NIAVOBJECT_GETOBJECTBYNAME_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ?GetObjectByName@NiAVObject@@,gb12_build build\NiMain\NiAVObject.obj,G5: GB12 base GetObjectByName (name at [this+0x08] - group member removed in 1.2.2.6)
GB12_NIAVOBJECT_UPDATEWORLDDATA_DISASM.txt,00_Control/coff_disasm_symbol.py --symbol ?UpdateWorldData@NiAVObject@@,gb12_build build\NiMain\NiAVObject_Win32.obj,G7: GB12 parent world translate X/Y/Z reads at +0x8C/+0x90/+0x94 and scale +0x98 -> GB12 +0x90 = world translate Y
