gate,verdict,MEASURED_QUANTITY,INDEPENDENT_SOURCE_OF_TRUTH,WHY_NON_CIRCULAR,FAILURE_CASE_DETECTED
G0_SOURCE_IDENTITY,PASS,"Entropia.exe SIZE=8015872 SHA256=E7785430E81DFFE648CE8F5312414B17BC9FCE61389689A22F753765D5280F31; gb12_oracle.exe SIZE=594944 SHA256=DD7112A41D83557395C5D31F72C89BFEA3D7906AB28EF4DD3C4BD8E398EB046C (banner treated as STALE; identity by SHA only); BASE_SHA=3644e5ac... == origin/master == live git ls-remote == worktree HEAD; GB112 lib SHA FF4519AF... and all 6 gb12 .obj SHAs re-measured; all chain-header SHAs re-measured (01_RAW locators)","filesystem hash measurements + git protocol (ls-remote live) vs contract pins","pins re-measured directly at run start and fail-closed re-verified inside every script execution; no pin was taken from any document","fail-closed exit implemented in entropia_rtti_probe.py / entropia_disasm_7b5390.py on any SHA mismatch; no mismatch occurred (had it occurred the run would stop, not silently proceed)"
G1_ISOLATED_GIT_WORKTREE,PASS,"git worktree list shows exactly the main tree (master 3644e5a) + this worktree (branch audit/pe935-ninode-slot17-gb-oracle-minicheck-r1 at 3644e5a); package is the only untracked content in the worktree; main tree dirty paths (14) belong to the concurrent LINK30 session and were not touched","git worktree list / git status / git rev-parse run by this session inside the isolated worktree","the worktree state was measured from git itself, not from the contract text; the branch/worktree pre-existed at BASE_SHA and that fact is documented rather than hidden","pre-existing branch+worktree detected and recovered honestly (documented in RUN_CONTRACT.md honesty note); had the worktree been at a different SHA or contained foreign commits the run would have stopped"
G2_GB112_CLASS_VIRTUAL_MAP,PASS,"GB112 compiled vtables (era VC71 NiMain.lib relocation maps): NiRefObject 1 slot (??_E only), NiObject 13, NiObjectNET 13, NiAVObject 27, NiNode 32; NiNode slot17 (+0x44) = SetSelectiveUpdateFlags; slot16 = GetObjectByName; slot15 = ApplyTransform; GetGroup/SetGroup NON-virtual in 1.1.2","NDL's own shipped VC71 ReleaseLib NiMain.lib symbols+relocations (independent of this project's toolchain) vs header-derived reconstruction","two independent methods (header/macro declaration order vs compiled relocation mapping) produced identical maps for all 5 classes","any macro-order or override miscount would make the two methods disagree; they agreed on every class; a naive 2-dtor-slot assumption was falsified by the era lib (NiRefObject vtable = exactly 1 slot)"
G3_GB12_CLASS_VIRTUAL_MAP,PASS,"GB12 compiled vtables (gb12_build .obj relocation maps): NiObject 15 (GetGroup@13 SetGroup@14 virtual), NiObjectNET 15, NiAVObject 29, NiNode 34; NiNode slot17 (+0x44) = ApplyTransform; slot18 = GetObjectByName; src copy verified byte-identical (NiNode.h 2F81B261... NiAVObject.h A5B18264... == Gb12_Source)","Gb12_Source headers vs VS2022-rebuilt .obj relocations (two independent derivations)","the .obj products were built by the project's gb12_build but from a SHA-verified byte-identical src copy, and the map is additionally cross-checked against the era-VC71 GB112 map whose +2 delta is exactly explained by the source-level GetGroup/SetGroup change","a build-integrity failure would show as src-copy hash mismatch (none) or as header-vs-relocation disagreement (none)"
G4_ENTROPIA_7B5390_BYTE_DECODE,PASS,"extent 0x007B5390..0x007B53E0 (ret 4 + 0xCC padding, context shown in raw listing); full instruction listing; helper 0x007BF220 full decode (extent ..0x007BF270); [vtable+0x44]=0x007B5390 re-measured (target_slot17.match=true); vtable 47 slots; MSVC RTTI chain .?AVNiNode@@->NiAVObject->NiObjectNET->NiObject->NiRefObject; NiRTTI static-init proof (NiRTTI(0xBA7218,'NiNode',0xBA7270)); PE section table re-parsed","physical Entropia.exe bytes only (SHA-pinned); the INPUT facts from the LINK30 run were used only as expectations to re-verify, never as evidence","every Entropia claim re-measured from the physical file by this run's own scripts; the untracked WIP packages were never read","the input facts could have failed re-verification (vtable value mismatch, wrong RTTI name) - they did not; had they failed, the decode target would have been rejected"
G5_BEHAVIORAL_COMPARISON,PASS,"14+ dimensions each measured per side: signature/args/return/null/name-access/child-iteration/recursion/dispatch-pattern/field-offsets/helper-behavior/control-flow + NEW vtable-prefix and neighbor-anchor and +0x90 dimensions (02_ANALYSIS/CROSS_VERSION_COMPARISON.csv)","each side's own compiled bytes: era VC71 lib, VS2022 .obj reloc-annotated disasm, physical Entropia.exe disasm","no dimension is derived from another; e.g. the recursion ordinal (16/18/17) is measured from each side's own vtable rather than assumed","divergences are reported as measured (name offset +0x0C vs +0x08 vs +0x0C; children offsets differ; dtor-slot prefix differs) instead of being harmonized - the matcher must survive them"
G6_NEGATIVE_CONTROLS,PASS,"NC1: both oracle slot-17 occupants REJECTED by the measured fingerprint (ApplyTransform: 3 args/ret 0xC/void/fp vs measured ret 4/pointer/no-fp; SetSelectiveUpdateFlags: 3 args/void/flag-writes) AND measured Entropia neighbors slots 16/18 (fp transform applier; bool-flag writer) rejected; NC2: vtable numbering DIFFERS (GB112 GetObjectByName@16/GB12@18; Entropia prefix +1 dtor slot vs both) - proven; NC3: 4 falsifiers all PRESENT (name compare; child traversal; compatible thiscall 1-arg ret-4 pointer ABI; same-slot +0x44 recursion)","oracle and Entropia compiled bytes (evidence files listed in 03_EVIDENCE/EVIDENCE_INDEX.csv)","the controls are designed to fail the hypothesis if the evidence were weaker; the slot-number path to identification was explicitly attempted and rejected","a slot-number matcher WOULD have mislabeled slot 17 (two different wrong labels from the two oracles) - demonstrated, not assumed; had any NC3 falsifier been absent the status would have dropped to D/E"
G7_OFFSET90_ORACLE_CHECK,PASS,"GB112: +0x90 = m_kWorld.m_Translate.x (m_kWorld@+0x6C, compiled ctor + UWD rep movsd x13); GB12: +0x90 = m_kWorld.m_Translate.y (m_kWorld@+0x68, UWD addss reads +0x8C/+0x90/+0x94); Entropia: +0x90 = m_kWorld.m_Translate.x PROVEN from Entropia bytes (slot 27 UWD writes m_kWorld@+0x6C; slot 16 anchors translate@+0x24/scale@+0x30 within the 52-byte transform)","each version's own compiled code (ctor + UpdateWorldData + slot 16 usage); oracle NiTransform header order corroborates","the Entropia answer is measured in-binary (slot 27/16 byte usage) and does not rely on transferring an oracle statement; the oracle pair's X vs Y difference is itself proof that transfer would be unsafe","the interrupted sessions had honestly reported Entropia +0x90 = UNKNOWN; the completing session's bounded slot-27 probe resolved it - had the bytes disagreed with the GB112-like layout the answer would have remained UNKNOWN (failure case would have been reported, not forced)"
G8_SCOPE_HELD,PASS,"Entropia decode bounded to: 0x007B5390 + 1 helper + slots 0/1/2/16/18/27 + 2 byte-pattern probes + PE header/section table; no downstream traversal, no transform-chain decode, no WIP package access, no AUDIT_ENTRYPOINT/PROJECT_STATE modification, no master mutation; package contains only derived facts (verified before commit)","git status/diff of the isolated worktree + package content review","the scope boundary is enforced by what was executed (enumerated in SOURCE_IDENTITIES.json scope_holds) and by pre-commit inspection","any of the forbidden actions would be visible in the diff; none present (checked at commit time)"
G9_COPYRIGHT_PROVENANCE_HYGIENE,PASS,"package contains ONLY: markdown/csv/json documentation, deterministic scripts, derived disassembly listings of the audited functions, vtable relocation dumps (symbol names + slot indices), hashes, paths, line ranges, and minimal derived pseudocode; no Gamebryo source file, no Gamebryo binary, no Entropia payload, no NIF/BNT payload (verified by extension + content scan before commit)","pre-commit package census (file list + types) vs the contract's allowed-evidence definition","the verification is against the physical committed paths, not against intention","a stray binary or source excerpt would have failed the census; none found"
