relative_path,size,sha256
AUDYT.md,12419,C4C87C2BC6EE4E7238EAA6FBD79146D1D5D15C7B6B4C2F9E47898ABA84DECAF6
REPORT.md,12419,C4C87C2BC6EE4E7238EAA6FBD79146D1D5D15C7B6B4C2F9E47898ABA84DECAF6
HANDOFF.md,1588,9BEFC4C70CBABEBEC9992429A722BB99B62EA7DA14CE4EFFF06B2056DEFE7E64
PROMPT_OPENCODE.txt,13065,3DA1EF71FF8090261122A86E40AF212F4DB2B8063DA8643FDD3BCE6903014B31
SOURCE_ATTACHMENTS.json,559,5B1DBDE7E54C40BCFC3CB97DA7799D90E5B07F0CB2715C0B317AF2FA10451C9A
STAGE_ACCEPTANCE_GATES.csv,1032,96165D92CF3086A8093CECBFE28B5D706B7DECF2A045C97B7254D3447800F56B
pe.mjs,1452,23014ADEE0F93EA8593F300DE7FB7364A5DBEA27459209AC4F7C30C740BFF708
probe.mjs,13407,4D44ED23C0C7F87D7DDFDEA68CDFBA601249DD7EAA3E8B6A218DEB8910EF090E
probe.json,46622,640272E0C3F7C3EFFA2C47DB9AE2B4A143F5236B6CF64821FCF401771F255E3A
probe.stdout.txt,5331,92D7103C300CE598FE7B93405BFEBED4E9750FC327CC2EBE10DB5BD719538FEB
independent_hexdumps.txt,8345,5B73E31384890287DBCD3A5A67623C40E3059B58A4680FF60CB53447EDCCC620
artifact_index.csv,971,4061226A7B38BD0B2CF202003220F4CCD4FF31EA89FD6F63A2DA3F80B60E7522
