writer_va,function_va,instruction,source_register_value,receiver_provenance,classification
0x004014A4,0x004013E0,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x0040170E,0x004016B0,"mov byte ptr [esp + 0x30], 3",3,stack slot (esp+0x30),REJECTED_ALIAS
0x0040179E,0x00401740,"mov byte ptr [esp + 0x30], 3",3,stack slot (esp+0x30),REJECTED_ALIAS
0x0040183E,0x004017E0,"mov byte ptr [esp + 0x30], 3",3,stack slot (esp+0x30),REJECTED_ALIAS
0x00401EA6,0x00401E70,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00401ED2,0x00401E70,"mov dword ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x00402025,0x00401FD0,"mov dword ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x00402F0D,0x00402E90,"mov dword ptr [esi + 0x30], ebx",ebx,"other-class this (vtable 0x00A7973C, .?AVArkReleaseClientApplication@@)",REJECTED_ALIAS
0x00403032,0x00403020,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x00403041,0x00403020,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x00403955,0x00403920,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x00403966,0x00403920,"mov byte ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x00403A3B,0x004039B0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x00404A0D,0x004049B0,"mov byte ptr [esp + 0x30], 2",2,stack slot (esp+0x30),REJECTED_ALIAS
0x00404D0A,0x00404CC0,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x00405026,0x00404E50,"mov dword ptr [ebx + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x0040525B,0x00405150,"mov dword ptr [edx + 0x30], ebx",ebx,static data address,REJECTED_ALIAS
0x00405B45,0x00405B00,"mov dword ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x004064BA,0x00406450,"mov byte ptr [esp + 0x30], 3",3,stack slot (esp+0x30),REJECTED_ALIAS
0x004069A3,0x00406940,"mov byte ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x00408C46,0x00408C10,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00408C72,0x00408C10,"mov dword ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x00408F1D,0x00408EE0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x00409112,0x00409080,"mov dword ptr [esi + 0x30], 0x400",0x400,unknown,POSSIBLE_ALIAS
0x00409AD4,0x00409AA0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
