va,pattern,insn,base_or_dst,vtable_load_va,receiver_reg,classification,evidence,arg2_push,arg2_class,literal_va
4216570,P3,"004056FA  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x004056e3,esi,INSUFFICIENT_PROOF,def form POP: 004056F0  5E                        pop esi,,,
4298945,P3,"004198C1  8B 46 0C                  mov eax, dword ptr [esi + 0xc]",esi,,no vtable load in window,NOT_A_VTABLE_CALL,,,,
4506119,P3,"0044C207  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0044c205,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x44c1f7', '0x44c1fe']",,,
4708345,P3,"0047D7F9  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0047d7f3,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x47d7ec', '0x47d7f4']",,,
4708369,P3,"0047D811  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0047d7f3,ecx,INSUFFICIENT_PROOF,"field read 0047D808  8B 4E 28                  mov ecx, dword ptr [esi + 0x28] (offset 0x28 not a known SF holder slot)",,,
4719981,P3,"0048056D  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0048056b,ecx,INSUFFICIENT_PROOF,"field read 00480564  8B 4E 2C                  mov ecx, dword ptr [esi + 0x2c] (offset 0x2c not a known SF holder slot)",,,
4723968,P3,"00481500  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x004814fe,ecx,INSUFFICIENT_PROOF,"field read 004814F7  8B 4E 2C                  mov ecx, dword ptr [esi + 0x2c] (offset 0x2c not a known SF holder slot)",,,
4724505,P3,"00481719  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00481717,ecx,INSUFFICIENT_PROOF,"field read 00481710  8B 4E 2C                  mov ecx, dword ptr [esi + 0x2c] (offset 0x2c not a known SF holder slot)",,,
5706803,P3,"00571433  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x0057142d,ecx,INSUFFICIENT_PROOF,"field read 00571427  8B 0E                     mov ecx, dword ptr [esi] (offset 0x0 not a known SF holder slot)",,,
5711826,P3,"005727D2  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x005727d0,ecx,INSUFFICIENT_PROOF,"absolute memory read 005727C6  8B 0D B8 35 BA 00         mov ecx, dword ptr [0xba35b8]",,,
5724178,P3,"00575812  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00575810,ecx,INSUFFICIENT_PROOF,"absolute memory read 00575806  8B 0D B8 35 BA 00         mov ecx, dword ptr [0xba35b8]",,,
5964131,P1,005B0163  FF 55 0C                  call dword ptr [ebp + 0xc],ebp,,no vtable load in window,NOT_A_VTABLE_CALL,,,,
7113622,P3,"006C8B96  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x006c8b94,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
7114960,P3,"006C90D0  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x006c90ce,edi,INSUFFICIENT_PROOF,"def form IMM: 006C90A0  BF EC 00 00 00            mov edi, 0xec",,,
7115239,P3,"006C91E7  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x006c91e5,ebx,INSUFFICIENT_PROOF,no def of ebx in any backward chain (parameter/incoming),,,
7115588,P3,"006C9344  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x006c9341,ebp,INSUFFICIENT_PROOF,no def of ebp in any backward chain (parameter/incoming),,,
7246202,P3,"006E917A  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x006e9178,ecx,INSUFFICIENT_PROOF,"field read 006E9170  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
7394278,P3,"0070D3E6  8B 56 0C                  mov edx, dword ptr [esi + 0xc]",esi,0x0070d3e1,ecx,INSUFFICIENT_PROOF,"field read 0070D3DB  8B 8E 80 00 00 00         mov ecx, dword ptr [esi + 0x80] (offset 0x80 not a known SF holder slot)",,,
7498392,P3,"00726A98  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x00726a96,ecx,INSUFFICIENT_PROOF,"stack read 00726A8E  8B 4C 24 10               mov ecx, dword ptr [esp + 0x10] ([esp+0x10] = parameter/local, not a container holder read)",,,
7801563,P3,"00770ADB  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x00770ad9,eax,INSUFFICIENT_PROOF,"field read 00770AD6  8B 46 64                  mov eax, dword ptr [esi + 0x64] (offset 0x64 not a known SF holder slot)",,,
7801993,P3,"00770C89  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x00770c87,eax,INSUFFICIENT_PROOF,"field read 00770C84  8B 46 64                  mov eax, dword ptr [esi + 0x64] (offset 0x64 not a known SF holder slot)",,,
7802091,P3,"00770CEB  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x00770ce9,eax,INSUFFICIENT_PROOF,"field read 00770CE6  8B 46 64                  mov eax, dword ptr [esi + 0x64] (offset 0x64 not a known SF holder slot)",,,
7812737,P3,"00773681  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00773673,ecx,INSUFFICIENT_PROOF,"field read 0077366D  8B 8A DC 05 00 00         mov ecx, dword ptr [edx + 0x5dc] (offset 0x5dc not a known SF holder slot)",,,
7820295,P3,"00775407  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x00775405,ecx,INSUFFICIENT_PROOF,"field read 007753FF  8B 8E D0 00 00 00         mov ecx, dword ptr [esi + 0xd0] (offset 0xd0 not a known SF holder slot)",,,
7829296,P3,"00777730  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x0077770a,eax,INSUFFICIENT_PROOF,"stack read 0077772C  8B 44 24 08               mov eax, dword ptr [esp + 8] ([esp+0x8] = parameter/local, not a container holder read)",,,
7831008,P3,"00777DE0  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00777dde,ecx,INSUFFICIENT_PROOF,"field read 00777DD8  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
7844369,P3,"0077B211  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x0077b20b,esi,INSUFFICIENT_PROOF,"def form MEM_SIB: 0077B202  8B 34 B8                  mov esi, dword ptr [eax + edi*4]",,,
7851496,P3,"0077CDE8  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x0077cde2,ecx,INSUFFICIENT_PROOF,"def form MEM_SIB: 0077CDDB  8B 0C 82                  mov ecx, dword ptr [edx + eax*4]",,,
7863823,P3,"0077FE0F  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x0077fde4,edi,INSUFFICIENT_PROOF,def form POP: 0077FDF4  5F                        pop edi,,,
