CAND_ID,KIND,RECV_LOAD_VA,SLOT_LOAD_VA,CALL_VA,RECEIVER_REG,RECEIVER_VERDICT,RECEIVER_EVIDENCE,CLASSIFICATION
0,TWO_STEP,0x00402600,0x00402602,0x00402605,ecx,UNPROVEN,,INSUFFICIENT_PROOF
1,TWO_STEP,0x004056E3,0x004056E5,0x004056EE,esi,UNPROVEN,,INSUFFICIENT_PROOF
2,TWO_STEP,0x00406255,0x00406257,0x0040625E,edi,UNPROVEN,,INSUFFICIENT_PROOF
3,TWO_STEP,0x00406BC8,0x00406BCA,0x00406BDC,ecx,UNPROVEN,,INSUFFICIENT_PROOF
4,TWO_STEP,0x00407515,0x00407517,0x0040751C,esi,UNPROVEN,,INSUFFICIENT_PROOF
5,TWO_STEP,0x00407BAD,0x00407BAF,0x00407BB4,esi,UNPROVEN,,INSUFFICIENT_PROOF
6,TWO_STEP,0x00413656,0x00413658,0x0041365D,esi,UNPROVEN,,INSUFFICIENT_PROOF
7,TWO_STEP,0x00416368,0x0041636A,0x0041636F,esi,UNPROVEN,,INSUFFICIENT_PROOF
8,TWO_STEP,0x00417182,0x00417184,0x00417189,esi,UNPROVEN,,INSUFFICIENT_PROOF
9,TWO_STEP,0x0041A3DB,0x0041A3DD,0x0041A3E2,esi,UNPROVEN,,INSUFFICIENT_PROOF
10,TWO_STEP,0x0041A59F,0x0041A5A1,0x0041A5A6,esi,UNPROVEN,,INSUFFICIENT_PROOF
11,TWO_STEP,0x0041A87E,0x0041A880,0x0041A885,esi,UNPROVEN,,INSUFFICIENT_PROOF
12,TWO_STEP,0x0041AAF9,0x0041AAFB,0x0041AB00,esi,UNPROVEN,,INSUFFICIENT_PROOF
13,TWO_STEP,0x0041AF35,0x0041AF37,0x0041AF3C,esi,UNPROVEN,,INSUFFICIENT_PROOF
14,TWO_STEP,0x0042225C,0x0042225E,0x00422263,edi,UNPROVEN,,INSUFFICIENT_PROOF
15,TWO_STEP,0x00422293,0x00422296,0x0042229B,ebp,UNPROVEN,,INSUFFICIENT_PROOF
16,TWO_STEP,0x004222EC,0x004222EE,0x004222F3,edi,UNPROVEN,,INSUFFICIENT_PROOF
17,TWO_STEP,0x00422329,0x0042232B,0x00422330,edi,UNPROVEN,,INSUFFICIENT_PROOF
18,TWO_STEP,0x00422366,0x00422368,0x0042236D,edi,UNPROVEN,,INSUFFICIENT_PROOF
19,TWO_STEP,0x004223D0,0x004223D2,0x004223D7,edi,UNPROVEN,,INSUFFICIENT_PROOF
20,TWO_STEP,0x00422429,0x0042242B,0x00422430,esi,UNPROVEN,,INSUFFICIENT_PROOF
21,TWO_STEP,0x00422466,0x00422468,0x0042246D,esi,UNPROVEN,,INSUFFICIENT_PROOF
22,TWO_STEP,0x004224A3,0x004224A5,0x004224AA,esi,UNPROVEN,,INSUFFICIENT_PROOF
23,TWO_STEP,0x004224E0,0x004224E2,0x004224E7,esi,UNPROVEN,,INSUFFICIENT_PROOF
24,TWO_STEP,0x0042251D,0x0042251F,0x00422524,esi,UNPROVEN,,INSUFFICIENT_PROOF
25,TWO_STEP,0x0042255A,0x0042255C,0x00422561,esi,UNPROVEN,,INSUFFICIENT_PROOF
26,TWO_STEP,0x00422597,0x00422599,0x0042259E,esi,UNPROVEN,,INSUFFICIENT_PROOF
27,TWO_STEP,0x004225D4,0x004225D6,0x004225DB,esi,UNPROVEN,,INSUFFICIENT_PROOF
28,TWO_STEP,0x00422611,0x00422613,0x00422618,esi,UNPROVEN,,INSUFFICIENT_PROOF
29,TWO_STEP,0x0042264E,0x00422650,0x00422655,esi,UNPROVEN,,INSUFFICIENT_PROOF
30,TWO_STEP,0x0042268B,0x0042268D,0x00422692,esi,UNPROVEN,,INSUFFICIENT_PROOF
31,TWO_STEP,0x004226C5,0x004226C7,0x004226CC,esi,UNPROVEN,,INSUFFICIENT_PROOF
32,TWO_STEP,0x00422702,0x00422704,0x00422709,esi,UNPROVEN,,INSUFFICIENT_PROOF
33,TWO_STEP,0x0042273F,0x00422741,0x00422746,esi,UNPROVEN,,INSUFFICIENT_PROOF
34,TWO_STEP,0x0042277C,0x0042277E,0x00422783,esi,UNPROVEN,,INSUFFICIENT_PROOF
35,TWO_STEP,0x004227B9,0x004227BB,0x004227C0,esi,UNPROVEN,,INSUFFICIENT_PROOF
36,TWO_STEP,0x004227F6,0x004227F8,0x004227FD,esi,UNPROVEN,,INSUFFICIENT_PROOF
37,TWO_STEP,0x00422833,0x00422835,0x0042283A,esi,UNPROVEN,,INSUFFICIENT_PROOF
38,TWO_STEP,0x00422870,0x00422872,0x00422877,esi,UNPROVEN,,INSUFFICIENT_PROOF
39,TWO_STEP,0x004228AD,0x004228AF,0x004228B4,esi,UNPROVEN,,INSUFFICIENT_PROOF
40,TWO_STEP,0x004228EA,0x004228EC,0x004228F1,esi,UNPROVEN,,INSUFFICIENT_PROOF
41,TWO_STEP,0x00422927,0x00422929,0x0042292E,esi,UNPROVEN,,INSUFFICIENT_PROOF
42,TWO_STEP,0x00422964,0x00422966,0x0042296B,esi,UNPROVEN,,INSUFFICIENT_PROOF
43,TWO_STEP,0x0042299E,0x004229A0,0x004229A5,esi,UNPROVEN,,INSUFFICIENT_PROOF
44,TWO_STEP,0x004229DB,0x004229DD,0x004229E2,esi,UNPROVEN,,INSUFFICIENT_PROOF
45,TWO_STEP,0x00422A18,0x00422A1A,0x00422A1F,esi,UNPROVEN,,INSUFFICIENT_PROOF
46,TWO_STEP,0x00422A6A,0x00422A6C,0x00422A71,esi,UNPROVEN,,INSUFFICIENT_PROOF
47,TWO_STEP,0x00422AA4,0x00422AA6,0x00422AAB,esi,UNPROVEN,,INSUFFICIENT_PROOF
48,TWO_STEP,0x00422AE1,0x00422AE3,0x00422AE8,esi,UNPROVEN,,INSUFFICIENT_PROOF
49,TWO_STEP,0x00422B1E,0x00422B20,0x00422B25,esi,UNPROVEN,,INSUFFICIENT_PROOF
50,TWO_STEP,0x00422B5B,0x00422B5D,0x00422B62,esi,UNPROVEN,,INSUFFICIENT_PROOF
51,TWO_STEP,0x00422B98,0x00422B9A,0x00422B9F,esi,UNPROVEN,,INSUFFICIENT_PROOF
52,TWO_STEP,0x00422BD5,0x00422BD7,0x00422BDC,esi,UNPROVEN,,INSUFFICIENT_PROOF
53,TWO_STEP,0x00422C12,0x00422C14,0x00422C19,esi,UNPROVEN,,INSUFFICIENT_PROOF
54,TWO_STEP,0x00422C4F,0x00422C51,0x00422C56,esi,UNPROVEN,,INSUFFICIENT_PROOF
55,TWO_STEP,0x00422C8C,0x00422C8E,0x00422C93,esi,UNPROVEN,,INSUFFICIENT_PROOF
56,TWO_STEP,0x00422CC9,0x00422CCB,0x00422CD0,esi,UNPROVEN,,INSUFFICIENT_PROOF
57,TWO_STEP,0x00422D06,0x00422D08,0x00422D0D,esi,UNPROVEN,,INSUFFICIENT_PROOF
58,TWO_STEP,0x00422D43,0x00422D45,0x00422D4A,esi,UNPROVEN,,INSUFFICIENT_PROOF
59,TWO_STEP,0x00422D80,0x00422D82,0x00422D87,esi,UNPROVEN,,INSUFFICIENT_PROOF
60,TWO_STEP,0x00422DBD,0x00422DBF,0x00422DC4,esi,UNPROVEN,,INSUFFICIENT_PROOF
61,TWO_STEP,0x00422DFA,0x00422DFC,0x00422E01,esi,UNPROVEN,,INSUFFICIENT_PROOF
