class_name,col_va,col_offset,vtable_start,vtable_end,slot_count,slot3_value,stop_reason
.?AVArkClientMainWindow@@,0x00A9D53C,0,0x00A795C4,0x00A795E0,7,0x00775CA0,non_code:0xa9d5bc
.?AVbad_alloc@std@@,0x00A9D5BC,0,0x00A795E4,0x00A795EC,2,0x00000000,non_code:0xa9d63c
.?AVplaceholder@any@boost@@,0x00A9D63C,0,0x00A795F0,0x00A795FC,3,0x00000000,non_code:0xa9d684
.?AVptree_error@property_tree@boost@@,0x00A9D684,0,0x00A79600,0x00A79608,2,0x00000000,non_code:0xa9d74c
.?AVptree_bad_path@property_tree@boost@@,0x00A9D74C,0,0x00A7960C,0x00A79614,2,0x00000000,non_code:0xa9d7a4
.?AVthread_exception@boost@@,0x00A9D7A4,0,0x00A79618,0x00A79620,2,0x00000000,non_code:0xa9d7f0
.?AUbad_day_of_month@gregorian@boost@@,0x00A9D7F0,0,0x00A79624,0x00A7962C,2,0x00000000,non_code:0x20796144
.?AUbad_year@gregorian@boost@@,0x00A9D8C4,0,0x00A7965C,0x00A79664,2,0x00000000,non_code:0x72616559
.?AUbad_month@gregorian@boost@@,0x00A9D91C,0,0x00A79690,0x00A79698,2,0x00000000,non_code:0x746e6f4d
.?AVthread_resource_error@boost@@,0x00A9D974,0,0x00A796C8,0x00A796D0,2,0x00000000,non_code:0x3531437b
.?AVArkReleaseClientApplication@@,0x00A9D9C4,0,0x00A7973C,0x00A79740,1,0x00000000,non_code:0x72746e45
.?AV?$holder@V?$basic_path@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@property_tree@boost@@@any@boost@@,0x00A9DA0C,0,0x00A79758,0x00A79764,3,0x00000000,non_code:0xa9da58
.?AVlock_error@boost@@,0x00A9DA58,0,0x00A79768,0x00A79770,2,0x00000000,non_code:0x68746170
.?AVArkWindowsWindow@@,0x00A9DAA8,0,0x00A797E8,0x00A79804,7,0x00775CA0,non_code:0x0
.?AVbad_function_call@boost@@,0x00A9DABC,0,0x00A79838,0x00A79840,2,0x00000000,non_code:0x6c6c6163
.?AVArkThread@@,0x00A9DB44,0,0x00A79864,0x00A79868,1,0x00000000,non_code:0xa9db8c
.?AVsystem_error@system@boost@@,0x00A9DB8C,0,0x00A7986C,0x00A79874,2,0x00000000,non_code:0x203a
.?AVsp_counted_base@detail@boost@@,0x00A9DBE0,0,0x00A7987C,0x00A7988C,4,0x0095D4FA,non_code:0x55746553
.?AV?$sp_counted_impl_p@Um_imp@?$basic_filesystem_error@V?$basic_path@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@Upath_traits@filesystem@boost@@@filesystem@boost@@@filesystem@boost@@@detail@boost@@,0x00A9DC28,0,0x00A798BC,0x00A798CC,4,0x008E0010,non_code:0x28
