call_site_va,is_pair_82b5a0,classification,instruction_after_call,instruction_after_next,caller_context_note
0x00438A96,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x00438ABB,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x0044CCF1,NO,OTHER(mov eax, dword ptr [esp + 0x14]),"mov eax, dword ptr [esp + 0x14]","fld dword ptr [eax]",
0x00458E27,NO,OTHER(mov edx, dword ptr [esp + 4]),"mov edx, dword ptr [esp + 4]","mov dword ptr [eax], edx",
0x0045D74B,NO,OTHER(fld dword ptr [esp + 0x48]),"fld dword ptr [esp + 0x48]","fstp dword ptr [esp + 0x3c]",
0x0045D779,NO,ECX_CONSUMER_0x82b6a0,"mov ecx, eax","call 0x82b6a0",
0x0045D8EB,NO,OTHER(fld dword ptr [esp + 0x14]),"fld dword ptr [esp + 0x14]","fadd dword ptr [esi]",
0x0046E292,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0047CE14,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0047CE20,NO,OTHER(fld dword ptr [esi + 0x130]),"fld dword ptr [esi + 0x130]","fstp dword ptr [esp + 0x38]",
0x0047CE64,NO,OTHER(fld dword ptr [esi + 0x118]),"fld dword ptr [esi + 0x118]","mov eax, dword ptr [esp + 0x88]",
0x0047D4A8,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0048DA3D,NO,ECX_CONSUMER_0x82b6a0,"mov ecx, eax","call 0x82b6a0",
0x0048DA5A,NO,OTHER(fld dword ptr [esp + 0x160]),"fld dword ptr [esp + 0x160]","lea ecx, [esp + 0x124]",
0x0048DB7D,NO,OTHER(fld dword ptr [ebx + 0x128]),"fld dword ptr [ebx + 0x128]","fmul dword ptr [esp + 0x48]",
0x004B40D3,NO,OTHER(fld dword ptr [esi + 0x48]),"fld dword ptr [esi + 0x48]","fstp dword ptr [esp + 0x18]",
0x004B4119,NO,ECX_CONSUMER_0x82b6a0,"mov ecx, eax","call 0x82b6a0",
0x004B41A0,NO,OTHER(fld dword ptr [ebp]),"fld dword ptr [ebp]","fstp dword ptr [esp + 0x14]",
0x004B426E,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x00509541,NO,ECX_CONSUMER_0x48bac0,"mov ecx, eax","call 0x48bac0",
0x005098EB,NO,OTHER(fld dword ptr [esp + 0x10]),"fld dword ptr [esp + 0x10]","fld qword ptr [0xa7a618]",
0x0050A075,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0050AFC3,NO,ECX_CONSUMER_0x48bac0,"mov ecx, eax","call 0x48bac0",
0x0050B01B,NO,ECX_CONSUMER_0x82b5f0,"mov ecx, eax","call 0x82b5f0",
0x0050B05F,NO,ECX_CONSUMER_0x48bac0,"mov ecx, eax","call 0x48bac0",
0x0050B0E3,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0050B181,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x00523B59,NO,ECX_CONSUMER_0x82b6a0,"mov ecx, eax","call 0x82b6a0",
0x00523BBE,NO,OTHER(fld dword ptr [edi]),"fld dword ptr [edi]","fstp dword ptr [esp + 0x18]",
0x00523C57,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x00523F46,NO,ECX_CONSUMER_0x82b6a0,"mov ecx, eax","call 0x82b6a0",
0x00523FC8,NO,OTHER(mov eax, dword ptr [esp + 0x88]),"mov eax, dword ptr [esp + 0x88]","fld dword ptr [eax]",
0x00524103,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x00524130,NO,OTHER(fld dword ptr [ebp + 0x28]),"fld dword ptr [ebp + 0x28]","mov eax, dword ptr [esp + 0x9c]",
0x00528144,NO,ECX_CONSUMER_0x82b5f0,"mov ecx, eax","call 0x82b5f0",
0x0055C220,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0055D5DE,NO,ECX_CONSUMER_0x82b6a0,"mov ecx, eax","call 0x82b6a0",
0x00565BEB,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x0058ED64,NO,ECX_CONSUMER_0x58e520,"mov ecx, eax","call 0x58e520",
0x0058EDE7,NO,ECX_CONSUMER_0x58e520,"mov ecx, eax","call 0x58e520",
0x0058EE6A,NO,ECX_CONSUMER_0x58e4b0,"mov ecx, eax","call 0x58e4b0",
0x005F59E4,NO,ECX_CONSUMER_0x48bac0,"mov ecx, eax","call 0x48bac0",
0x006A7BC8,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006ABD84,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006AC143,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006B464C,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x006B4664,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006B46ED,NO,OTHER(fld dword ptr [ebx - 8]),"fld dword ptr [ebx - 8]","fstp dword ptr [esp + 0x2c]",
0x006C1845,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006C1C2A,NO,OTHER(fld dword ptr [esi + 0xc]),"fld dword ptr [esi + 0xc]","fstp dword ptr [esp + 0x18]",
0x006C1C5C,NO,OTHER(fld dword ptr [esi]),"fld dword ptr [esi]","lea eax, [esp + 0x44]",
0x006C1C9A,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006C1CB5,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006C4497,NO,OTHER(fld dword ptr [esp + 0xc]),"fld dword ptr [esp + 0xc]","lea ecx, [esp]",
0x006C4790,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006C4E8E,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006C4EE9,NO,OTHER(fld dword ptr [esp + 0x18]),"fld dword ptr [esp + 0x18]","mov edi, dword ptr [ebx + 0x24]",
0x006C5486,NO,OTHER(fld dword ptr [esp + 0x1c]),"fld dword ptr [esp + 0x1c]","lea ecx, [esp + 0x28]",
0x006C6E0C,NO,OTHER(fld dword ptr [ebp]),"fld dword ptr [ebp]","fstp dword ptr [esp + 0x18]",
0x006C6EA3,NO,ECX_CONSUMER_0x48bac0,"mov ecx, eax","call 0x48bac0",
0x006C9961,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x006C99B2,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006E0116,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x006E0179,NO,OTHER(fld dword ptr [esp + 0x28]),"fld dword ptr [esp + 0x28]","mov eax, dword ptr [esi + 0x4000c0]",
0x006E0E8F,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x006E0F4E,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006E0FD3,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006E1058,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006E1B0F,NO,ECX_CONSUMER_0x437e80,"mov ecx, eax","call 0x437e80",
0x006E1BAC,NO,OTHER(fld dword ptr [esi]),"fld dword ptr [esi]","fstp dword ptr [esp + 0x2c]",
0x006E1BF0,NO,OTHER(fld dword ptr [esi]),"fld dword ptr [esi]","fstp dword ptr [esp + 0x2c]",
0x006E1C34,NO,OTHER(fld dword ptr [esi]),"fld dword ptr [esi]","fstp dword ptr [esp + 0x2c]",
0x006E23FA,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x006E2441,NO,OTHER(fld dword ptr [esp + 0x1c]),"fld dword ptr [esp + 0x1c]","fstp dword ptr [esp + 0x10]",
0x008B74BA,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x008B8A5A,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x008BC02A,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x008BC24D,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
0x008BC2E7,YES,PAIR_82B5A0,"mov ecx, eax","call 0x82b5a0",
