subject,subject_va,channel,count_or_value,detail
"SETTER",0x00458D90,EXTENT,4558416,"terminals=0x00458E43 ret  unresolved=False"
"SETTER",0x00458D90,E8_CALLERS,1,"0x00458EF2"
"SETTER",0x00458D90,E9,0,""
"SETTER",0x00458D90,IMM32,0,""
"SETTER",0x00458D90,VTABLE,0,""
"SETTER_CALLER",0x00458E50,EXTENT,4558592,"terminals=0x00458EFE ret  unresolved=False"
"SETTER_CALLER",0x00458E50,E8_CALLERS,1,"0x004171BA"
"SETTER_CALLER",0x00458E50,E9,0,""
"SETTER_CALLER",0x00458E50,IMM32,0,""
"SETTER_CALLER",0x00458E50,VTABLE,0,""
"TICK_FN_417030",0x00417030,EXTENT,4289184,"terminals=0x0041729A ret  unresolved=False"
"TICK_FN_417030",0x00417030,E8_CALLERS,1,"0x0040296F"
"TICK_FN_417030",0x00417030,E9,0,""
"TICK_FN_417030",0x00417030,IMM32,0,""
"TICK_FN_417030",0x00417030,VTABLE,0,""
"MESSAGE_LOOP_402910",0x00402910,EXTENT,4204944,"terminals=0x00402986 ret  unresolved=False"
"MESSAGE_LOOP_402910",0x00402910,E8_CALLERS,1,"0x0040563A"
"MESSAGE_LOOP_402910",0x00402910,E9,0,""
"MESSAGE_LOOP_402910",0x00402910,IMM32,0,""
"MESSAGE_LOOP_402910",0x00402910,VTABLE,0,""
"FN_416FD0",0x00416FD0,EXTENT,4288560,"terminals=0x0041701D ret 0xc, 0x0041702C ret 0xc unresolved=False"
"FN_416FD0",0x00416FD0,E8_CALLERS,1,"0x00417972"
"FN_416FD0",0x00416FD0,E9,0,""
"FN_416FD0",0x00416FD0,IMM32,0,""
"FN_416FD0",0x00416FD0,VTABLE,0,""
"FN_417880",0x00417880,EXTENT,4291136,"terminals=0x00417A31 ret  unresolved=False"
"FN_417880",0x00417880,E8_CALLERS,2,"0x00417B11 0x005159E5"
"FN_417880",0x00417880,E9,0,""
"FN_417880",0x00417880,IMM32,0,""
"FN_417880",0x00417880,VTABLE,0,""
"FN_514EF0_REPORTED_BRANCH_A",0x00514EF0,EXTENT,5332768,"terminals=0x00515E2A ret 0x14, 0x00515F1C ret  unresolved=False"
"FN_514EF0_REPORTED_BRANCH_A",0x00514EF0,E8_CALLERS,0,""
"FN_514EF0_REPORTED_BRANCH_A",0x00514EF0,E9,0,""
"FN_514EF0_REPORTED_BRANCH_A",0x00514EF0,IMM32,1,".rdata@0x00A7D778"
"FN_514EF0_REPORTED_BRANCH_A",0x00514EF0,VTABLE,1,"entry@0x00A7D778 vtable=0x00A7D764 slot=5"
"FN_417A40_REPORTED_BRANCH_B",0x00417A40,EXTENT,4291408,"terminals=0x00417B49 ret  unresolved=False"
"FN_417A40_REPORTED_BRANCH_B",0x00417A40,E8_CALLERS,1,"0x004B1EEB"
"FN_417A40_REPORTED_BRANCH_B",0x00417A40,E9,0,""
"FN_417A40_REPORTED_BRANCH_B",0x00417A40,IMM32,0,""
"FN_417A40_REPORTED_BRANCH_B",0x00417A40,VTABLE,0,""
"FN_4B1B70_REPORTED_BRANCH_B",0x004B1B70,EXTENT,4922480,"terminals=0x004B1C6E ret  unresolved=False"
"FN_4B1B70_REPORTED_BRANCH_B",0x004B1B70,E8_CALLERS,1,"0x004B1F2C"
"FN_4B1B70_REPORTED_BRANCH_B",0x004B1B70,E9,0,""
"FN_4B1B70_REPORTED_BRANCH_B",0x004B1B70,IMM32,0,""
"FN_4B1B70_REPORTED_BRANCH_B",0x004B1B70,VTABLE,0,""
