va,section,mangled
0x00B6C010,.data,.?AVArkClientMainWindow@@
0x00B6C034,.data,.?AVArkWindowsWindow@@
0x00B6C058,.data,.?AVbad_alloc@std@@
0x00B6C074,.data,.?AVexception@std@@
0x00B6C090,.data,.?AVplaceholder@any@boost@@
0x00B6C0B4,.data,.?AVptree_error@property_tree@boost@@
0x00B6C0E4,.data,.?AVruntime_error@stlp_std@@
0x00B6C10C,.data,.?AV__Named_exception@stlp_std@@
0x00B6C138,.data,.?AVptree_bad_path@property_tree@boost@@
0x00B6C16C,.data,.?AVthread_resource_error@boost@@
0x00B6C198,.data,.?AVthread_exception@boost@@
0x00B6C1C0,.data,.?AUbad_day_of_month@gregorian@boost@@
0x00B6C1F0,.data,.?AVout_of_range@stlp_std@@
0x00B6C214,.data,.?AVlogic_error@stlp_std@@
0x00B6C238,.data,.?AUbad_year@gregorian@boost@@
0x00B6C260,.data,.?AUbad_month@gregorian@boost@@
0x00B6C288,.data,.?AVArkReleaseClientApplication@@
0x00B6C2B8,.data,.?AV?$holder@V?$basic_path@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@property_tree@boost@@@any@boost@@
0x00B6C348,.data,.?AV?$basic_path@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@@property_tree@boost@@
0x00B6C3C0,.data,.?AVlock_error@boost@@
0x00B6C454,.data,.?AVbad_function_call@boost@@
0x00B6C47C,.data,.?AVArkRunnable@@
0x00B6C498,.data,.?AVArkThread@@
0x00B6C4B4,.data,.?AVsystem_error@system@boost@@
0x00B6C4DC,.data,.?AVsp_counted_base@detail@boost@@
0x00B6C508,.data,.?AV?$sp_counted_impl_p@Um_imp@?$basic_filesystem_error@V?$basic_path@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@Upath_traits@filesystem@boost@@@filesystem@boost@@@filesystem@boost@@@detail@boost@@
0x00B6C5F8,.data,.?AV?$basic_filesystem_error@V?$basic_path@V?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@Upath_traits@filesystem@boost@@@filesystem@boost@@@filesystem@boost@@
0x00B6C6C0,.data,.?AV?$basic_ifstream@DV?$char_traits@D@stlp_std@@@filesystem@boost@@
0x00B6C710,.data,.?AV?$basic_ifstream@DV?$char_traits@D@stlp_std@@@stlp_std@@
0x00B6C758,.data,.?AV?$basic_istream@DV?$char_traits@D@stlp_std@@@stlp_std@@
0x00B6C7A0,.data,.?AV?$basic_ios@DV?$char_traits@D@stlp_std@@@stlp_std@@
0x00B6C7E0,.data,.?AVios_base@stlp_std@@
0x00B6C800,.data,.?AV?$basic_string@DV?$char_traits@D@stlp_std@@V?$allocator@D@2@@stlp_std@@
0x00B6C858,.data,.?AVArkRegistryHandler@@
0x00B6C880,.data,.?AVArkRTTraits@@
0x00B6C8A0,.data,.?AU?$ArkRTTraitsAdaptor@UCT@?$ArkTraits@VArkMonetary@@@@@@
0x00B6C8E8,.data,.?AU?$ArkRTTraitsAdaptor@UCT@?$ArkTraits@V?$vector@VArkMonetary@@V?$allocator@VArkMonetary@@@stlp_std@@@stlp_std@@@@@@
0x00B6C968,.data,.?AURT@?$ArkTraits@VArkMonetary@@@@
0x00B6C998,.data,.?AURT@?$ArkTraits@V?$vector@VArkMonetary@@V?$allocator@VArkMonetary@@@stlp_std@@@stlp_std@@@@
0x00B6CA10,.data,.?AU?$ArkRTTraitsAdaptor@UCT@?$ArkTraits@VArkTime@@@@@@
0x00B6CA50,.data,.?AURT@?$ArkTraits@VArkTime@@@@
0x00B6CA7C,.data,.?AVbad_lexical_cast@boost@@
0x00B6CAA4,.data,.?AVbad_cast@std@@
0x00B6CAE8,.data,.?AUescaped_list_error@boost@@
0x00B6CB28,.data,.?AU?$abstract_parser@V?$scanner@PBDU?$scanner_policies@U?$skipper_iteration_policy@Uiteration_policy@spirit@boost@@@spirit@boost@@Umatch_policy@23@Uaction_policy@23@@spirit@boost@@@spirit@boost@@Unil_t@23@@impl@spirit@boost@@
0x00B6CC18,.data,.?AU?$abstract_parser@V?$scanner@PBDU?$scanner_policies@Uiteration_policy@spirit@boost@@Umatch_policy@23@Uaction_policy@23@@spirit@boost@@@spirit@boost@@Unil_t@23@@impl@spirit@boost@@
0x00B6CCE4,.data,.?AVArkMouseListenerInterface@@
0x00B6CD0C,.data,.?AVArkKeyboardListenerInterface@@
0x00B6CD38,.data,.?AVErrorDialogMouseListener@GameClient@@
0x00B6CD6C,.data,.?AVErrorDialogKeyboardListener@GameClient@@
0x00B6CDA4,.data,.?AVCustomFuncCallback@ArkResourceStringManager@@
0x00B6CDE0,.data,.?AV?$bind_t@XV?$mf0@XVCommunicationSubsystem@@@_mfi@boost@@V?$list1@V?$value@PAVCommunicationSubsystem@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B6CE78,.data,.?AV?$bind_t@XP6AXI@ZV?$list1@U?$arg@$00@boost@@@_bi@boost@@@_bi@boost@@
0x00B6CED0,.data,.?AV?$bind_t@XV?$mf0@XVGameClient@@@_mfi@boost@@V?$list1@V?$value@PAVGameClient@@@_bi@boost@@@_bi@3@@_bi@boost@@
0x00B6CF4C,.data,.?AV?$bind_t@XP6AXXZVlist0@_bi@boost@@@_bi@boost@@
0x00B6CF88,.data,.?AV?$bind_t@XV?$mf0@XVArkClientPlayer@@@_mfi@boost@@V?$list1@V?$value@PAVArkClientPlayer@@@_bi@boost@@@_bi@3@@_bi@boost@@
