relative_path,sha256,size_bytes
00_CONTROL\ga1_patterns_strings.py,E87175E0F10E54A9593981D7F976F7398ADFF25838B28F9F35C63C40155AE3D2,8448
00_CONTROL\ga2_vtables_leads.py,3FD0162B2424C1A4ABF5750DD5313881292EEB03C731F05CB37D1F779AF9BF69,7032
00_CONTROL\ga3_ctors.py,18B8C1E93B491FE25E9BBCB683611A70A8FC140E1F217E910E2CBB0847E73BDA,5594
00_CONTROL\ga4_hitfuncs_callers.py,DDF2D7135683C3C42A88E16AA38404828A3A4A1A49A1491B08A9B7A7994E6BA3,6018
00_CONTROL\ga5_instance_cluster.py,B9C4196821D289D8FECD5E3503408C3397A2FFA26659E1910F4CE48FD5D6FB01,4730
00_CONTROL\ga6_upward_slice.py,2354BBA9CCBF1CEB07638CBA2BE8EA6CBDE12804081FDBDE741DF1D9499C483A,4181
00_CONTROL\ga7_final_closure.py,EF38343109BF6842C516A704BE2A3CCE4A488F5940024CBC64C9314157E73190,3117
00_CONTROL\ga8_transform_template.py,650201BDE931921A6F90A274B1418AF559F0E857420CD27DEADCABA06633B3AE,3280
00_CONTROL\RUN_CONTRACT.md,5112F005F6207A91952DCD2BD3CE1D8F0BA35E28B9B903BBE70B46DB30336721,4972
00_CONTROL\s0_era_assertion.py,E4F01FBCF3B7C0D680322E0A6A887426AE2019BF4CE35904AE024C24CF4BE44E,5222
00_CONTROL\s1_rtti_census.py,3D6FD66365DDF19BA38D22D3173CBAD4FA93C98554476FAD102B9CD468CCB7B1,3773
00_CONTROL\s2_string_census.py,9CF2F5C7618CDACEAF54E01769D02435C98156DE26E5E9764439065450BDE7BE,3950
00_CONTROL\s3_roundtrip_4508.py,EE537451AB0A1401908E47C7741D0692DC5A504D2E47E9F4D8198F791D7E44B8,4298
00_CONTROL\s4_rtti_vtables.py,6E583E839F7FE67E6D157778EA7560D15336D5687512CED231DAE749F682EF29,5241
00_CONTROL\s5_transform_scan.py,5486875B6C7FA2C8BF8CEE3766CC6A9622C5620B56BA575ACFA651FC9B45BF39,5747
00_CONTROL\s9_byte_verify.py,886CD05B0207A986D1F48496531AEFA3F39603C2AC8222F504038DF6B286A34F,3239
01_RAW\S0_ERA_ASSERTION.json,AFDEFCD5B6E678DE51297C8C658FBFD3B7F102A4914B60290286028F7C5A0DC0,2347
01_RAW\S1_RTTI_CENSUS.csv,4DF595359A6FE0CFBA842B769A079C1EDD8E9936B4ABCA38235E79EC93DBCA16,204232
01_RAW\S1_RTTI_CENSUS.json,A7ABD4B219F7B71B259D661107C661B2C5970141FC7B66A605B900245C9BFD27,560245
01_RAW\S2_STRING_CENSUS.json,A43BB230D5096CD247FF07ECA749FF54691D39142E2C57264610784F0035CA3D,78323
01_RAW\S2_STRING_CENSUS_ALL.txt,FA557734C4EAB67A556FDEFA66031C7CB7EF86F4764B268EC2D52253CC86AF37,1760801
01_RAW\S3_ROUNDTRIP_4508.json,CEDFE42AD3FA113210145497A5D5CFB6469BA5401114F8F99AC385D095669D6C,3100
01_RAW\S4_RTTI_VTABLES.json,3061FCFEE633D3B002F684F12F1F7F82810E9962844EAE1438A2BB1F8DC06D6E,15054
01_RAW\S5_TRANSFORM_WRITES.json,884BDB83B59DFACB1C6DE611F0EF4CC25647C380BBE5D04B671CF2D0CF73A844,7339
01_RAW\S9_BYTE_VERIFY.json,47939E082EA7725A2F8D340B44E8DD8142490876ECF2B77A002B2F63B45D0046,7164
01_RAW\ghidra_output\GA1_IAT.json,131580B936C8A44882C0370373F8E48F78CA9DAD930DE58558B87E62A7ABDAA5,1758
01_RAW\ghidra_output\GA1_PATTERNS.json,B657AF4DC0D9B63052FB8210A05AC713144C5E6D6F74E1D9DC13242A93F9EB00,1926
01_RAW\ghidra_output\GA1_PATTERN_WINDOWS.txt,E420D5517457158DB08D46F143C868A3CB0CFF46CCDFA36BF10907FBA6ABCBE3,17986
01_RAW\ghidra_output\GA1_STRING_XREFS.json,BF11A02C3BD9E17A09589DBEE8C4E4C61D973725ED227A882455495025CE8346,6579
01_RAW\ghidra_output\GA2_DISASM_FUN_0050d480.txt,5B93119421317051C3320F2A8716BB3C3FB5951EE3ABDBAFB166767D9A13FF2B,24562
01_RAW\ghidra_output\GA2_DISASM_FUN_006f1b90.txt,5B7884BC6C88A6085214DC0142DC84F3D6C6089FA8DAA73F4ADAA6F7BBE11382,23944
01_RAW\ghidra_output\GA2_DISASM_FUN_007c04f0.txt,3DDF54069F72B9C477EAA52E80E5EED9046EEAD49B93B20F228300C8D56FC6B0,24128
01_RAW\ghidra_output\GA2_DISASM_FUN_00933310.txt,6C56CBE1109B959608D98222E70D7F22E88B87C4340D2DC18F42542CCFD65485,24363
01_RAW\ghidra_output\GA2_PSEUDO_FUN_0050d480.txt,4C68B884AFCDD72541F247D037ED52AE73DC12B49813B27CB237EBF1E4876659,7067
01_RAW\ghidra_output\GA2_PSEUDO_FUN_006f1b90.txt,11964FA73A3FC05BDFC0414E4F0F9B616626F01FB6E685966C81611F3DC2E791,3959
01_RAW\ghidra_output\GA2_PSEUDO_FUN_007c04f0.txt,30034A37EF24C1931D2B149F250E92F1C79EE63C69C1255F35CCF7E6BECEDD50,22825
01_RAW\ghidra_output\GA2_PSEUDO_FUN_00933310.txt,22F8BAE3F856E8E7F6A7DA7F0732A37E2463281EDFEC3027B8C6B86FF67E867D,2080
01_RAW\ghidra_output\GA2_VTABLES.json,D5949CA32ABC17459D08A2AAFC62907493ABACCFEF535CD5E73E481449D7C20F,4541
01_RAW\ghidra_output\GA3_CTOR_ArkClientDefaultObjectImpl_0058E290.txt,2E614E0DB5309C7E2344A41CDCC0131508504487B0D4F74DDC5735B8A8B0E53C,15696
01_RAW\ghidra_output\GA3_CTOR_ArkClientInteractiveWorldObjectImpl_00483980.txt,14B411DA57C89AFB3CB7F44E5365E360C87391BD750F4E1AE8CCD2AC15EF3E52,15706
01_RAW\ghidra_output\GA3_CTOR_ArkClientInteractiveWorldObjectImpl_004839B0.txt,E4B1F11F7F00C2D7871A1924B81B521DFDF1A6B48F331045452C88F4DD73E88F,16123
01_RAW\ghidra_output\GA3_CTOR_ArkClientObjectManagerImpl_004A9BA0.txt,CE0D21C13EBF859F8FAD309605901B51CBEC574E703F6C3BA384886F916028E7,15269
01_RAW\ghidra_output\GA3_CTOR_ArkClientObjectManagerImpl_004A9BD0.txt,0870624B90919951776F8DB9E586FD17114E2FB0C5E3A2C13E6E8D1EB57B1E0B,15180
01_RAW\ghidra_output\GA3_CTOR_ArkHeightFieldSource_00958650.txt,1204FF45A9CC150EB5938E73326EDAFE7534C7BFBCDC58DE5915C0C1095C4AD8,15564
01_RAW\ghidra_output\GA3_CTOR_ArkInteractiveWorldObject_0072D000.txt,EDA69DF7C7769B281E7C6CC2982D2F210ECB85C18C0A3FBD8ABE7C61A63C5539,15782
01_RAW\ghidra_output\GA3_CTOR_ArkInteractiveWorldObject_0072D780.txt,1C8F64547378AC52C0E5299F576F9E9721873E164785A23B9C082D2078FFB6B9,16754
01_RAW\ghidra_output\GA3_CTOR_ArkModelResourceInstanceRef_006FA8B0.txt,3D2D8BFA4E7CFAEB91E431FF92B443FF066832572DF3B16409BFFAB6E1E763EC,16180
01_RAW\ghidra_output\GA3_CTOR_ArkModelResourceInstanceRef_006FA8D0.txt,665C8C44E1AADDC53831C1B60E377E446C76808034C7326F5151140059300D82,17222
