index,file_offset,id,size,ver,crc32_field,crc32_calc,crc_ok,id2,A,B,C,param_f32_0x20,param2_f32_0x24,pad_len,pad_all_zero,anomaly
0,16,1337,28,1,548BFE1D,548BFE1D,True,1337,166705,194533,0,2.909790,0.000000,28,True,False
1,88,1423,28,1,541E216E,541E216E,True,1423,166723,166724,0,2.909790,0.000000,28,True,False
2,160,1425,28,1,5DE2F707,5DE2F707,True,1425,166741,166742,0,2.244580,0.000000,28,True,False
3,232,1487,28,1,5E9C958D,5E9C958D,True,1487,166758,166759,0,2.003730,0.000000,28,True,False
4,304,1489,28,1,515E51F1,515E51F1,True,1489,166774,166775,0,1.844800,0.000000,28,True,False
5,376,1512,28,1,1F3150E0,1F3150E0,True,1512,166790,166791,0,1.641480,0.000000,28,True,False
6,448,1652,28,1,06C5560D,06C5560D,True,1652,166806,166807,0,2.881510,0.000000,28,True,False
7,520,1654,28,1,0AE2F9F7,0AE2F9F7,True,1654,166823,166824,0,2.396280,0.000000,28,True,False
8,592,1656,28,1,97704F2E,97704F2E,True,1656,167130,0,0,4.159050,0.000000,28,True,False
9,664,1658,28,1,F53F0C75,F53F0C75,True,1658,166864,0,0,6.073510,0.000000,28,True,False
10,736,1660,28,1,041C9CBB,041C9CBB,True,1660,166878,166879,0,1.410950,0.000000,28,True,False
11,808,2340,28,1,1A7EB52E,1A7EB52E,True,2340,166897,166898,0,1.372300,0.000000,28,True,False
12,880,3032,28,1,E03772B9,E03772B9,True,3032,167211,0,0,1.440550,0.000000,28,True,False
13,952,3036,28,1,16113E66,16113E66,True,3036,167222,0,0,1.394510,0.000000,28,True,False
14,1024,3038,28,1,EA051686,EA051686,True,3038,167237,0,0,1.394510,0.000000,28,True,False
15,1096,3040,28,1,31B8984A,31B8984A,True,3040,167252,0,0,1.394510,0.000000,28,True,False
16,1168,3042,28,1,C63DF7BD,C63DF7BD,True,3042,167267,0,0,3.075070,0.000000,28,True,False
17,1240,10292,28,1,3D73DF8E,3D73DF8E,True,10292,523431,0,0,51.767200,0.000000,28,True,False
18,1312,420,28,1,6589F929,6589F929,True,420,107707,38708,0,30.705200,0.000000,28,True,False
19,1384,971,28,1,A654774D,A654774D,True,971,38700,38722,0,49.723801,0.000000,28,True,False
20,1456,973,28,1,C7765116,C7765116,True,973,38701,38726,0,21.764500,0.000000,28,True,False
21,1528,9515,28,1,46C5EA45,46C5EA45,True,9515,506408,0,0,500.000000,0.000000,28,True,False
22,1600,9516,28,1,1AD2B03E,1AD2B03E,True,9516,506411,0,0,500.000000,0.000000,28,True,False
23,1672,11203,28,1,15C320B8,15C320B8,True,11203,542072,544717,0,320.000000,0.000000,28,True,False
24,1744,11276,28,1,D0A483F0,D0A483F0,True,11276,544486,545041,0,300.000000,0.000000,28,True,False
25,1816,11277,28,1,DA147061,DA147061,True,11277,544488,544489,0,300.000000,0.000000,28,True,False
26,1888,11278,28,1,ECD4B8C3,ECD4B8C3,True,11278,544494,544495,0,300.000000,0.000000,28,True,False
27,1960,11308,28,1,4B3B0E4E,4B3B0E4E,True,11308,545478,545479,0,500.000000,0.000000,28,True,False
28,2032,11309,28,1,42D2AFED,42D2AFED,True,11309,545483,545484,0,500.000000,0.000000,28,True,False
29,2104,221,28,1,184750DB,184750DB,True,221,362453,362454,0,39.256802,0.000000,28,True,False
30,2176,225,28,1,546628D9,546628D9,True,225,362458,362459,0,27.073601,0.000000,28,True,False
31,2248,234,28,1,D9AF9C80,D9AF9C80,True,234,16201,28221,0,9.770610,0.000000,28,True,False
32,2320,253,28,1,8AC3E5B4,8AC3E5B4,True,253,105726,105727,0,6.675830,0.000000,28,True,False
33,2392,257,28,1,E9AFDE04,E9AFDE04,True,257,105746,105747,0,3.252760,0.000000,28,True,False
34,2464,259,28,1,447AAA33,447AAA33,True,259,105762,105763,0,2.319150,0.000000,28,True,False
35,2536,261,28,1,8A25F67E,8A25F67E,True,261,105778,105779,0,1.570310,0.000000,28,True,False
36,2608,585,28,1,C98CBB79,C98CBB79,True,585,130553,130560,0,6.465910,0.000000,28,True,False
37,2680,587,28,1,1425CF97,1425CF97,True,587,130582,130584,0,6.065550,0.000000,28,True,False
38,2752,589,28,1,1A7ED277,1A7ED277,True,589,130637,130638,0,7.461040,0.000000,28,True,False
39,2824,591,28,1,4617E8D6,4617E8D6,True,591,130659,130660,0,7.396020,0.000000,28,True,False
40,2896,593,28,1,8A97F9CD,8A97F9CD,True,593,130681,130682,0,2.926040,0.000000,28,True,False
41,2968,595,28,1,60DF5725,60DF5725,True,595,130702,130703,0,9.013170,0.000000,28,True,False
42,3040,597,28,1,128BDCDA,128BDCDA,True,597,130750,130782,0,6.784210,0.000000,28,True,False
43,3112,599,28,1,067FD9AF,067FD9AF,True,599,130801,130802,0,5.891540,0.000000,28,True,False
