index,file_offset,id,size,ver,stride,crc32_field,crc_ok,id2,A,B,C,D_f32_0x20,E_f32_0x24,F_u32_0x28,tail_len,tail_nonzero
0,16,1337,28,1,72,548BFE1D,True,1337,166705,194533,0,2.909790,0.000000,0,28,F
1,88,1423,28,1,72,541E216E,True,1423,166723,166724,0,2.909790,0.000000,0,28,F
2,160,1425,28,1,72,5DE2F707,True,1425,166741,166742,0,2.244580,0.000000,0,28,F
3,232,1487,28,1,72,5E9C958D,True,1487,166758,166759,0,2.003730,0.000000,0,28,F
4,304,1489,28,1,72,515E51F1,True,1489,166774,166775,0,1.844800,0.000000,0,28,F
5,376,1512,28,1,72,1F3150E0,True,1512,166790,166791,0,1.641480,0.000000,0,28,F
6,448,1652,28,1,72,06C5560D,True,1652,166806,166807,0,2.881510,0.000000,0,28,F
7,520,1654,28,1,72,0AE2F9F7,True,1654,166823,166824,0,2.396280,0.000000,0,28,F
8,592,1656,28,1,72,97704F2E,True,1656,167130,0,0,4.159050,0.000000,0,28,F
9,664,1658,28,1,72,F53F0C75,True,1658,166864,0,0,6.073510,0.000000,0,28,F
10,736,1660,28,1,72,041C9CBB,True,1660,166878,166879,0,1.410950,0.000000,0,28,F
11,808,2340,28,1,72,1A7EB52E,True,2340,166897,166898,0,1.372300,0.000000,0,28,F
12,880,3032,28,1,72,E03772B9,True,3032,167211,0,0,1.440550,0.000000,0,28,F
13,952,3036,28,1,72,16113E66,True,3036,167222,0,0,1.394510,0.000000,0,28,F
14,1024,3038,28,1,72,EA051686,True,3038,167237,0,0,1.394510,0.000000,0,28,F
15,1096,3040,28,1,72,31B8984A,True,3040,167252,0,0,1.394510,0.000000,0,28,F
16,1168,3042,28,1,72,C63DF7BD,True,3042,167267,0,0,3.075070,0.000000,0,28,F
17,1240,10292,28,1,72,3D73DF8E,True,10292,523431,0,0,51.767200,0.000000,0,28,F
18,1312,420,28,1,72,6589F929,True,420,107707,38708,0,30.705200,0.000000,0,28,F
19,1384,971,28,1,72,A654774D,True,971,38700,38722,0,49.723801,0.000000,0,28,F
20,1456,973,28,1,72,C7765116,True,973,38701,38726,0,21.764500,0.000000,0,28,F
21,1528,9515,28,1,72,46C5EA45,True,9515,506408,0,0,500.000000,0.000000,0,28,F
22,1600,9516,28,1,72,1AD2B03E,True,9516,506411,0,0,500.000000,0.000000,0,28,F
23,1672,11203,28,1,72,15C320B8,True,11203,542072,544717,0,320.000000,0.000000,0,28,F
24,1744,11276,28,1,72,D0A483F0,True,11276,544486,545041,0,300.000000,0.000000,0,28,F
25,1816,11277,28,1,72,DA147061,True,11277,544488,544489,0,300.000000,0.000000,0,28,F
26,1888,11278,28,1,72,ECD4B8C3,True,11278,544494,544495,0,300.000000,0.000000,0,28,F
27,1960,11308,28,1,72,4B3B0E4E,True,11308,545478,545479,0,500.000000,0.000000,0,28,F
28,2032,11309,28,1,72,42D2AFED,True,11309,545483,545484,0,500.000000,0.000000,0,28,F
29,2104,221,28,1,72,184750DB,True,221,362453,362454,0,39.256802,0.000000,0,28,F
30,2176,225,28,1,72,546628D9,True,225,362458,362459,0,27.073601,0.000000,0,28,F
31,2248,234,28,1,72,D9AF9C80,True,234,16201,28221,0,9.770610,0.000000,0,28,F
32,2320,253,28,1,72,8AC3E5B4,True,253,105726,105727,0,6.675830,0.000000,0,28,F
33,2392,257,28,1,72,E9AFDE04,True,257,105746,105747,0,3.252760,0.000000,0,28,F
34,2464,259,28,1,72,447AAA33,True,259,105762,105763,0,2.319150,0.000000,0,28,F
35,2536,261,28,1,72,8A25F67E,True,261,105778,105779,0,1.570310,0.000000,0,28,F
36,2608,585,28,1,72,C98CBB79,True,585,130553,130560,0,6.465910,0.000000,0,28,F
37,2680,587,28,1,72,1425CF97,True,587,130582,130584,0,6.065550,0.000000,0,28,F
38,2752,589,28,1,72,1A7ED277,True,589,130637,130638,0,7.461040,0.000000,0,28,F
39,2824,591,28,1,72,4617E8D6,True,591,130659,130660,0,7.396020,0.000000,0,28,F
40,2896,593,28,1,72,8A97F9CD,True,593,130681,130682,0,2.926040,0.000000,0,28,F
41,2968,595,28,1,72,60DF5725,True,595,130702,130703,0,9.013170,0.000000,0,28,F
42,3040,597,28,1,72,128BDCDA,True,597,130750,130782,0,6.784210,0.000000,0,28,F
43,3112,599,28,1,72,067FD9AF,True,599,130801,130802,0,5.891540,0.000000,0,28,F
44,3184,601,28,1,72,A7FCFFCD,True,601,130850,130851,0,6.820100,0.000000,0,28,F
45,3256,603,28,1,72,A9EC1495,True,603,130867,130868,0,5.226370,0.000000,0,28,F
46,3328,661,28,1,72,9BDA61D8,True,661,131834,131835,0,6.889150,0.000000,0,28,F
47,3400,662,28,1,72,DF110F78,True,662,131879,131880,0,4.373180,0.000000,0,28,F
48,3472,664,28,1,72,D9D23416,True,664,131895,131896,0,3.424420,0.000000,0,28,F
49,3544,666,28,1,72,76D8B43B,True,666,131911,131912,0,6.694180,0.000000,0,28,F
50,3616,674,28,1,72,C3387CEC,True,674,131929,131930,0,4.479500,0.000000,0,28,F
51,3688,679,28,1,72,C833225B,True,679,131945,131946,0,3.406600,0.000000,0,28,F
52,3760,709,28,1,72,E976EF1F,True,709,131960,131961,0,7.868610,0.000000,0,28,F
53,3832,710,28,1,72,56277F43,True,710,131979,131980,0,10.088400,0.000000,0,28,F
54,3904,725,28,1,72,4D66DCBA,True,725,131995,131996,0,9.263750,0.000000,0,28,F
55,3976,727,28,1,72,8F664CDD,True,727,132012,132013,0,7.719650,0.000000,0,28,F
56,4048,829,28,1,72,197E338C,True,829,16161,28069,0,10.050300,0.000000,0,28,F
