nif,version,grammar,block_index,entry_idx,name,slot,f1,f2,ref,anim_flag,frame_index,bnt2_id,resolved
505775.nif,10.1.0.0,v10,3,0,Box01_1_BASE,BASE,0,-1,4,0,4294967295,504982,1
505775.nif,10.1.0.0,v10,3,1,Box01_1_GLOSS,GLOSS,3,-1,4,0,4294967295,29597,1
505775.nif,10.1.0.0,v10,3,2,Box02_1_BASE,BASE,0,-1,5,0,4294967295,504982,1
505775.nif,10.1.0.0,v10,3,3,Box02_1_GLOSS,GLOSS,3,-1,5,0,4294967295,29597,1
505775.nif,10.1.0.0,v10,3,4,Box03_14_BASE,BASE,0,-1,6,0,4294967295,504968,1
505775.nif,10.1.0.0,v10,3,5,Box03_14_GLOSS,GLOSS,3,-1,6,0,4294967295,504970,1
505775.nif,10.1.0.0,v10,3,6,Box03_14_GLOW,GLOW,4,-1,6,0,4294967295,504972,1
505775.nif,10.1.0.0,v10,3,7,Box10_4_BASE,BASE,0,-1,7,0,4294967295,504990,1
505775.nif,10.1.0.0,v10,3,8,Box10_4_GLOSS,GLOSS,3,-1,7,0,4294967295,491950,1
505775.nif,10.1.0.0,v10,3,9,Box10_4_GLOW,GLOW,4,-1,7,0,4294967295,504993,1
505775.nif,10.1.0.0,v10,3,10,Nameless0_ENVIRONMENT,ENVIRONMENT,9,0,8,0,4294967295,504732,1
505775.nif,10.1.0.0,v10,3,11,Nameless12_ENVIRONMENT,ENVIRONMENT,9,0,9,0,4294967295,180013,1
505775.nif,10.1.0.0,v10,3,12,Nameless23_ENVIRONMENT,ENVIRONMENT,9,0,10,0,4294967295,180013,1
505775.nif,10.1.0.0,v10,3,13,Nameless34_ENVIRONMENT,ENVIRONMENT,9,0,11,0,4294967295,180013,1
505775.nif,10.1.0.0,v10,3,14,Nameless45_ENVIRONMENT,ENVIRONMENT,9,0,12,0,4294967295,123783,1
505775.nif,10.1.0.0,v10,3,15,Nameless56_ENVIRONMENT,ENVIRONMENT,9,0,13,0,4294967295,123783,1
505775.nif,10.1.0.0,v10,3,16,Nameless67_ENVIRONMENT,ENVIRONMENT,9,0,14,0,4294967295,123783,1
505775.nif,10.1.0.0,v10,3,17,Nameless78_ENVIRONMENT,ENVIRONMENT,9,0,15,0,4294967295,504732,1
505775.nif,10.1.0.0,v10,3,18,Nameless89_ENVIRONMENT,ENVIRONMENT,9,0,16,0,4294967295,180013,1
505775.nif,10.1.0.0,v10,3,19,Nameless910_ENVIRONMENT,ENVIRONMENT,9,0,17,0,4294967295,180013,1
505775.nif,10.1.0.0,v10,3,20,Room_0_BASE,BASE,0,-1,18,0,4294967295,504957,1
505775.nif,10.1.0.0,v10,3,21,Room_0_GLOSS,GLOSS,3,-1,18,0,4294967295,31592,1
505775.nif,10.1.0.0,v10,3,22,Room_10_GLOSS,GLOSS,3,-1,19,0,4294967295,29749,1
