nif,texturing_property_block,flip_controller_block,kind
124965.nif,8,9,NITEXPROP_CONTROLLER
124965.nif,18,19,NITEXPROP_CONTROLLER
132061.nif,7,8,NITEXPROP_CONTROLLER
153712.nif,6,5,NITEXPROP_CONTROLLER
173464.nif,5,6,NITEXPROP_CONTROLLER
212124.nif,21,22,NITEXPROP_CONTROLLER
214322.nif,6,5,NITEXPROP_CONTROLLER
259540.nif,8,9,NITEXPROP_CONTROLLER
260035.nif,8,9,NITEXPROP_CONTROLLER
260704.nif,5,6,NITEXPROP_CONTROLLER
261773.nif,5,4,NITEXPROP_CONTROLLER
28939.nif,8,9,NITEXPROP_CONTROLLER
330780.nif,13,14,NITEXPROP_CONTROLLER
330780.nif,26,27,NITEXPROP_CONTROLLER
335472.nif,53,54,NITEXPROP_CONTROLLER
336824.nif,6,7,NITEXPROP_CONTROLLER
336824.nif,11,12,NITEXPROP_CONTROLLER
336824.nif,58,59,NITEXPROP_CONTROLLER
336824.nif,60,61,NITEXPROP_CONTROLLER
336824.nif,62,63,NITEXPROP_CONTROLLER
34752.nif,4,5,NITEXPROP_CONTROLLER
34752.nif,9,10,NITEXPROP_CONTROLLER
390100.nif,13,14,NITEXPROP_CONTROLLER
397180.nif,4,5,NITEXPROP_CONTROLLER
397398.nif,5,6,NITEXPROP_CONTROLLER
411170.nif,8,9,NITEXPROP_CONTROLLER
411170.nif,17,18,NITEXPROP_CONTROLLER
411170.nif,26,27,NITEXPROP_CONTROLLER
411170.nif,35,36,NITEXPROP_CONTROLLER
411170.nif,44,45,NITEXPROP_CONTROLLER
411170.nif,53,54,NITEXPROP_CONTROLLER
41722.nif,11,12,NITEXPROP_CONTROLLER
41722.nif,38,39,NITEXPROP_CONTROLLER
41821.nif,11,12,NITEXPROP_CONTROLLER
41821.nif,31,32,NITEXPROP_CONTROLLER
422544.nif,70,71,NITEXPROP_CONTROLLER
424276.nif,6,7,NITEXPROP_CONTROLLER
425863.nif,6,7,NITEXPROP_CONTROLLER
460312.nif,6,7,NITEXPROP_CONTROLLER
461019.nif,22,23,NITEXPROP_CONTROLLER
461020.nif,18,19,NITEXPROP_CONTROLLER
461251.nif,8,9,NITEXPROP_CONTROLLER
461283.nif,8,9,NITEXPROP_CONTROLLER
462103.nif,6,7,NITEXPROP_CONTROLLER
462104.nif,8,9,NITEXPROP_CONTROLLER
469644.nif,8,9,NITEXPROP_CONTROLLER
469664.nif,31,32,NITEXPROP_CONTROLLER
469705.nif,8,9,NITEXPROP_CONTROLLER
469728.nif,8,9,NITEXPROP_CONTROLLER
469745.nif,8,9,NITEXPROP_CONTROLLER
469798.nif,8,9,NITEXPROP_CONTROLLER
47068.nif,7,8,NITEXPROP_CONTROLLER
470700.nif,11,12,NITEXPROP_CONTROLLER
470700.nif,31,32,NITEXPROP_CONTROLLER
470721.nif,11,12,NITEXPROP_CONTROLLER
470721.nif,31,32,NITEXPROP_CONTROLLER
471602.nif,8,9,NITEXPROP_CONTROLLER
47161.nif,6,7,NITEXPROP_CONTROLLER
472235.nif,76,77,NITEXPROP_CONTROLLER
488704.nif,4,5,NITEXPROP_CONTROLLER
49463.nif,20,21,NITEXPROP_CONTROLLER
49463.nif,22,23,NITEXPROP_CONTROLLER
500119.nif,6,7,NITEXPROP_CONTROLLER
501730.nif,100,101,NITEXPROP_CONTROLLER
505591.nif,154,155,NITEXPROP_CONTROLLER
505591.nif,156,157,NITEXPROP_CONTROLLER
505591.nif,162,163,NITEXPROP_CONTROLLER
505591.nif,164,165,NITEXPROP_CONTROLLER
508493.nif,74,75,NITEXPROP_CONTROLLER
511516.nif,7,8,NITEXPROP_CONTROLLER
515192.nif,8,9,NITEXPROP_CONTROLLER
515192.nif,17,18,NITEXPROP_CONTROLLER
526208.nif,18,19,NITEXPROP_CONTROLLER
526276.nif,20,21,NITEXPROP_CONTROLLER
526644.nif,61,62,NITEXPROP_CONTROLLER
526764.nif,8,9,NITEXPROP_CONTROLLER
526790.nif,8,9,NITEXPROP_CONTROLLER
526809.nif,8,9,NITEXPROP_CONTROLLER
526863.nif,8,9,NITEXPROP_CONTROLLER
527569.nif,20,21,NITEXPROP_CONTROLLER
527569.nif,41,42,NITEXPROP_CONTROLLER
527865.nif,22,23,NITEXPROP_CONTROLLER
527865.nif,44,45,NITEXPROP_CONTROLLER
527865.nif,55,56,NITEXPROP_CONTROLLER
528053.nif,8,9,NITEXPROP_CONTROLLER
528310.nif,16,17,NITEXPROP_CONTROLLER
530581.nif,6,7,NITEXPROP_CONTROLLER
540176.nif,9,10,NITEXPROP_CONTROLLER
540203.nif,9,10,NITEXPROP_CONTROLLER
542418.nif,8,9,NITEXPROP_CONTROLLER
542418.nif,17,18,NITEXPROP_CONTROLLER
542418.nif,25,26,NITEXPROP_CONTROLLER
542466.nif,8,9,NITEXPROP_CONTROLLER
542466.nif,17,18,NITEXPROP_CONTROLLER
542466.nif,25,26,NITEXPROP_CONTROLLER
542520.nif,8,9,NITEXPROP_CONTROLLER
542520.nif,17,18,NITEXPROP_CONTROLLER
542520.nif,25,26,NITEXPROP_CONTROLLER
542520.nif,33,34,NITEXPROP_CONTROLLER
543494.nif,32,33,NITEXPROP_CONTROLLER
543494.nif,61,62,NITEXPROP_CONTROLLER
543494.nif,81,82,NITEXPROP_CONTROLLER
543494.nif,101,102,NITEXPROP_CONTROLLER
543494.nif,119,120,NITEXPROP_CONTROLLER
