nif,version,grammar,block_index,entry_idx,name,material,slot,f1,f2,ref,anim_flag,frame_index,bnt2_id,classification
576789.nif,10.1.0.0,v10,3,9,exterior01_0_BASE,exterior01_0,BASE,0,-1,11,0,4294967295,581040,SAME_MISSING_ID_AS_2003
355498.nif,10.1.0.0,v10,3,25,Box05_21_BASE,Box05_21,BASE,0,-1,17,0,4294967295,392427,SAME_MISSING_ID_AS_2003
355503.nif,10.1.0.0,v10,3,28,Mesh01_0_BASE,Mesh01_0,BASE,0,-1,27,0,4294967295,392047,SAME_MISSING_ID_AS_2003
355503.nif,10.1.0.0,v10,3,31,Mesh03_0_BASE,Mesh03_0,BASE,0,-1,30,0,4294967295,392047,SAME_MISSING_ID_AS_2003
141998.nif,4.1.0.12,v4,2,36,Outpost2_Hospital_dark_0_BASE,Outpost2_Hospital_dark_0,BASE,0,-1,33,0,4294967295,216625,SAME_MISSING_ID_AS_2003
354708.nif,4.1.0.12,v4,2,0,Cylinder01_0_BASE,Cylinder01_0,BASE,0,-1,4,0,4294967295,354727,SAME_MISSING_ID_AS_2003
354708.nif,4.1.0.12,v4,2,1,Cylinder02_0_BASE,Cylinder02_0,BASE,0,-1,5,0,4294967295,354727,SAME_MISSING_ID_AS_2003
354708.nif,4.1.0.12,v4,2,2,Box02_0_BASE,Box02_0,BASE,0,-1,6,0,4294967295,354727,SAME_MISSING_ID_AS_2003
354708.nif,4.1.0.12,v4,2,3,Mesh02_0_BASE,Mesh02_0,BASE,0,-1,7,0,4294967295,354731,SAME_MISSING_ID_AS_2003
354708.nif,4.1.0.12,v4,2,4,Box01_0_BASE,Box01_0,BASE,0,-1,8,0,4294967295,354733,SAME_MISSING_ID_AS_2003
592146.nif,10.1.0.0,v10,3,0,Mesh01_0_BASE,Mesh01_0,BASE,0,-1,4,0,4294967295,592148,NEW_935_MISSING_ID
418307.nif,4.1.0.12,v4,2,0,Sphere02_0_BASE,Sphere02_0,BASE,0,-1,4,0,4294967295,418308,SAME_MISSING_ID_AS_2003
423167.nif,10.1.0.0,v10,11,0,Geoobject_0_BASE,Geoobject_0,BASE,0,-1,6,0,4294967295,420953,SAME_MISSING_ID_AS_2003
389863.nif,4.1.0.12,v4,2,0,Cylinder01_0_BASE,Cylinder01_0,BASE,0,-1,4,0,4294967295,392340,SAME_MISSING_ID_AS_2003
389863.nif,4.1.0.12,v4,2,1,Cylinder02_0_BASE,Cylinder02_0,BASE,0,-1,5,0,4294967295,392340,SAME_MISSING_ID_AS_2003
425247.nif,10.1.0.0,v10,61,2,SuperSpray01_0_BASE,SuperSpray01_0,BASE,0,-1,64,0,4294967295,425253,SUPERSPRAY_PARTICLE_SLOT_935
425247.nif,10.1.0.0,v10,61,3,SuperSpray02_0_BASE,SuperSpray02_0,BASE,0,-1,65,0,4294967295,425253,SUPERSPRAY_PARTICLE_SLOT_935
425247.nif,10.1.0.0,v10,61,4,SuperSpray03_0_BASE,SuperSpray03_0,BASE,0,-1,66,0,4294967295,425253,SUPERSPRAY_PARTICLE_SLOT_935
425247.nif,10.1.0.0,v10,61,5,SuperSpray04_0_BASE,SuperSpray04_0,BASE,0,-1,67,0,4294967295,425253,SUPERSPRAY_PARTICLE_SLOT_935
425247.nif,10.1.0.0,v10,61,6,SuperSpray05_0_BASE,SuperSpray05_0,BASE,0,-1,68,0,4294967295,425253,SUPERSPRAY_PARTICLE_SLOT_935
425247.nif,10.1.0.0,v10,61,7,SuperSpray06_0_BASE,SuperSpray06_0,BASE,0,-1,69,0,4294967295,425253,SUPERSPRAY_PARTICLE_SLOT_935
425261.nif,10.1.0.0,v10,61,2,SuperSpray01_0_BASE,SuperSpray01_0,BASE,0,-1,64,0,4294967295,425264,SUPERSPRAY_PARTICLE_SLOT_935
425261.nif,10.1.0.0,v10,61,3,SuperSpray02_0_BASE,SuperSpray02_0,BASE,0,-1,65,0,4294967295,425264,SUPERSPRAY_PARTICLE_SLOT_935
425261.nif,10.1.0.0,v10,61,4,SuperSpray03_0_BASE,SuperSpray03_0,BASE,0,-1,66,0,4294967295,425264,SUPERSPRAY_PARTICLE_SLOT_935
425261.nif,10.1.0.0,v10,61,5,SuperSpray04_0_BASE,SuperSpray04_0,BASE,0,-1,67,0,4294967295,425264,SUPERSPRAY_PARTICLE_SLOT_935
425261.nif,10.1.0.0,v10,61,6,SuperSpray05_0_BASE,SuperSpray05_0,BASE,0,-1,68,0,4294967295,425264,SUPERSPRAY_PARTICLE_SLOT_935
425261.nif,10.1.0.0,v10,61,7,SuperSpray06_0_BASE,SuperSpray06_0,BASE,0,-1,69,0,4294967295,425264,SUPERSPRAY_PARTICLE_SLOT_935
425271.nif,10.1.0.0,v10,49,0,SuperSpray01_0_BASE,SuperSpray01_0,BASE,0,-1,50,0,4294967295,425272,SUPERSPRAY_PARTICLE_SLOT_935
425271.nif,10.1.0.0,v10,49,1,SuperSpray02_0_BASE,SuperSpray02_0,BASE,0,-1,51,0,4294967295,425272,SUPERSPRAY_PARTICLE_SLOT_935
425271.nif,10.1.0.0,v10,49,2,SuperSpray03_0_BASE,SuperSpray03_0,BASE,0,-1,52,0,4294967295,425272,SUPERSPRAY_PARTICLE_SLOT_935
425271.nif,10.1.0.0,v10,49,3,SuperSpray04_0_BASE,SuperSpray04_0,BASE,0,-1,53,0,4294967295,425272,SUPERSPRAY_PARTICLE_SLOT_935
425271.nif,10.1.0.0,v10,49,4,SuperSpray05_0_BASE,SuperSpray05_0,BASE,0,-1,54,0,4294967295,425272,SUPERSPRAY_PARTICLE_SLOT_935
425271.nif,10.1.0.0,v10,49,5,SuperSpray06_0_BASE,SuperSpray06_0,BASE,0,-1,55,0,4294967295,425272,SUPERSPRAY_PARTICLE_SLOT_935
12788.nif,4.1.0.12,v4,2,0,Editable_Mesh_BASE,Editable_Mesh,BASE,0,0,4,0,4294967295,73395,SAME_MISSING_ID_AS_2003
