nif,parent_ninode_block,texture_effect_block,kind
1054.nif,17,21,NINODE_EFFECTS
1054.nif,76,80,NINODE_EFFECTS
1054.nif,81,85,NINODE_EFFECTS
1054.nif,88,92,NINODE_EFFECTS
1054.nif,149,153,NINODE_EFFECTS
1054.nif,154,158,NINODE_EFFECTS
1054.nif,161,165,NINODE_EFFECTS
1054.nif,172,176,NINODE_EFFECTS
1054.nif,179,183,NINODE_EFFECTS
1054.nif,184,188,NINODE_EFFECTS
1054.nif,210,214,NINODE_EFFECTS
1054.nif,217,221,NINODE_EFFECTS
1054.nif,224,228,NINODE_EFFECTS
1054.nif,250,254,NINODE_EFFECTS
1054.nif,257,261,NINODE_EFFECTS
1054.nif,264,268,NINODE_EFFECTS
1054.nif,271,275,NINODE_EFFECTS
1054.nif,285,281,NINODE_EFFECTS
113767.nif,9,5,NINODE_EFFECTS
121672.nif,9,6,NINODE_EFFECTS
126740.nif,67,25,NINODE_EFFECTS
127427.nif,19,16,NINODE_EFFECTS
127427.nif,50,16,NINODE_EFFECTS
127561.nif,22,5,NINODE_EFFECTS
127561.nif,26,5,NINODE_EFFECTS
127603.nif,48,14,NINODE_EFFECTS
127723.nif,47,12,NINODE_EFFECTS
127759.nif,51,13,NINODE_EFFECTS
127856.nif,43,16,NINODE_EFFECTS
127908.nif,28,25,NINODE_EFFECTS
127957.nif,66,17,NINODE_EFFECTS
128078.nif,42,16,NINODE_EFFECTS
128078.nif,47,16,NINODE_EFFECTS
128145.nif,42,16,NINODE_EFFECTS
128762.nif,69,18,NINODE_EFFECTS
128762.nif,156,18,NINODE_EFFECTS
128849.nif,97,14,NINODE_EFFECTS
128877.nif,83,18,NINODE_EFFECTS
129281.nif,44,17,NINODE_EFFECTS
129311.nif,36,11,NINODE_EFFECTS
129338.nif,54,15,NINODE_EFFECTS
132061.nif,11,4,NINODE_EFFECTS
132061.nif,15,4,NINODE_EFFECTS
132061.nif,19,4,NINODE_EFFECTS
132551.nif,92,28,NINODE_EFFECTS
132593.nif,83,30,NINODE_EFFECTS
132936.nif,52,14,NINODE_EFFECTS
133221.nif,89,26,NINODE_EFFECTS
135778.nif,87,13,NINODE_EFFECTS
135778.nif,140,13,NINODE_EFFECTS
135778.nif,260,13,NINODE_EFFECTS
136423.nif,77,23,NINODE_EFFECTS
14135.nif,-1,53,ORPHAN_NO_PARENT_NINODE
14135.nif,-1,54,ORPHAN_NO_PARENT_NINODE
14135.nif,-1,55,ORPHAN_NO_PARENT_NINODE
14135.nif,-1,56,ORPHAN_NO_PARENT_NINODE
14135.nif,-1,57,ORPHAN_NO_PARENT_NINODE
14135.nif,117,52,NINODE_EFFECTS
14135.nif,133,52,NINODE_EFFECTS
141921.nif,47,32,NINODE_EFFECTS
141921.nif,54,32,NINODE_EFFECTS
141921.nif,68,32,NINODE_EFFECTS
141998.nif,108,4,NINODE_EFFECTS
141998.nif,114,4,NINODE_EFFECTS
142101.nif,51,13,NINODE_EFFECTS
142147.nif,34,4,NINODE_EFFECTS
142168.nif,53,18,NINODE_EFFECTS
142168.nif,79,18,NINODE_EFFECTS
142195.nif,38,12,NINODE_EFFECTS
142195.nif,48,13,NINODE_EFFECTS
142219.nif,31,9,NINODE_EFFECTS
142232.nif,38,10,NINODE_EFFECTS
142246.nif,49,4,NINODE_EFFECTS
142246.nif,66,5,NINODE_EFFECTS
142508.nif,46,5,NINODE_EFFECTS
142575.nif,119,11,NINODE_EFFECTS
146634.nif,30,21,NINODE_EFFECTS
147588.nif,11,7,NINODE_EFFECTS
169330.nif,8,4,NINODE_EFFECTS
169347.nif,8,4,NINODE_EFFECTS
172445.nif,4,9,NINODE_EFFECTS
172562.nif,28,4,NINODE_EFFECTS
172562.nif,84,4,NINODE_EFFECTS
172562.nif,89,4,NINODE_EFFECTS
173288.nif,70,20,NINODE_EFFECTS
173288.nif,152,20,NINODE_EFFECTS
173464.nif,110,11,NINODE_EFFECTS
