nif,nitrishape_block,texturing_property_ref,arktexture_block,arktexture_entry_idx
101358.nif,18,4,3,0
101358.nif,20,5,3,1
101358.nif,22,6,3,2
101358.nif,26,11,3,7
101358.nif,30,12,3,8
101358.nif,34,7,3,3
101358.nif,38,10,3,6
101358.nif,43,8,3,4
101358.nif,47,9,3,5
101374.nif,18,4,3,0
101374.nif,20,5,3,1
101374.nif,22,6,3,2
101374.nif,25,7,3,3
101374.nif,29,10,3,6
101374.nif,34,8,3,4
101374.nif,38,9,3,5
101374.nif,42,11,3,7
101374.nif,46,12,3,8
103241.nif,12,4,3,0
103247.nif,12,4,3,0
103278.nif,9,4,3,0
103278.nif,9,4,3,1
103296.nif,12,4,3,0
103328.nif,12,4,3,0
103341.nif,12,4,3,0
103357.nif,12,4,3,0
103370.nif,9,4,3,0
103383.nif,12,4,3,0
103396.nif,12,4,3,0
103409.nif,12,4,3,0
103422.nif,12,4,3,0
103435.nif,12,4,3,0
103698.nif,12,4,3,0
103711.nif,12,4,3,0
103724.nif,12,4,3,0
103738.nif,12,4,3,0
103751.nif,12,4,3,0
103764.nif,12,4,3,0
103777.nif,12,4,3,0
103790.nif,12,4,3,0
103803.nif,12,4,3,0
103838.nif,12,4,3,0
103852.nif,12,4,3,0
103866.nif,12,4,3,0
103879.nif,12,4,3,0
103895.nif,12,4,3,0
103909.nif,12,4,3,0
103922.nif,12,4,3,0
103936.nif,12,4,3,0
103949.nif,12,4,3,0
103994.nif,8,4,2,0
104014.nif,10,4,3,0
104130.nif,12,4,3,0
104154.nif,12,4,3,0
104176.nif,12,4,3,0
104197.nif,12,4,3,0
104213.nif,12,4,3,0
104229.nif,12,4,3,0
1054.nif,18,19,279,33
1054.nif,18,19,279,34
1054.nif,18,19,279,35
1054.nif,77,78,279,9
1054.nif,77,78,279,10
1054.nif,77,78,279,11
1054.nif,82,83,279,3
1054.nif,82,83,279,4
1054.nif,82,83,279,5
1054.nif,89,90,279,45
1054.nif,89,90,279,46
1054.nif,89,90,279,47
1054.nif,150,151,279,6
1054.nif,150,151,279,7
1054.nif,150,151,279,8
1054.nif,155,156,279,12
1054.nif,155,156,279,13
1054.nif,155,156,279,14
1054.nif,162,163,279,60
1054.nif,162,163,279,61
1054.nif,162,163,279,62
1054.nif,173,174,279,63
1054.nif,173,174,279,64
1054.nif,173,174,279,65
1054.nif,180,181,279,69
1054.nif,180,181,279,70
1054.nif,180,181,279,71
1054.nif,185,186,279,66
1054.nif,185,186,279,67
1054.nif,185,186,279,68
1054.nif,211,212,279,39
1054.nif,211,212,279,40
1054.nif,211,212,279,41
1054.nif,218,219,279,36
1054.nif,218,219,279,37
1054.nif,218,219,279,38
1054.nif,225,226,279,42
1054.nif,225,226,279,43
1054.nif,225,226,279,44
1054.nif,251,252,279,54
1054.nif,251,252,279,55
1054.nif,251,252,279,56
1054.nif,258,259,279,51
1054.nif,258,259,279,52
1054.nif,258,259,279,53
1054.nif,265,266,279,57
1054.nif,265,266,279,58
1054.nif,265,266,279,59
1054.nif,272,273,279,48
1054.nif,272,273,279,49
1054.nif,272,273,279,50
1054.nif,286,280,279,0
1054.nif,286,280,279,1
1054.nif,286,280,279,2
105623.nif,12,4,3,0
105641.nif,12,4,3,0
105660.nif,12,4,3,0
105677.nif,12,4,3,0
105694.nif,12,4,3,0
105710.nif,12,4,3,0
105726.nif,12,4,3,0
105746.nif,12,4,3,0
105762.nif,12,4,3,0
105778.nif,12,4,3,0
105794.nif,12,4,3,0
105811.nif,12,4,3,0
105828.nif,12,4,3,0
105844.nif,12,4,3,0
105860.nif,9,4,3,0
105876.nif,12,4,3,0
105894.nif,12,4,3,0
105911.nif,12,4,3,0
105927.nif,11,4,3,0
107707.nif,17,13,2,9
107707.nif,17,13,2,10
107707.nif,22,5,2,1
107707.nif,27,6,2,2
107707.nif,32,7,2,3
107707.nif,36,8,2,4
107707.nif,41,9,2,5
107707.nif,46,10,2,6
107707.nif,51,11,2,7
107707.nif,56,12,2,8
107707.nif,60,4,2,0
107734.nif,12,4,3,0
107749.nif,12,4,3,0
107991.nif,8,4,2,0
107995.nif,8,4,2,0
108320.nif,8,4,2,0
108324.nif,8,4,2,0
108587.nif,12,4,3,0
108592.nif,12,4,3,0
108597.nif,12,4,3,0
108601.nif,12,4,3,0
108605.nif,12,4,3,0
108674.nif,12,4,3,0
108804.nif,93,88,87,0
108804.nif,93,88,87,1
109106.nif,9,4,3,0
109125.nif,13,4,2,0
109125.nif,17,5,2,1
109125.nif,17,5,2,2
109125.nif,20,6,2,3
109125.nif,24,7,2,4
109125.nif,28,8,2,5
109147.nif,12,4,3,0
109163.nif,12,4,3,0
