artifact,bytes,sha256
mirror/00_Control/append_v4_marks.py,11160,0393B97FB18CA65DE8B105F642F72C87801018B25E52C8D7D55B61427CD979C9
mirror/00_Control/build_manifest_v4.py,14224,EB0DAE8C356A721233630C1CD39371842DD18E83A4D1DDD1617FF4A93A30D08E
mirror/00_Control/build_matrix_v4.py,12809,F5C8816930434B33A6CDE27464D2805DB155B8F5124620C5857F65E269D1031B
mirror/00_Control/build_repo_mirror.py,11014,7AD8B30CD78D0591073BD01E18D5B4F770A4F5FC59BB08FF74BF53390DE27050
mirror/00_Control/consistency_check_v4.py,13197,A44EE50F4A41DA8696C296564EDFB1397D4EE32C8347EA29201C4F3B48D6965F
mirror/00_Control/pc24_synthetic_measurement.py,21760,079E1772A2A3F18F4F345F3C484B8B489CBF686641B101917D3779121BA54D08
mirror/00_Control/semantic_gate.py,15507,456969DF556966EE833F5C7A63E07F88E6E9FEB829122E8E7E030AB80928A910
mirror/00_Control/v4_manifest_claims.py,13275,FB2ECB28ACF347F7C2FCB847E2ED16C169495F27174DE2079A98C635FEEF2342
mirror/00_Control/v4_registry.py,14658,73D151E07A688B82BE3156A02354A424E1EEDDDA52AFED1D11518400827B4629
mirror/00_Control/v4_rows_a.py,6722,C4F9FDD25815C4C4E2CDD4CE21A000EEF85081581BC58CAB6C1F943444C3713E
mirror/00_Control/v4_rows_b.py,5993,6EDFFED3A52946D33F6126A8C8A9464A7BD8A7EFB2F4FEA2437B83622C538B24
mirror/00_Control/v4_rows_c.py,8056,832D8CB7D18337B4E3255F463D805A8BA33EEF90B205D3ECD1CEACD7E7CFDAFB
mirror/00_Control/v4_rows_d.py,7095,260866DAE8970B4581AF7962717391FDA9EDE11DA31F915B6BFD02552E12B1F8
mirror/00_Control/v4_rows_e.py,9295,C5E551E89DC49B84A8714975548F2D56A5585846F1EB69BBDE23E99309123578
mirror/00_Control/v4_rows_f.py,9506,8D3A7BD51F4BCD3D8D56EB733FAB678DD8CE940042C575D99B1886B440D380EA
mirror/00_Control/v4_rows_g.py,11384,A8E43A7D99FF52DEDD1EA30C18A02E2513A474B67898F269D8F7867BDCDBCC40
mirror/00_Control/verify_pre_run_locks.py,8381,973A13F134E8D72E9865950C7661E20F6070CE63427F0CFE6E9B85A7D9FB5204
mirror/01_RAW/AMENDMENTS.md.pre,9792,5403B19613CD9B6E39C134A9029F92506907B61289BC522523C1C370B4F57125
mirror/01_RAW/GATE_INDEX.md.pre,12440,B8FD886BEF3575C048AA1978DE5908D6E0F8068A91EFC172EEB6456391A8A04B
mirror/01_RAW/consistency_report_v4.json,5227,28533DB721E04377FB01DE9A31CA0F32771641D38B1F438798E6FEDB1DB47521
mirror/01_RAW/pc24_synthetic_measurement.json,13474,01B96D259F0FB09A6D724F8A4843938483D845736946FD73DEEBEBF4A74EA9DF
mirror/01_RAW/pre_run_locks_verification.json,9646,C7FCFC0AC519AF9D0DB3AF3387540863CB526F85F53DD9305AC8B623B830D9BF
mirror/01_RAW/semantic_gate_report.json,4149,B27058D4A61BBF444C43584F9C94B945827436FD7624A9A4DFA278B0E075424E
repo GATES/M1_GATE_DELIVERABLE_MATRIX_V4.json,75785,11FB16B0A175CE183F5C46E734737921DBA0BA72CD975C447CF197C2046F9C58
repo GATES/M1_GATE_DELIVERABLE_MATRIX_V4.md,66883,5B90D2C43B3B0D9E5D9CBB05A387557862A61647D1A29F437F6F18416A744ACD
repo EVIDENCE_MANIFEST_V4.json,132161,A1E0F5B9C9B342645D9EFAF74319CD9839096B25EC6414C9B7CE165816AB69F8
repo GATE_INDEX.md (appended),17419,FD68060A63184B94753493D87A04CFB33FBA9667C07DD91D4D5B47810F1CC558
repo GATES/AMENDMENTS.md (appended),12790,C8FF0ABE475E7D37CE790F89CFB941E0FA4A5A0BA23B27921534EFFC6D51D347
run 06_REPORT/00_FINAL_REPORT.md,14939,B4673DDE4FCC064E56AC32D2840368D1E245CEB21C770F0A347DC8957D6728A9
mirror/artifact_index.csv (THIS file),0,SELF-EXCLUDED (a file cannot hash itself)
