artifact,sha256,publication_scope
HANDOFF.md,266a39fdfb99979b2d779043bc28801a1d4a790f340b6370284ed85758e5aac8,PUBLISHED
STAGE_ACCEPTANCE_GATES.csv,80691a45d9ad9c67440ba0786db22fe07522421f84cc7b72082311e5631d0242,PUBLISHED
00_CONTROL\SHA256_DRIVER.txt,5ef106e0191396d8e722cc4286e018a6ccc9caf011b3ebd69110a9e8a5812c9a,PUBLISHED
00_CONTROL\geo_census.py,7d36a9fb6a19c7f5e683c0c7b479524f54c664a4ba1cf64401ce35360665dee8,PUBLISHED
00_CONTROL\stage_a_headers.py,92b0d0a20317cba9a61ba5793182347ca8390689aca975e747301f431dd0c794,PUBLISHED
00_CONTROL\stage_b2_callers.py,56fecd52f99af172c36395ae0adf56e31fc6c642bb448ccbc92f760ba25e64d0,PUBLISHED
00_CONTROL\stage_b_bytelocks.py,0b89612a1a284477d1a00c2f9ccfce7b162b02acee03ab4330535da747b73897,PUBLISHED
01_RAW\DATUM_CONSTANT_BYTELOCKS.json,aaf7cc8dc6dfd70fbc3dc514447a6ba2bb46088f177b3850fa2130ddfb1f4d86,PUBLISHED
01_RAW\FIELD_DECODE_CHECK.json,73c9b80d619e9254b21b408f6c5a158206c6b8bd30f651f56f890a0b4f323280,PUBLISHED
01_RAW\GEO_SOURCE_CENSUS.json,cf9976a0b618b605e3161213662eff56f14fe08a71dbd93be286f25a82ccb179,PUBLISHED
01_RAW\PACKER_CALLERS.json,af942b44b143895c909c8db2952050c5cc9a08c0673cb911640021f25ddc6b43,PUBLISHED
01_RAW\TERRAIN_935_HEADERS.jsonl,b6ffcbe265458a22cd6fb1fa0fd12bbbae488d1947929b0bffda74db3dc0d26f,PUBLISHED
01_RAW\TERRAIN_935_HEADER_CENSUS.json,803304103aa9870b2eb79ec69481b6432e494c4880d550c59371415671c8ef22,PUBLISHED
01_RAW\global_height_429259.tga,0badb42ec131ee53c49e63eadee529aa18a68a31d0cf16a57694488ff3333412,LOCAL_ONLY
06_REPORT\00_FINAL_REPORT.md,286aa001bd71bdda2af347d1c9b622e0d2f0ebcc63962307dedb9ecf410ebed5,PUBLISHED
