file,flag_state,nif_version,exporter,mesh,morph,skin,blocks,geom_triangles,entry_count,mirror
353832.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,59,650,14,1
353833.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,59,650,14,1
353834.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,59,650,14,1
353835.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,59,650,14,1
353844.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,27,1062,6,1
346639.nif,000000,4.1.0.12,4.1.0.12,1,0,0,152,1468,35,1
266865.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,14,1,1
266450.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,14,1,1
266861.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,14,1,1
269529.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,14,1,1
168181.nif,000000,4.1.0.12,4.1.0.12,1,0,0,12,2,1,1
173763.nif,000000,4.1.0.12,4.1.0.12,1,0,0,12,2,1,1
425538.nif,00ffff,4.1.0.12,4.1.0.12,1,0,0,23,376,3,1
65665.nif,000000,4.1.0.12,4.0.0.2,1,0,0,28,128,3,1
65672.nif,000000,4.1.0.12,4.0.0.2,1,0,0,28,132,3,1
65678.nif,000000,4.1.0.12,4.0.0.2,1,0,0,60,496,9,1
59222.nif,000000,4.1.0.12,4.1.0.12,1,0,0,32,220,3,1
40324.nif,000000,4.1.0.12,4.1.0.12,1,0,0,32,220,3,1
348610.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,32,220,3,1
348632.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,32,220,3,1
348647.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,32,220,3,1
348652.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,32,220,3,1
72465.nif,000000,4.1.0.12,4.1.0.12,1,0,0,31,232,5,1
215028.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,37,232,4,1
215059.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,37,232,4,1
215082.nif,0000ff,4.1.0.12,4.1.0.12,1,0,0,37,232,4,1
219542.nif,000000,4.1.0.12,4.1.0.12,1,0,0,27,54,4,1
219564.nif,000000,4.1.0.12,4.1.0.12,1,0,0,38,2880,6,1
219589.nif,000000,4.1.0.12,4.1.0.12,1,0,0,38,2943,6,1
128752.nif,000000,4.1.0.12,4.1.0.12,1,0,0,16,10,2,1
128915.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,28,2,1
128932.nif,000000,4.1.0.12,4.1.0.12,1,0,0,24,62,2,1
128949.nif,000000,4.1.0.12,4.1.0.12,1,0,0,20,36,2,1
128966.nif,000000,4.1.0.12,4.1.0.12,1,0,0,24,62,2,1
