file,klass,entry_count,num_tex,field2_raw,has_anim,anim_count,has_base,has_dark,has_detail,has_gloss,has_glow,has_bump,has_decal0,has_environment,tex_effect,mesh,blocks,mirror
505775.nif,1|0,47,3,12032,0,0,1,0,0,1,1,0,0,1,1,1,103,1
505813.nif,1|0,18,3,4608,0,0,1,0,0,1,1,0,0,1,1,1,50,1
508854.nif,1|0,4,3,1024,0,0,1,0,0,0,1,0,0,0,0,1,19,1
508947.nif,1|0,8,3,2048,0,0,1,0,0,1,0,0,0,1,1,1,25,1
505007.nif,1|0,42,3,10752,0,0,1,1,0,1,1,0,0,1,1,1,109,1
505031.nif,1|0,38,3,9728,0,0,1,1,0,1,1,0,0,1,1,1,114,1
505225.nif,1|0,28,3,7168,0,0,1,0,0,1,1,0,0,1,1,1,91,1
510661.nif,1|0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
505209.nif,1|0,19,3,4864,0,0,1,0,0,1,1,0,0,1,1,1,59,1
505055.nif,1|0,7,3,1792,0,0,1,0,0,1,1,0,0,1,1,1,23,1
505058.nif,1|0,3,3,768,0,0,1,0,0,1,0,0,0,1,1,1,21,1
505074.nif,1|0,74,3,18944,0,0,1,0,0,1,1,0,0,1,1,1,205,1
504936.nif,1|0,80,3,20480,0,0,1,1,0,1,1,0,0,1,1,1,267,1
505062.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
508623.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
508626.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
508629.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
508632.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
508635.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
505072.nif,1|0,1,3,256,0,0,1,0,0,0,0,0,0,0,0,1,12,1
505066.nif,1|0,4,3,1024,0,0,1,0,0,1,0,0,0,1,1,1,18,1
508654.nif,1|0,4,3,1024,0,0,1,0,0,1,0,0,0,1,1,1,22,1
505591.nif,1|0,156,3,39936,1,32,1,0,1,1,1,0,0,1,1,1,544,1
