file,text,value_u32_hex,value_f32,zero,family,subtype,ext_len
12348.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,62
44628.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
44628.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
486508.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
486508.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
13426.nif,morph: left,00000000,0.0,1,MORPH_LR,,95
13426.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,95
13426.nif,start_usetool: effect_01,3d888889,0.06666667014360428,0,START_USETOOL,single_effect,95
486510.nif,morph: left,00000000,0.0,1,MORPH_LR,,95
486510.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,95
486510.nif,start_usetool: effect_01,3d088889,0.03333333507180214,0,START_USETOOL,single_effect,95
486509.nif,morph: left,00000000,0.0,1,MORPH_LR,,95
486509.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,95
486509.nif,start_usetool: effect_01,3d888889,0.06666667014360428,0,START_USETOOL,single_effect,95
486507.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
486507.nif,morph: right,3eaccccd,0.3375000059604645,0,MORPH_LR,,66
463179.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,62
354978.nif,sound:hit_01,3eeeeeef,0.46666666865348816,0,SOUND_HIT,,67
354978.nif,sound:hit_02,3faeeeef,1.3666666746139526,0,SOUND_HIT,,67
354979.nif,sound:hit_01,3fc00000,1.5,0,SOUND_HIT,,67
354979.nif,sound:hit_02,3f2aaaab,0.6666666865348816,0,SOUND_HIT,,67
354980.nif,sound:hit_01,3fcccccd,1.600000023841858,0,SOUND_HIT,,67
354980.nif,sound:hit_02,3fa22222,1.2666666507720947,0,SOUND_HIT,,67
354981.nif,sound:hit_02,3ecccccd,0.4000000059604645,0,SOUND_HIT,,67
354981.nif,sound:hit_03,3fcccccd,1.600000023841858,0,SOUND_HIT,,67
354982.nif,sound:hit_01,3f4ccccd,0.800000011920929,0,SOUND_HIT,,67
354982.nif,sound:hit_03,3f777778,0.9666666984558105,0,SOUND_HIT,,67
250674.nif,start_usetool: effect_01,00000000,0.0,1,START_USETOOL,single_effect,62
65083.nif,start_usetool: effect_01,3eaaaaab,0.3333333432674408,0,START_USETOOL,single_effect,62
489255.nif,morph:left,00000000,0.0,1,MORPH_LR,,64
489255.nif,morph:right,3f552c60,0.8327083587646484,0,MORPH_LR,,64
15500.nif,morph: left,00000000,0.0,1,MORPH_LR,,66
15500.nif,morph: right,3e99999a,0.30000001192092896,0,MORPH_LR,,66
