file,ext_len,subclass43,ext_hex,mesh,morph,skin,particle,blocks,mirror
136182.nif,85,,030000000100004040020000004d2e063e1b2ae2bf3cdd61bf00000000db0fc9bfdb0fc9bf54749c41c2b8323f010000001b2ae23f4d2e063e3cdd61bf0b4104bedb0fc9bf7eff51bffc298241c2b8323f01000000,1,0,0,0,23,1
358253.nif,85,,030000000100004040020000001f64f9bd7afcae3f6137483fdb0fc93f000000000000000076e0cb41c2b8323f010000001f64f9bd7afcae3f6137483fdb0fc93f00000000ce2505bf76e08341c2b8323f01000000,1,0,0,0,29,1
136191.nif,85,,03000000010000404002000000f085b93f3e68bc3d467c9f3f00000000db0fc9bfdb0fc93f20523542c2b8323f01000000ddefc0bedf886abf467c9f3f00000000db0fc9bf3e2b093fa68af341c2b8323f01000000,1,0,0,0,18,1
424276.nif,43,all_zero_default,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,0,0,35,1
523669.nif,85,,03000000010000404002000000f46b7b3eb24b843eae80223e89d98b3f6c9d5d3e000000009c440242c3b8323f01000000f46b7b3eb24b843eae80223e89d98b3f6c9d5d3e000000009c440242c3b8323f01000000,1,0,0,0,13,1
537425.nif,85,,030000000100004040020000002ee26dc0931826c1ef499ac10000000000000000780ab0bef853ed42c2b8323f010000002ee26dc0931826c1ef499ac10000000000000000780ab0bef853ed42c2b8323f01000000,1,0,0,0,12,1
537419.nif,85,,03000000010000404002000000fb599c3dbe9f42bf44cb58c200000000000000005a3be93ebc949143c2b8323f02000000fb599c3dbe9f42bf44cb58c200000000000000005a3be93ebc949143c2b8323f02000000,1,0,0,0,13,1
422052.nif,85,,03000000010000404002000000527eba3f8121db3f68d014bf5d02953f000000004a8234bffe250942c3b8323f01000000527eba3f8121db3f68d014bf5d02953f000000004a8234bffe250942c3b8323f01000000,1,0,0,0,16,1
471896.nif,85,,03000000010000404002000000fda4e340f5bd863eb04336c26e469d3d42e4523e68e413bfcd0c5f44c2b8323f03000000fda4e340f5bd863eb04336c26e469d3d42e4523e68e413bfcd0c5f44c2b8323f03000000,1,0,0,0,31,1
471897.nif,85,,03000000010000404002000000ac394c405ea292bf9ba631c26e469d3d42e4523e68e413bf48918144c2b8323f03000000ac394c405ea292bf9ba631c26e469d3d42e4523e68e413bf48918144c2b8323f03000000,1,0,0,0,31,1
471898.nif,85,,0300000001000040400200000091ed25c100916a414a0cfbc20000000000000000db0fc9bf1f2d4c44c2b8323f030000004b9908c20e2da741cba1f0c26e469d3d42e4523e68e413bf8fd26d44c2b8323f03000000,1,0,0,0,56,1
174636.nif,85,,03000000010000404002000000cefadcbe554b1ebf5e835ebfdb0fc93f0000000000000000de715a42c3b8b23e01000000cefadcbe554b1ebf5e835ebfdb0fc93f0000000000000000de712842c3b8b23e01000000,1,0,0,0,32,1
279182.nif,85,,03000000010000404002000000a27a833f24eef93f17f1a8c0f25e9a3fa792abbb00000000ae270f43c3b8323f02000000a27a833f24eef93f17f1a8c0f25e9a3fa792abbb00000000ae270f43c3b8323f02000000,1,0,0,0,25,1
