run,original_manifest,original_manifest_sha256,original_row,artifact,role,sha256,hash_status,resolved_full_path,path_status,scope_class
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","2","01_source/field_d_r36.py","generator driver (self-hash at execution)","3f74804ab264949bd473c6dc33057c68c510f420265c5c71502ea9faf9f8a8a6","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_FIELD_D_R36_20260904_171903\01_source\field_d_r36.py","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","3","02_results/FIELD_D_JOINED.json","joined per-name table (5,422 rows)","383e8925507013fac23946d3944252ebd710cff2db56b95e9e737a2b944ed133","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_FIELD_D_R36_20260904_171903\02_results\FIELD_D_JOINED.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","4","02_results/FIELD_D_TESTS.json","T1-T5 results with numbers + gates","2af4cd39d36db96a2013a6de75983469aa6e2e7856a40061de6c86c6d54ee043","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_FIELD_D_R36_20260904_171903\02_results\FIELD_D_TESTS.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","5","../pcg_install/Data/Models/Models.bnt (9.3.5 container, 395,412,868 B)","primary corpus container (read-only)","c950a8c26f2063f4dd748d88c95bd769aac77a2f5f76face7e969be0b3d3bee0","UNRESOLVED_POINTER","","UNRESOLVED_ALIAS","UNRESOLVED_ALIAS"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","6","../01_Original_Files/BNT_Models/Models.bnt (2003 ORIGINAL container, 375,322,581 B)","historical container (READ-ONLY; SHA256 recorded as new evidence)","1322adf2919b1b24a8b4fda9618347e00c5a2b35dbb54516e353f1cefd3524a6","UNRESOLVED_POINTER","","UNRESOLVED_ALIAS","UNRESOLVED_ALIAS"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","7","PE_R61_FROZEN_BASELINE_20260828/03_validation/SHA256_SOURCE.json","frozen parser manifest (verified 10/10 in-driver)","1686eb1f0ff4981494fe1b86586fc6f48fc93c1ab9a42a45bd03a904b8b754ab","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_R61_FROZEN_BASELINE_20260828\03_validation\SHA256_SOURCE.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","8","PE_PCG935_NIF_CORPUS_AUDIT_R1_20260904_113907/02_results/BNT2_INDEX_ENTRIES.csv","prior evidence: 953 index census (cross-checked 5596/5596)","1d77493fe890c685a8149b215857f2d8e2bf6ccd1755a1f7fb622c78da0cedf4","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_PCG935_NIF_CORPUS_AUDIT_R1_20260904_113907\02_results\BNT2_INDEX_ENTRIES.csv","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","9","PE_M1B3_REAL_PE_NIF_COMPATIBILITY_LAB_V1_20260819_010815/01_source_corpus/PE_NIF_CORPUS.csv","prior evidence: 2003 corpus sha256 manifest (cross-checked 5426/5426)","fde818198a36c9371130d6c16d27845bb565b436c190007be87896447ca1d2af","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_M1B3_REAL_PE_NIF_COMPATIBILITY_LAB_V1_20260819_010815\01_source_corpus\PE_NIF_CORPUS.csv","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","10","PE_NIF_ERA_DRIFT_R2_20260904_115051/02_results/ERA_DRIFT_2003_VS_PCG953.csv","prior evidence: era-drift classification (cross-checked 5422/5422 rows)","2356537c5dc3b9602dac48370cff82688726b259053e04da00b5208207957d54","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_ERA_DRIFT_R2_20260904_115051\02_results\ERA_DRIFT_2003_VS_PCG953.csv","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_FIELD_D_R36_20260904_171903","99_Audits/PE_NIF_FIELD_D_R36_20260904_171903/artifact_index.csv","95e0f8d2512825564cce51b1ae461146acaa6f11d9a8701237134e32614a69b0","11","PE_NIF_IMPORTER_HEADER_R29_20260904_150900/02_results/IMPORTER_HEADERS.json","prior evidence: exporter strings 953 (T3 input)","74455fb2151892296c54ab7599c858f4e47093546c714b0d2c9ed056f7e58e7e","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_IMPORTER_HEADER_R29_20260904_150900\02_results\IMPORTER_HEADERS.json","RESOLVED","IMMUTABLE_SNAPSHOT"
