run,original_manifest,original_manifest_sha256,original_row,artifact,role,sha256,hash_status,resolved_full_path,path_status,scope_class
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","2","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\01_source\semantics_enrich_r40.py","driver (hashed after last edit, before run) [in-driver]","932E90E2B9B3553DFDE98F9453C32CDCE62FD35AB38D53D45EE64FA77CA7D765","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\01_source\semantics_enrich_r40.py","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","3","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\SHA256_DRIVER.txt","driver hash provenance file [in-driver]","403D71A5AE9BFD14482FB30B1C19DA9AB0ADE80E4DDD3158CD2C9733B53B0C4B","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\SHA256_DRIVER.txt","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","4","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\02_results\README_PROPOSALS.json","README edit proposals (5) + verification [in-driver]","B0077505F9139EFA4C0CDAAB8A5EA3AD3C498582DF503B2B343E9B36FA5F38B5","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\02_results\README_PROPOSALS.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","5","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\02_results\SEMANTICS_PROPOSALS.json","09-semantics edit proposals (4) + verification [in-driver]","82FDE5918B6084C3340B4C816752CEC0B2B9CA64B4A90C51192144DA71F69E18","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016\02_results\SEMANTICS_PROPOSALS.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","6","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\README.md","wiki target (READ-ONLY, pre-apply state) [in-driver]","8206E749B29373BDF3DC84F544FE510E17CC63365DF80028E5D3C16B8ACE0284","MISMATCH","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\README.md","RESOLVED","PRE_EDIT_INPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","7","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\09-semantics.md","wiki target (READ-ONLY, pre-apply state) [in-driver]","514CA106514B0AC725DA66079AFAC592B397187964B798CA1E34E53C8547182B","MISMATCH","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\09-semantics.md","RESOLVED","PRE_EDIT_INPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","8","D:\Eudoria_Reconstruction\99_Audits\PE_MASTER_HANDOFFS\NIF_DOC_ITER40_20260904_181540\NEXT_PROMPT.md","ITER-40 prompt (SHA verified) [in-driver]","45CE8393596EB4CF29B760E3634F87B18195326DF8FC854499E1FFEB9570DC79","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_MASTER_HANDOFFS\NIF_DOC_ITER40_20260904_181540\NEXT_PROMPT.md","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","9","D:\Eudoria_Reconstruction\00_PROJECT_CONTEXT\PE_AUTO_LOOP.json","evidence pointer (verified to exist) [in-driver]","18EB497C530357BED036FC975C2C3365720998B8A242A72A7ED9BA9DCE541418","MISMATCH","D:\Eudoria_Reconstruction\00_PROJECT_CONTEXT\PE_AUTO_LOOP.json","RESOLVED","MUTABLE_POINTER"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","10","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\corpus\manifest_2003.csv","evidence pointer (verified to exist) [in-driver]","B8E32FD4B1B253E61DF5B19C16CEF3672A6A95877E08DE3FAFA25270FE1552DF","MATCH","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\corpus\manifest_2003.csv","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","11","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\corpus\pcg953_nif_manifest.csv","evidence pointer (verified to exist) [in-driver]","2BE0DEFC9C09FF26371528A4601C10216AC3013717A244EB0652169123989B59","MATCH","D:\Eudoria_Reconstruction\12_WebGame\eudoria-clean\docs\nif\corpus\pcg953_nif_manifest.csv","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","12","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_2003_MANIFEST_R12_20260904_132950","evidence DIRECTORY pointer (existence-verified; SHA-256 n/a for directories — documented exclusion, not a placeholder) [in-driver]","","NO_HASH_FIELD","","UNRESOLVED_ALIAS","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","13","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CONTROLLERS_GRAMMAR_R24_20260904_144839\REPORT.md","evidence pointer (verified to exist) [in-driver]","D60ABA26F5169D6A682B2EA7B3F660A9DB7048E1FFB0499EF9E5E066DE9F12AD","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CONTROLLERS_GRAMMAR_R24_20260904_144839\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","14","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CROSS_ERA_R35_20260904_170224\REPORT.md","evidence pointer (verified to exist) [in-driver]","8F7E36C3B0CB2FCDBE26209BE99E232BB5BB91FF1755F41D80CA99BB37473AAD","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CROSS_ERA_R35_20260904_170224\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","15","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_ERA_DRIFT_R2_20260904_115051","evidence DIRECTORY pointer (existence-verified; SHA-256 n/a for directories — documented exclusion, not a placeholder) [in-driver]","","NO_HASH_FIELD","","UNRESOLVED_ALIAS","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","16","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_FIELD_D_R36_20260904_171903\REPORT.md","evidence pointer (verified to exist) [in-driver]","C878B3A85BF3636AC72FE7A839F2240A42C8B1457161400E64BEC7025147D14A","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_FIELD_D_R36_20260904_171903\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","17","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_G3B_VARIABLE_R30_20260904_152304\REPORT.md","evidence pointer (verified to exist) [in-driver]","F1734F8022B927FA50C8E889D6727F2FF128C70D287436E873B2DBD3CE4F33B2","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_G3B_VARIABLE_R30_20260904_152304\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","18","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_G3D_CLASS_ROLE_R37_20260904_173625\REPORT.md","evidence pointer (verified to exist) [in-driver]","7DA6E0B282B1C6A063FD2EC52745D5F91FC180057806824EA55501D83B167783","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_G3D_CLASS_ROLE_R37_20260904_173625\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","19","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_IMPORTER_HEADER_R29_20260904_150900\REPORT.md","evidence pointer (verified to exist) [in-driver]","FAD2FEDF0909FDA8B71D646F02A4C7F0A9DB99E8B4DF2BB954624F687E7E32AB","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_IMPORTER_HEADER_R29_20260904_150900\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","20","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\ANIM_FRAME_CHECK.json","evidence pointer (verified to exist) [in-driver]","B293D84401150E0465F835487FF82BE0381D7A3B64B891A6690FBA8B461AF8AE","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\ANIM_FRAME_CHECK.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","21","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\SHADER_DIRECTIVES.json","evidence pointer (verified to exist) [in-driver]","EFDA445A15BDD1C89A3B4E65DAB13064BA9813516DF56DC73C6C54ED94E17974","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\SHADER_DIRECTIVES.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","22","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\TEXTURE_SLOTS.json","evidence pointer (verified to exist) [in-driver]","1092EB39AF21BDB511CB956B225A151991F29F3AD18517EEBB26B027A4A452D2","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\02_results\TEXTURE_SLOTS.json","RESOLVED","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","23","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\REPORT.md","evidence pointer (verified to exist) [in-driver]","B985F6FDA047EBF05DE50DD9BEC1FA2CB63B9492CBF40961CD05BA9DE397D7EC","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MATERIAL_CENSUS_R32_20260904_160538\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","24","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MORPH_DECODE_R4_20260904_122056","evidence DIRECTORY pointer (existence-verified; SHA-256 n/a for directories — documented exclusion, not a placeholder) [in-driver]","","NO_HASH_FIELD","","UNRESOLVED_ALIAS","IMMUTABLE_SNAPSHOT"
"PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016","99_Audits/PE_NIF_SEMANTICS_ENRICH_R40_20260904_182016/artifact_index.csv","00bd39047ca1f7741e5e9cf14b651ce9ac06ec8f667ba94605a0bca3d45e1aab","25","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MORPH_IDS_R33_20260904_162507\REPORT.md","evidence pointer (verified to exist) [in-driver]","1C55651406EF4346E7B6EC470B389C651EC624BC83060829DA0526086A946EFD","MATCH","D:\Eudoria_Reconstruction\99_Audits\PE_NIF_MORPH_IDS_R33_20260904_162507\REPORT.md","RESOLVED","POST_EDIT_OUTPUT"
