"source_path_full","role","sha256","snapshot_time_scope"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\artifact_index.csv (THIS FILE)","this manifest itself â€” intentionally NOT hash-listed: a file cannot contain its own SHA-256 (documented exclusion, NOT a placeholder; all other rows carry real in-run hashes)","SELF_EXCLUDED_BY_CONSTRUCTION (documented)","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\00_CONTROL\control_r1.cjs","one-time control instrumentation (final exec hash 5AD889D3...; exec-1 6A296CC7...) â€” read-only on sources","5ad889d34d7a1507f74fc7bf6005c5738f609093ffbce02035c517be9fc7a9a6","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\00_CONTROL\PLAN.md","execution plan (mandate, controls, outputs, hash-lock discipline, deviations)","0a5df7ca95815631878d62825064f38fa50c211d1ad167ff5beacf021a5735d8","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\00_CONTROL\SHA256_CONTROL.txt","control-script hash provenance (hash-after-last-edit, both executions)","71d1f5659058ab212041e6cdb70b9e2a23e3e0cbdc393e2350dd67ea21810c46","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\00_CONTROL\generate_claim_matrix.cjs","CLAIM_MATRIX emitter (analysis instrumentation)","1538b51610c49a81c9dc48e97c2d12b3cfaa232163eacad8cb2c2eafce97d5a8","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\00_CONTROL\generate_artifact_index.cjs","artifact_index manifest emitter (this manifest self-excludes by construction)","e77cbf28e1c61ee71f183482d3a4ea0ed021bc7b389fd5ae18aaac2905535072","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\00_CONTROL\generate_gates.cjs","STAGE_ACCEPTANCE_GATES.csv emitter (strict quoting)","14e29e023763b635f132b2cf41157fb0c608c628a0529840d213f0c98ee34b2a","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\01_RAW\CONTROL_R1_RESULTS.json","RAW control output: f1 recount, morph denominators/k=1, BNT era join + CRC/d checks, witness scan, R29/R37/R38 re-reads, R39/R40 apply verification, manifest validation","8970548b93d0adfb93665c035d9b87f76fc062c3fb5ae73e2fc1975db0f96098","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\02_LOGS\LOGS.md","commands, tool versions, execution history, error dispositions, writer-lock analysis","316e6687d1a05bb25fb030bf1073f04cff329a2b5f63874a0ec8d658fc5a095e","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
"D:\Eudoria_Reconstruction\99_Audits\PE_NIF_CLAIM_EVIDENCE_LOCK_R1_20260904_233119\03_STATIC\SOURCE_QUOTES.md","verified source quotes with file+lines+SHA256 (S1-S19)","da2a1bad7fc7cded4e62769ccd3c99254958bc1c55e237006d362fccc41c5fa5","this run (PE-NIF_CLAIM_EVIDENCE_LOCK_R1, 2026-09-05)"
