"source_path_full","role","sha256","snapshot_time_scope","claims_supported"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/PLAN.md","R2 run artifact (00_CONTROL/PLAN.md)","cc861790c32003f40fe5a0787825375df759c64c6ac76a4b75c86e0ec780ba60","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/control_r2.cjs","R2 run artifact (00_CONTROL/control_r2.cjs)","666c378da43dd23b961252bdc091baf9b2c7df6b32268d002ed916b20018b59e","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-A-01..06; C2-B-01..05; C2-C-01..04; C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/emit_r2_csvs.cjs","R2 run artifact (00_CONTROL/emit_r2_csvs.cjs)","43f6852782b69f88248d8373b81a30b2db18026067e5d20d51b13b764fcaf5d8","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-* emitter"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/run_gates.py","R2 run artifact (00_CONTROL/run_gates.py)","7688732929b75e926f4fa2a5bf5ca362032d921d24f1d307f883d6e5355bcede","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-E-01; C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/generate_gates_r2.cjs","R2 run artifact (00_CONTROL/generate_gates_r2.cjs)","529bc1e5ca6be82083417b0ba1eda33c6eb00141856879a4705b06c0c5a737b9","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/generate_artifact_index_r2.cjs","R2 run artifact (00_CONTROL/generate_artifact_index_r2.cjs)","306a710ddf60e83d893ea51fe97cd53e7a12f8200af506128dbc758f68354176","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)",""
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/SHA256_CONTROL.txt","R2 run artifact (00_CONTROL/SHA256_CONTROL.txt)","c2b76705a9327dd17f30ccf6e497220f56f619cfcdc2d3f7377ce09fb6e7a0e4","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-D-04a"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/FIXTURES/synthetic_original.csv","R2 run artifact (00_CONTROL/FIXTURES/synthetic_original.csv)","5e9f0d340096354d1a32d5acb4b78f2bb664e7025fcd377f9694960a243d693b","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/00_CONTROL/FIXTURES/synthetic_sidecar.csv","R2 run artifact (00_CONTROL/FIXTURES/synthetic_sidecar.csv)","e3b26aec2b6b847f8289b0b6f0a83ee0774806b518db47b4049dbaa09f0eeb22","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-C-01; C2-E-02"
"D:/Eudoria_Reconstruction/99_Audits/PE_NIF_CLAIM_EVIDENCE_LOCK_R2_20260905_020054/01_RAW/RECOUNTS.json","R2 run artifact (01_RAW/RECOUNTS.json)","19718c95d90d6d314bb2528e0928ffccf120b8f15f57bad15a40fe0cfa026b25","this run (PE-NIF-CLAIM-EVIDENCE-LOCK-R2, 2026-09-05)","C2-A-01..06; C2-B-01..05; C2-C-01..04; C2-D-01..05; C2-E-02"
