source_path_full,role,sha256,size_bytes,snapshot_time_scope,publication_scope,claims_supported
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\emit_r3_analysis.py,R3 run artifact (00_CONTROL/emit_r3_analysis.py),52c76d53401ceaef1b9e2dd38713acb8543917a5953f97ac4bf79a44c3d808e3,30221,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\emit_r3_outputs.py,R3 run artifact (00_CONTROL/emit_r3_outputs.py),483d6b385c2c9df9acf54d7146c7478095e8c0d137dfc7fd007b678d9b3059f8,5737,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\EXTERNAL_REVIEW.md,R3 run artifact (00_CONTROL/EXTERNAL_REVIEW.md),df9075a5372f2d3fb4e7688f37182239646608bd55c5a9a08a3b0a58fa1957d8,22342,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\NEXT_PROMPT.md,R3 run artifact (00_CONTROL/NEXT_PROMPT.md),4a0100443679a66d2968b92f00ddecc6b39a1214eb86cdc6db54645640faf79b,6050,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\probe_r2_helpers.cjs,R3 run artifact (00_CONTROL/probe_r2_helpers.cjs),c3259f737eae284f6bc1a52a0b3cdd11fd830715139b9274fedbd06cef536fae,9815,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\r3_primitives.py,R3 run artifact (00_CONTROL/r3_primitives.py),d04f8ccf69a920cb71a722ece68e769824d4f7d362547d7271f7f687808427e5,16082,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\revalidate_r3.py,R3 run artifact (00_CONTROL/revalidate_r3.py),0998547944a1d729e304947b730162af921921795c7f3eab3240740ccc66d80d,54469,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\00_CONTROL\run_kats.py,R3 run artifact (00_CONTROL/run_kats.py),f8259de6b5700831e08b4c9ade152469f1dd113e886af56bd9996974f7406f7a,4926,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\CENSUS_RECOUNT_R3.json,R3 run artifact (01_RAW/CENSUS_RECOUNT_R3.json),3320777a15cccbec47f6553617f55c35c09756af0e16aec55df18b1b81555bb2,1492,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",PUBLISHED (docs/audits package),R3C-07
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_HASH_PRIMITIVE_REVALIDATION_R3_20260905_025627\01_RAW\PRIMITIVE_VALUE_CENSUS_FULL.json,R3 run artifact (01_RAW/PRIMITIVE_VALUE_CENSUS_FULL.json),66a5c91f1d22f5a235909ebeaccd11c8547e4814706096f9887ab2bad044f686,11253830,"this run (PE-NIF-HASH-PRIMITIVE-REVALIDATION-R3, 2026-09-05)",LOCAL_ONLY (not part of the published package),
