artifact,role,sha256
00_CONTROL/morph_residual_deepdive_r1.py,generator (main campaign driver, hash-locked),b7e4cd328d7c5e0a7881519f428938c03a68cab4b93dd044319caace636c595a
00_CONTROL/h1_desync_probe_posthoc.py,POST-HOC NON-COVERAGE characterization probe,ac5d0f7b759f3d1423ea77b2b5dfa9ab230708f11dc613b1c550a2134282d3db
00_CONTROL/PRE_REGISTERED_HYPOTHESES.json,pre-registered hypothesis table (written before tests),5bde44acd0817441bc3dadb1f4898f52221d566cfd6da1af4dc89c6027789836
00_CONTROL/INPUT_PIN_RESULTS.json,G1 input artifact pin results,191c9d4b5ee3cf0421be5015e98508de226991c145a327c13857a94623214eef
00_CONTROL/PREREG_MARKER.txt,pre-registration ordering marker,ae209f1af10a37c7cf6739ce657d3fc0211b450564df97f810ebf1aef177942b
01_RAW/NOFIT334_SPANS.txt,the 334 no-fit rr spans raw hex (62 alt + 272 none),8bb6556b166df656631af168031e58518b3147fe962d5815ca4e19009e0f605d
01_RAW/RESIDUAL333_SPANS.txt,the 333 R21-unknown residual spans raw hex,e936ed510cbfc6a8ab45b99d3ac7892d467b5d05b24a5ede606f80ddf7bf0100
01_RAW/H1_DESYNC_PROBE.json,post-hoc k-preference probe results (non-coverage),8cc5de1e096a4f0802268106823248578a201e8b6eaa0f359e1983c6f48e9b42
05_ANALYSIS/BASELINE_REPRODUCTION.json,G2 baseline numbers (all gates),2e4014c9652df8adf6854b87c17388f9a5288c2c32dc757b34946320db46f1ca
05_ANALYSIS/HYPOTHESIS_RESULTS.json,H1..H8 results + verdicts + NC + overfitting control,c08fb4738ece9d1f2c9cbcb43fe05b866f7560b1808597abc78e70e6e438e4a9
05_ANALYSIS/COVERAGE_STATE.json,machine-readable final coverage state,86c12fa7f3df1149213fbfdef3097f022bb7c7ba38dc2cf4289de4aab1b12fa4
06_REPORT/00_FINAL_REPORT.md,final report,91a6a9ab808555f7f9551211f12a92c570af33083b715e391f0633b2c113cc3b
06_REPORT/HANDOFF.md,handoff,de9bb1fbc1d3d339885d70b6ba05cbac70dd915aca5f9509619c15e9c80a6f7d
STAGE_ACCEPTANCE_GATES.csv,G1-G6 gate table,837cc8e37230daadf11fb116d880d995ad34a7caabe692dd67cc189c61e4c56c
SHA256_DRIVER.txt,driver hash lock,2e0cc26b6bc4881ef87519ef1bd9041c09f5254e834584e8627c0c881b9811a1
source_of_truth_corpus,c950a8c26f2063f4dd748d88c95bd769aac77a2f5f76face7e969be0b3d3bee0,,
frozen_parser_R61_manifest,1686eb1f0ff4981494fe1b86586fc6f48fc93c1ab9a42a45bd03a904b8b754ab,
