source_path_full,role,sha256,size_bytes,snapshot_time_scope,publication_scope,claims_supported
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\00_CONTROL\NEXT_PROMPT.md,R1 run artifact (00_CONTROL/NEXT_PROMPT.md — the executed prompt),c9ccb5bb56fa8dd8f140f4c3126adc8aa9beddc4cb14d50fb9d0b7c0329276a2,3752,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),gate R1G1
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\00_CONTROL\build_package_r1.py,R1 run driver (00_CONTROL/build_package_r1.py),ed5fc01693ec6ffd739b64a25ad69e0c3df923fa996da043ae20c248aba31b38,23477,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),gates R1G7/R1G8/R1G9/R1G10/R1G12/R1G13
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\00_CONTROL\map_defs.py,R1 run driver data (00_CONTROL/map_defs.py),aaa61d970503fde8cc7a2b4e399c5c1f7ba3ba5b03a074e36e4c26fd85515b49,24043,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),gates R1G7/R1G8/R1G9/R1G10/R1G12/R1G13
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\00_CONTROL\SHA256_DRIVER.txt,"R1 driver hash record (hashed after last edit, before first execution)",3c160e0827e640c1e1a273eced5b0d3551de08447d9769a267da03f36d06c9bd,479,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),driver integrity
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\05_ANALYSIS\TARGET_MAP.json,"item 4 target map (machine-verified old fragments, verbatim new texts)",d3f043f2167c1bd0edbc9c4f7957d5fd31af37c8296848deeb9350dda7699628,25801,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),item 4; gates R1G7/R1G8
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\05_ANALYSIS\CONTRADICTION_CENSUS.json,docs/nif read-only contradiction census (current lines),876a23d613299f3d7c0ed503fa26afe6fe28c77ac0b820c106648a9e1b40ebac,10182,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),census; gates R1G9/R1G10/R1G12
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\06_REPORT\GATE_WEAKNESS_ADDENDUM.md,item 3 gate-weakness addendum (R3G6c/R3G10/impl-count + manifest omission),2c45762d02646c03e1f357103c2eec6f08684392021fe0171beba37be7a9cb99,10092,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),item 3; gates R1G3/R1G4/R1G5/R1G6
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\06_REPORT\PROPOSALS_P2P3_FIXED.md,item 5 corrected P2/P3 proposal texts (extraction-marked),65dc552806c2c2a1e27a7abdb227b4ccf09a8c2a473bc6a9628655298a88de27,8170,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),item 5; P2/P3 fixes
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\REPORT.md,R1 run report (pointer + final handoff block),7a00be1e10c7f0f4fc877270800ab1c586404c822bd0f87a1f76fd9b5492e90d,6757,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),run report
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\HANDOFF.md,R1 handoff (master path-limited commit pending; HR decisions unchanged),5a5a49cb50284a66b82f5a805993bd33b620da9d286efc9e619bf19284a409e5,7209,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),handoff
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PERSISTENCE_AND_TARGETMAP_R1_20260905_101203\STAGE_ACCEPTANCE_GATES.csv,R1 gate ledger (EXECUTABLE + HUMAN_REVIEW rows),3eb939aa3dcd7126bc273f250084e1fd6ab8260aa174225359dc069b78c81a86,7723,"this run (PE-NIF-R3-PERSISTENCE-AND-TARGETMAP-R1, 20260905_101203, 2026-09-05)",RUN PACKAGE (no repo write by this run; master path-limited commit pending),gates R1G1..R1G13 + HR-R1-1/2
