source_path_full,role,sha256,size_bytes,snapshot_time_scope,publication_scope,claims_supported
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\00_CONTROL\NEXT_PROMPT.md,RUN-B executed prompt (formalized),4281bd0bbb42e7dea5dde6909bd886b86c35b04edb51522732ca7261a7020a4c,4979,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\00_CONTROL\apply_r1.py,run driver,c8fd47699e7c3517a7660df83cfa95b4968e5ab854eda8f5da315f2884d8c19c,35649,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\00_CONTROL\app_defs.py,run driver constants (pinned inputs),d5704022d182adb4e5a50593bd3deeb27e006e5e053958e62108fa88357d0621,5279,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\00_CONTROL\app_content.py,run driver annotation-content builders,a27fa649cfd46521b36609137c09eb7d253ed4baaeb906bddb579423d0aba579,7048,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\00_CONTROL\SHA256_DRIVER.txt,"driver-suite hash record (after last edit, before first execution)",87ca5441e22a7a44a874a79cde9263b19c55f48bd5b1501cd32223332ec89f9f,575,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\G1_PREGATE.json,"G1 raw: pinned SHAs, BASE_SHA, staged-index state, 13 fragment verifications with map cross-checks, before-registries",578bd1c711f65a838b714b3cf4a4f24653c63dfbdfda06da80a366cc6c71804d,14657,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\APPLY_LOG.json,apply raw: 3 byte-exact replacements + 3 annotation files with prefix proofs and SYNC hashes,d67fc49d31d7d217630e76f5e04186bedb6af2b450d07ced5946fce4c63ce0d2,5105,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\G2_POST.json,G2 raw: verbatim-presence + absence checks,f9fed2557b5add002921268ed7543024be675a371804d1e5b1b58af5cf6394f9,2276,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\G3_FORBIDDEN_SCAN.json,G3 raw: forbidden-clause scan,3b8c96d30c4325d2492e29ffaec7b8fed7d768ef7ea4dee34ed5f5fa1cdf9d04,2661,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
D:\Eudoria_Reconstruction\99_Audits\PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500\01_RAW\G4_COLLATERAL_REGISTRY.json,G4 raw: before/after hash registry of all docs/nif files,6aaac5ea2df00e0244a576061a7e6d8b32d2fc20ea32f2e55831e4a4b9d3e337,3963,"this run (PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500, 2026-09-05)",COMMITTED (repo docs/audits/PE_NIF_R3_PROPOSAL_APPLICATION_R1_20260905_121500/ + local 99_Audits byte-identical pair),gates AG1-AG5 + the 16 mapped operations
