artifact,role,sha256,publication_scope
HANDOFF.md,package file,e984094c155e184281d7fde41dd23f09b8c7528cec2afcd5876a7539199a1f5a,PUBLISHED
STAGE_ACCEPTANCE_GATES.csv,package file,05e5c745482ff18d4804f9e50f21a9701cac756cde75fc77caa3d0df89b6bf0a,PUBLISHED
00_CONTROL/SHA256_DRIVER.txt,control/driver (hash-after-last-edit recorded in SHA256_DRIVER.txt),6a5497b8f1579f71d0ae8b51756bd2e526594d2d453e0156d93afd1316de977f,PUBLISHED
00_CONTROL/build_artifact_index.py,control/driver (hash-after-last-edit recorded in SHA256_DRIVER.txt),46a291be0c4ad27cb54d4ee935b4fcc7593dedd36699d7239779ff7ea7f52e59,PUBLISHED
00_CONTROL/falsify_r1.py,control/driver (hash-after-last-edit recorded in SHA256_DRIVER.txt),5a680abcdbc9a3a5417fc6e5c927a42b591cb76a9554fca0011517c3a39b37df,PUBLISHED
00_CONTROL/probe_failures.py,control/driver (hash-after-last-edit recorded in SHA256_DRIVER.txt),4ce6b308523ad2dd4d33c378a14bc470655d13d858d6a28217290c866c83d63e,PUBLISHED
00_CONTROL/verdicts_fixed.py,control/driver (hash-after-last-edit recorded in SHA256_DRIVER.txt),648eae44c9a14e560e6e0c8ba09441b242556928c9addb2e8a9b6e6eafb40bfc,PUBLISHED
01_RAW/FAILURE_DETAILS.json,raw results (LOCAL run tree; publication excludes SANDBOX payloads),d637ef5673b0110af59fc6b6764802e3026cebf647f55fa5c10fb713df34939a,PUBLISHED
01_RAW/FALSIFICATION_RESULTS.json,raw results (LOCAL run tree; publication excludes SANDBOX payloads),1c53b73c64442cf8ae9abb24ab0227d33c2f8b67091cc2c597d303a379d97c8d,PUBLISHED
02_LOGS/LOGS.md,package file,4c68786d33db4d04817ca71e0df77e95505cfd69911d1f03dfeb6f0114a891eb,PUBLISHED
05_ANALYSIS/VERDICTS.json,analysis (verdicts),e01a6827f831ce4523ce764d8c88c85d799dbfd199364f8736a9ebd888cfac47,PUBLISHED
06_REPORT/00_FINAL_REPORT.md,final report,65c91ebc0ebfc0634549617c94cda974922c2e8647c922b828ddb8fae8c24ce3,PUBLISHED
01_RAW/SANDBOX/MILD-1_146709.bin,LOCAL_ONLY sandbox variant (NOT published; identity metadata only; 41473 B),20ebf9aca9df618507f0a8fe6550eee48cdf3e0a62921a274179a3c3acac6776,LOCAL_ONLY
01_RAW/SANDBOX/MILD-2_424276.bin,LOCAL_ONLY sandbox variant (NOT published; identity metadata only; 28794 B),0c2acf0288bf8ca66bfcdb5459dd7c5a30c56a4e276e37624272d923147abcc5,LOCAL_ONLY
01_RAW/SANDBOX/MILD-3_500078.bin,LOCAL_ONLY sandbox variant (NOT published; identity metadata only; 57642 B),646dba9c6c9d021332d2517b9bec1a4c344b8a7c0b5c82a86781f14636205f0c,LOCAL_ONLY
01_RAW/SANDBOX/SCRAMBLE-1_container.bin,LOCAL_ONLY sandbox variant (NOT published; identity metadata only; 395412868 B),b6a8e40d5db14699d11acb3b548d86d8dae7d680f78dff15632a5374a00a9357,LOCAL_ONLY
01_RAW/SANDBOX/SCRAMBLE-2_424276.bin,LOCAL_ONLY sandbox variant (NOT published; identity metadata only; 28794 B),8c8c3166611bce9dda64c8797be210e14f5e8dd04222f646fd095fe823a14f84,LOCAL_ONLY
01_RAW/SANDBOX/SCRAMBLE-3_500078.bin,LOCAL_ONLY sandbox variant (NOT published; identity metadata only; 57642 B),24e5381e81e98cb270977176750c47485168c2278084f9c487da6dc97d98592a,LOCAL_ONLY
