containers scanned: 26; entries scanned: 179774
GRID HITS: 70
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Models\\Models.bnt :: 31657.nif', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00100070.tdf', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00170067.tdf', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00200090.tdf', 4243, '65x65', 'bnt-entry+18')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 0027005f.tdf', 4243, '65x65', 'bnt-entry+18')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 002b0091.tdf', 4225, '65x65', 'bnt-entry+0')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 002f003d.tdf', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 0030003b.tdf', 4243, '65x65', 'bnt-entry+18')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 003400b0.tdf', 4225, '65x65', 'bnt-entry+0')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00360054.tdf', 4225, '65x65', 'bnt-entry+0')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 0036006a.tdf', 4241, '65x65', 'bnt-entry+16')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00380054.tdf', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 0042005a.tdf', 4225, '65x65', 'bnt-entry+0')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00430061.tdf', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00460041.tdf', 4241, '65x65', 'bnt-entry+16')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 0046004e.tdf', 4241, '65x65', 'bnt-entry+16')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 004c003f.tdf', 4225, '65x65', 'bnt-entry+0')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00500064.tdf', 4241, '65x65', 'bnt-entry+16')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00580013.tdf', 4237, '65x65', 'bnt-entry+12')
  ('D:\\Eudoria_Reconstruction\\pcg_install\\Data\\Terrain\\terrain.bnt :: 00580078.tdf', 4243, '65x65', 'bnt-entry+18')
