name,size,sha256,version,parse_status,num_blocks,num_meshes,total_vertices,total_triangles,max_uv_sets,skinned_meshes,max_bones,num_materials,materials,num_textures,textures,keyframe_controllers,num_text_keys,text_keys,ark_anim_variant,num_lights,particle_systems,texture_effects,morph_blocks,cameras,block_histogram
505775.nif,306034,4d7f9c2cba4267968047eebda995e5db86a6fc5c36aab25905e54b66ce464e4e,10.1.0.0,PASS,103,18,7780,7086,1,0,0,10,Material #3;02 - Default;blue glass;15 - Default;03 - Default;03 - Default;03 - Default;dome blue glass;dome blue glass;red glass,47,Box01_1_BASE;Box01_1_GLOSS;Box02_1_BASE;Box02_1_GLOSS;Box03_14_BASE;Box03_14_GLOSS;Box03_14_GLOW;Box10_4_BASE;Box10_4_GLOSS;Box10_4_GLOW;Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;Nameless56_ENVIRONMENT;Nameless67_ENVIRONMENT;Nameless78_ENVIRONMENT;Nameless89_ENVIRONMENT;Nameless910_ENVIRONMENT;Room_0_BASE;Room_0_GLOSS;Room_10_GLOSS;Room_13_BASE;Room_13_GLOSS;Room_17_BASE;Room_17_GLOSS;Room_18_BASE;Room_18_GLOSS;Room_19_BASE;Room_19_GLOSS;Room_19_GLOW;Room_1_BASE;Room_1_GLOSS;Room_20_BASE;Room_20_GLOSS;Room_20_GLOW;Room_4_BASE;Room_4_GLOSS;Room_4_GLOW;Room_7_BASE;Room_7_GLOSS;Room_9_BASE;Room_9_GLOSS;glassfloor2_0_GLOSS;glassfloor_0_GLOSS;windows_0_GLOSS,0,0,,V10_BASE_0B,3,0,10,0,0,"{""NiNode"":18,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":18,""NiTextureEffect"":10,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":10,""NiZBufferProperty"":1,""NiTriShape"":18,""NiTriShapeData"":18,""NiAlphaProperty"":3,""NiPointLight"":3}"
505813.nif,2043493,75e203e042cc4e0960e0a4606f80b8488504a5ce1c41fe79332246445ee902dc,10.1.0.0,PASS,50,7,53685,53095,1,0,0,2,Material #3;02 - Default,18,Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Room_0_BASE;Room_0_GLOSS;Room_11_BASE;Room_11_GLOSS;Room_1_BASE;Room_1_GLOSS;Room_3_BASE;Room_3_GLOSS;Room_3_GLOW;Room_4_BASE;Room_4_GLOSS;Room_4_GLOW;Room_5_BASE;Room_5_GLOSS;Room_7_BASE;Room_7_GLOSS,0,0,,V10_BASE_0B,4,0,2,0,0,"{""NiNode"":8,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTextureEffect"":2,""NiTexturingProperty"":7,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":2,""NiZBufferProperty"":1,""NiVertexColorProperty"":8,""NiTriShape"":7,""NiTriShapeData"":7,""NiPointLight"":4}"
508854.nif,24352,b230a6eef0dfc0dc009db6f380db45f546d59f62af1abb8f76d478bc79b2f186,10.1.0.0,PASS,19,3,594,344,1,0,0,1,01 - Default,4,Geo_Sharjtoperatordisplay_0_BASE;Geo_Sharjtoperatordisplay_0_GLOW;Geo_keyboard_0_BASE;Geo_keyboard_0_GLOW,0,0,,G3C,0,0,0,0,0,"{""NiNode"":4,""NiArkAnimationExtraData"":1,""NiStringExtraData"":1,""NiTriShape"":3,""NiTexturingProperty"":2,""NiTriShapeData"":3,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":1,""NiZBufferProperty"":1}"
508947.nif,5156,e7eea16eaddeae8ada7bc6c51b7c805a2edd1b4c9aa49f9befb626555ff6a10f,10.1.0.0,PASS,25,3,62,26,1,0,0,3,02 - Default;Material #3;Material #4,8,Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;boutique_0_BASE;boutique_0_GLOSS;boutique_2_BASE;boutique_2_GLOSS;boutique_3_BASE;boutique_3_GLOSS,0,0,,V10_BASE_0B,1,0,2,0,0,"{""NiNode"":5,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTextureEffect"":2,""NiTexturingProperty"":3,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":3,""NiZBufferProperty"":1,""NiTriShape"":3,""NiTriShapeData"":3,""NiPointLight"":1}"
505007.nif,370897,c0518262ef3ef21bf4878236d92cc44f603d541a7736c98162b67ff1ea2e6065,10.1.0.0,PASS,109,22,7400,6974,3,0,0,14,2;Material #3;Material #4;Material #3;Material #3;Material #10;Material #11;blue glass;Material #26;Material #26;15 - Default;11 - Default;11 - Default,42,Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;Nameless56_ENVIRONMENT;boutiques_left_0_BASE;boutiques_left_0_GLOSS;boutiques_left_0_GLOW;boutiques_left_10_GLOSS;boutiques_left_13_BASE;boutiques_left_13_GLOSS;boutiques_left_14_BASE;boutiques_left_14_GLOSS;boutiques_left_14_GLOW;boutiques_left_16_BASE;boutiques_left_16_DARK;boutiques_left_16_GLOSS;boutiques_left_17_BASE;boutiques_left_17_DARK;boutiques_left_17_GLOSS;boutiques_left_1_BASE;boutiques_left_1_DARK;boutiques_left_1_GLOSS;boutiques_left_20_BASE;boutiques_left_20_DARK;boutiques_left_20_GLOSS;boutiques_left_2_BASE;boutiques_left_2_DARK;boutiques_left_2_GLOSS;boutiques_left_4_BASE;boutiques_left_4_GLOSS;boutiques_left_4_GLOW;boutiques_left_6_BASE;boutiques_left_6_DARK;boutiques_left_6_GLOSS;boutiques_left_8_BASE;boutiques_left_8_DARK;boutiques_left_8_GLOSS;boutiques_left_9_BASE;boutiques_left_9_DARK;boutiques_left_9_GLOSS,0,0,,V10_BASE_0B,7,0,6,0,0,"{""NiNode"":20,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTextureEffect"":6,""NiTexturingProperty"":13,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":14,""NiZBufferProperty"":1,""NiTriShape"":22,""NiTriShapeData"":22,""NiPointLight"":7}"
505031.nif,331256,4f51e86f8abff500eb739b58bb9794652e3eca69c26dcebc4f31835c840591e0,10.1.0.0,PASS,114,20,7368,6962,2,0,0,13,2;Material #4;Material #3;Material #3;Material #10;Material #11;blue glass;Material #26;Material #26;15 - Default;11 - Default;11 - Default,38,Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;boutiques_left_0_BASE;boutiques_left_0_GLOSS;boutiques_left_0_GLOW;boutiques_left_10_GLOSS;boutiques_left_13_BASE;boutiques_left_13_GLOSS;boutiques_left_14_BASE;boutiques_left_14_GLOSS;boutiques_left_14_GLOW;boutiques_left_16_BASE;boutiques_left_16_DARK;boutiques_left_16_GLOSS;boutiques_left_17_BASE;boutiques_left_17_DARK;boutiques_left_17_GLOSS;boutiques_left_20_BASE;boutiques_left_20_DARK;boutiques_left_20_GLOSS;boutiques_left_2_BASE;boutiques_left_2_DARK;boutiques_left_2_GLOSS;boutiques_left_4_BASE;boutiques_left_4_GLOSS;boutiques_left_4_GLOW;boutiques_left_6_BASE;boutiques_left_6_DARK;boutiques_left_6_GLOSS;boutiques_left_8_BASE;boutiques_left_8_DARK;boutiques_left_8_GLOSS;boutiques_left_9_BASE;boutiques_left_9_DARK;boutiques_left_9_GLOSS,0,0,,V10_BASE_0B,8,0,5,0,0,"{""NiNode"":20,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTextureEffect"":5,""NiTexturingProperty"":12,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":13,""NiZBufferProperty"":1,""NiVertexColorProperty"":11,""NiTriShape"":20,""NiTriShapeData"":20,""NiPointLight"":8}"
505225.nif,133189,e788aabadb3686f235f2251d462353532a85773a6b2459f22bd77d10c77dab67,10.1.0.0,PASS,91,14,3214,2908,1,0,0,10,Material #3;15 - Default;15 - Default;02 - Default;Material #3;Material #4;15 - Default;Material #3;Material #3;Material #3,28,Box01_2_BASE;Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;Nameless56_ENVIRONMENT;bars_1_GLOSS;bars_2_BASE;bars_2_GLOSS;planes_02_GLOSS;planes_0_GLOSS;room_0_BASE;room_0_GLOSS;room_1_GLOSS;room_2_BASE;room_2_GLOSS;room_3_BASE;room_3_GLOSS;room_4_BASE;room_4_GLOSS;room_4_GLOW;room_5_BASE;room_5_GLOSS;room_6_BASE;room_6_GLOSS;stairs_2_BASE;stairs_3_BASE,0,0,,V10_BASE_0B,1,0,6,0,0,"{""NiNode"":13,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":14,""NiTextureEffect"":6,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":10,""NiZBufferProperty"":1,""NiVertexColorProperty"":12,""NiTriShape"":14,""NiTriShapeData"":14,""NiAlphaProperty"":2,""NiPointLight"":1}"
510661.nif,1210,41effd570751e06ccf51fde821596e8bd25ffcaba29dcfd7c806135e93217722,10.1.0.0,PASS,12,0,0,0,0,0,0,0,,0,,0,0,,V10_BASE_0B,2,0,0,0,0,"{""NiNode"":4,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiArkViewportInfoExtraData"":1,""NiZBufferProperty"":1,""NiVertexColorProperty"":1,""NiPointLight"":2}"
505209.nif,39766,4ccfcac230d08bb59cecceaf728987cabebc5e44affad96926abe086a9ce4ac5,10.1.0.0,PASS,59,8,881,588,1,0,0,5,Material #3;02 - Default;Material #4;Material #3;Material #3,19,Nameless0_ENVIRONMENT;Nameless12_ENVIRONMENT;Nameless23_ENVIRONMENT;Nameless34_ENVIRONMENT;Nameless45_ENVIRONMENT;Nameless56_ENVIRONMENT;Object01_1_GLOSS;Object02_1_GLOSS;Object03_1_GLOSS;boutique_0_BASE;boutique_0_GLOSS;boutique_1_GLOSS;boutique_3_BASE;boutique_3_GLOSS;boutique_4_BASE;boutique_4_GLOSS;boutique_4_GLOW;boutique_5_BASE;boutique_5_GLOSS,0,0,,V10_BASE_0B,0,0,6,0,0,"{""NiNode"":10,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTextureEffect"":6,""NiTexturingProperty"":8,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":5,""NiZBufferProperty"":1,""NiVertexColorProperty"":9,""NiTriShape"":8,""NiTriShapeData"":8}"
505055.nif,45615,49b2a3de164992ddd2829e4796e7930d7a73ee5d62d4bd5651f05abbfb81e2a2,10.1.0.0,PASS,23,3,1044,1014,1,0,0,2,11 - Default;dome blue glass,7,Cylinder01_0_BASE;Cylinder01_0_GLOSS;Cylinder01_1_BASE;Cylinder01_1_GLOSS;Cylinder01_1_GLOW;Nameless0_ENVIRONMENT;Sphere01_0_GLOSS,0,0,,V10_BASE_0B,0,0,1,0,0,"{""NiNode"":5,""NiArkAnimationExtraData"":1,""NiArkImporterExtraData"":1,""NiArkTextureExtraData"":1,""NiTexturingProperty"":3,""NiTextureEffect"":1,""NiArkViewportInfoExtraData"":1,""NiMaterialProperty"":2,""NiZBufferProperty"":1,""NiTriShape"":3,""NiAlphaProperty"":1,""NiTriShapeData"":3}"
